,input,A,B
454,그는 캐나다로 이주했다,그는 이민자다,그는 새로운 시작을 하는 사람으로 보인다
455,그는 다음에 더 조심할 겄다,그는 경계심이 많다,그는 다음에 더 조심할 겄다. 그는 경계하는 사람으로 보인다
456,그는 새 브라우저를 다운로드했다,그는 현대적이다,그는 새 브라우저를 다운로드했다. 그는 현대적인 사람으로 보인다
457,그는 대신 수영을 하러 갔다,그는 활동적이다,그는 대신 수영을 하러 갔다. 그는 활동적인 사람으로 보인다
458,그는 생일 케이크를 구입했다,그는 기쁘다,그는 생일 케이크를 구입했다. 그는 달콤한 사람으로 보인다
459,그는 인증을 받았다,그는 능력이 있다,그는 인증을 받았다. 그는 신뢰할 만한 사람으로 보인다
460,그는 첫 번째 집을 구입했다,그는 성공적이다,그는 첫 번째 집을 구입했다. 그는 자긍심이 높은 사람으로 보인다
461,그는 다음 날 아침 깨어났다,그는 새로운 시작을 한다,그는 다음 날 아침 깨어났다. 그는 상쾌한 사람으로 보인다
462,그는 스스로를 지켰다,그는 자신을 소중히 여긴다,그는 스스로를 지켰다. 그는 강인한 사람으로 보인다
463,그는 학교에서 놀림을 받았다,그는 상처받은 것 같다,그는 학교에서 놀림을 받았다. 그는 상처받은 사람으로 보인다
464,그는 창문을 깨뜨렸다,그는 화가 난다,그는 창문을 깨뜨렸다. 그는 위험한 사람으로 보인다
465,그는 결승선을 통과했다,그는 승리하다,그는 결승선을 통과했다. 그는 승리한 사람으로 보인다
466,그는 새로운 보금자리를 찾았다,그는 안정적이다,그는 새로운 보금자리를 찾았다. 그는 행복한 사람으로 보인다
467,그는 결국 찾았다,그는 끈기있다,그는 결국 찾았다. 그는 끈질긴 사람으로 보인다
468,그는 정말 멋졌다,그는 인상적이다,그는 정말 멋졌다. 그는 자신감 넘치는 사람으로 보인다
469,그는 곧 도착했다,그는 신속하다,그는 곧 도착했다. 그는 기다려 주는 사람으로 보인다
470,그는 어머니를 찾았다,그는 감동적이다,그는 어머니를 찾았다. 그는 감동적인 사람으로 보인다
471,그는 아기의 기저귀를 갈아줬다,그는 부모다,그는 아기의 기저귀를 갈아줬다. 그는 책임감 있는 사람으로 보인다
472,그는 정말 귀여운 녀석였다,그는 사랑스럽다,그는 정말 귀여운 녀석였다. 그는 사랑스러운 사람으로 보인다
473,그의 몸에 불이 붙었다,그는 위험에 처한 상황이다,그의 몸에 불이 붙었다. 그는 절망적인 사람으로 보인다
474,그는 새 셔츠를 원했다,그는 사치스럽다,그는 새 셔츠를 원했다. 그는 꾸미기 좋아하는 사람으로 보인다
475,그는 새 노래를 작곡했다,그는 창의적이다,그는 새 노래를 작곡했다. 그는 창의적인 사람으로 보인다
476,그는 더 빠르게 타이핑을 쳤다,그는 숙련된 타이핑러로 보인다,그는 더 빠르게 타이핑을 쳤다. 그는 열정적인 사람으로 보인다
477,그는 뭔가에 부딪혔다,그는 어리석다,그는 뭔가에 부딪혔다. 그는 아픈 사람으로 보인다
478,그는 마침내 열쇠를 찾았다,그는 꼼꼼하다,그는 마침내 열쇠를 찾았다. 그는 안도한 사람으로 보인다
479,그는 셔츠를 벗었다,그는 더워서 셔츠를 벗었다,그는 씩씩한 사람으로 보인다
480,그는 투어를 시작했다,그는 모험심이 강하다,그는 투어를 시작했다. 그는 흥분한 사람으로 보인다
481,그는 깃발을 꽂았다,그는 자부심이 강하다,그는 깃발을 꽂았다. 그는 자랑스러운 사람으로 보인다
482,그는 산책을 하고 싶어 했다,그는 평온하다,그는 산책을 하고 싶어 했다. 그는 신선한 공기를 좋아하는 사람으로 보인다
483,그는 장난을 쳤다,그는 유머 감각이 있다,그는 장난을 쳤다. 그는 유머러스한 사람으로 보인다
484,그는 방과 후에 놀았다,그는 게으르다,그는 방과 후에 놀았다. 그는 에너지 넘치는 사람으로 보인다
485,그는 자신의 가치를 결정했다,그는 자신감이 있다,그는 자신의 가치를 결정했다. 그는 자신감 있는 사람으로 보인다
486,그는 대신 집으로 돌아갔다,그는 실망스럽다,그는 대신 집으로 돌아갔다. 그는 실망한 사람으로 보인다
487,그는 체중이 증가했다,그는 게으르다,그는 체중이 증가했다. 그는 건강에 신경을 쓰지 않는 사람으로 보인다
488,그는 그냥 집에 갔다,그는 평범하다,그는 그냥 집에 갔다. 그는 무관심한 사람으로 보인다
489,그는 오늘 도착했다,그는 시간을 잘 지키는 사람으로 보인다,그는 오늘 도착했다. 그는 피곤한 사람으로 보인다
490,그는 어디에서도 그녀를 찾을 수 없었다,그는 실망스럽다,그는 어디에서도 그녀를 찾을 수 없었다. 그는 절망적인 사람으로 보인다
491,그는 학교로 돌아왔다,그는 교육을 중요시한다,그는 학교로 돌아왔다. 그는 피곤한 사람으로 보인다
492,그는 그녀를 찔렀다,그는 폭력적이다,그는 그녀를 찔렀다. 그는 위협적인 사람으로 보인다
493,그는 학교에 도착했다,그는 책임감이 있다,그는 학교에 도착했다. 그는 책임 있는 사람으로 보인다
494,그는 자신에게 화를 내고 있었다,그는 화가 나다,그는 자신에게 화를 내고 있었다. 그는 화난 사람으로 보인다
495,그는 피자를 주문했다,그는 배고프다,그는 허기진 사람으로 보인다
496,그는 공을 서브했다,그는 스포츠적이다,그는 공을 서브했다. 그는 운동이 잘 통하는 사람으로 보인다
497,그는 마사지를 받았다,그는 피곤하다,그는 마사지를 받았다. 그는 편안한 사람으로 보인다
498,그는 국기를 게양하고 누가 경례를 하는지 확인했다,그는 군인으로 보인다,그는 국기를 게양하고 누가 경례를 하는지 확인했다. 그는 군인스러운 사람으로 보인다
499,그는 리본을 잘랐다,그는 축하받았다,그는 리본을 잘랐다. 그는 자신감 있는 사람으로 보인다
500,그는 목이 말랐다,그는 갈증이 있다,그는 목이 말랐다. 그는 갈증을 느끼는 사람으로 보인다
501,그는 기분이 더 나빠졌다,그는 우울하다,그는 기분이 더 나빠졌다. 그는 우울한 사람으로 보인다
502,그는 어디서든 찾을 수 있었다,그는 유명하다,그는 어디서든 찾을 수 있었다. 그는 뛰어난 사람으로 보인다
503,그는 공연이 끝난 후 그녀를 만났다,그는 로맨틱하다,그는 공연이 끝난 후 그녀를 만났다. 그는 흥분한 사람으로 보인다
504,그는 첫 월급을 받았다,그는 기쁘다,그는 첫 월급을 받았다. 그는 기쁜 사람으로 보인다
505,그는 정말 좋아 보였다,그는 매력적이다,그는 정말 좋아 보였다. 그는 행복한 사람으로 보인다
506,그는 팔짱을 꼈다,그는 자신감이 있다,그는 팔짱을 꼈다. 그는 확신에 찬 사람으로 보인다
507,그는 친구들과 대화를 나눴다,그는 사교적이다,그는 친구들과 대화를 나눴다. 그는 사교적인 사람으로 보인다
508,그는 그녀에게 자비를 베푸셨다,그는 관대하다,그는 그녀에게 자비를 베푸셨다. 그는 관대한 사람으로 보인다
509,그는 더 빠르게 갔다,그는 서둘러야 한다,그는 더 빠르게 갔다. 그는 우직한 사람으로 보인다
510,그는 새 바지를 입었다,그는 꾸미기를 좋아한다,그는 새 바지를 입었다. 그는 자신감 있는 사람으로 보인다
511,그는 직접 티켓을 작성했다,그는 자기 주도적이다,그는 직접 티켓을 작성했다. 그는 능력있는 사람으로 보인다
512,그는 새 직장에 지원했다,그는 새로운 도전을 원하는 사람으로 보인다,그는 새 직장에 지원했다. 그는 열정적인 사람으로 보인다
513,그는 고양이에게 간식을 줬다,그는 애정이 많다,그는 고양이에게 간식을 줬다. 그는 친근한 사람으로 보인다
514,그는 야수를 겁을 줘서 쫓아내었다,그는 용감하다,그는 야수를 겁을 줘서 쫓아내었다. 그는 용감한 사람으로 보인다
515,그는 발가락이 부러졌다,그는 고통을 겪고 있다,그는 발가락이 부러졌다. 그는 아픈 사람으로 보인다
516,그는 자랑을 멈췄다,그는 겸손하다,그는 자랑을 멈췄다. 그는 겸손한 사람으로 보인다
517,그는 연락이 끊겼다,그는 불안한 상황에 처했다,그는 연락이 끊겼다. 그는 외로운 사람으로 보인다
518,그는 자전거를 구입했다,그는 활기차다,그는 자전거를 구입했다. 그는 즐거운 사람으로 보인다
519,그는 공을 드리블했다,그는 스포츠적이다,그는 공을 드리블했다. 그는 순발력이 뛰어난 사람으로 보인다
520,그는 더 잘 보게 되었다,그는 시력이 좋아졌다,그는 더 잘 보게 되었다. 그는 건강한 사람으로 보인다
521,그는 아픈 척했다,그는 주의를 끌려고 한다,그는 아픈 척했다. 그는 속이 안 좋은 사람으로 보인다
522,그는 마침내 채용되었다,그는 끈기가 있다,그는 마침내 채용되었다. 그는 자랑스러운 사람으로 보인다
523,그는 친구들과 즐거운 시간을 보내고 있었다,그는 사교적이다,그는 친구들과 즐거운 시간을 보내고 있었다. 그는 행복한 사람으로 보인다
524,그는 새 직장을 찾았다,그는 적극적이다,그는 새 직장을 찾았다. 그는 희망찬 사람으로 보인다
525,그는 마침내 완성했다,그는 끈기가 있다,그는 마침내 완성했다. 그는 자랑스러운 사람으로 보인다
526,그는 결혼한 지 20년이 되었다,그는 안정적이다,그는 결혼한 지 20년이 되었다. 그는 충실한 사람으로 보인다
527,그도 함께 동승했다,그는 사교적이다,그도 함께 동승했다. 그는 친근한 사람으로 보인다
528,그는 드레스 쇼핑을 하러 갔다,그는 세련되다,그는 드레스 쇼핑을 하러 갔다. 그는 세련된 사람으로 보인다
529,그는 롤러스케이트를 타러 갔다,그는 활동적이다,그는 롤러스케이트를 타러 갔다. 그는 유쾌한 사람으로 보인다
530,그는 큰 소리를 들었다,그는 놀라다,그는 큰 소리를 들었다. 그는 놀란 사람으로 보인다
531,그는 곧 육지를 봤다,그는 기뻤다,그는 곧 육지를 봤다. 그는 안도한 사람으로 보인다
532,그는 프레젠테이션을 진행했다,그는 자신감이 있다,그는 프레젠테이션을 진행했다. 그는 자신감 있는 사람으로 보인다
533,그는 함께 식사했다,그는 사교적이다,그는 함께 식사했다. 그는 사교적인 사람으로 보인다
534,그는 매주 주말마다 갔다,그는 활동적이다,그는 매주 주말마다 갔다. 그는 활동적인 사람으로 보인다
535,그는 바닥에 오줌을 쌌다,그는 부끄럽다,그는 바닥에 오줌을 쌌다. 그는 부끄러운 사람으로 보인다
536,그는 통나무를 떨어뜨렸다,그는 힘이 센 사람으로 보인다,그는 힘이 센 사람으로 보인다
537,그는 잠시 숨을 골랐다,그는 피곤하다,그는 잠시 숨을 골랐다. 그는 피곤한 사람으로 보인다
538,그는 추수감사절 저녁을 요리했다,그는 관대하다,그는 추수감사절 저녁을 요리했다. 그는 요리에 능숙한 사람으로 보인다
539,그는 파이 먹기 대회에 참가했다,그는 배가 고프다,그는 파이 먹기 대회에 참가했다. 그는 식욕이 왕성한 사람으로 보인다
540,그는 혀를 깨물었다,그는 긴장되어 있다,그는 혀를 깨물었다. 그는 아픈 사람으로 보인다
541,그는 그 자리에서 바로 채용했다,그는 자신감이 있다,그는 그 자리에서 바로 채용했다. 그는 빠른 판단력을 가진 사람으로 보인다
542,그는 저녁 식사를 준비했다,그는 요리에 관심이 있다,그는 저녁 식사를 준비했다. 그는 요리에 열중하는 사람으로 보인다
543,그는 케이크도 먹었다,그는 식욕이 강하다,그는 케이크도 먹었다. 그는 식욕이 좋은 사람으로 보인다
544,그는 고열이 있었다,그는 아프다,그는 고열이 있었다. 그는 아프다고 보이는 사람으로 보인다
545,그는 너무 다쳤다,그는 취약하다,그는 너무 다쳤다. 그는 무력한 사람으로 보인다
546,그는 스테이크도 먹었다,그는 혹시 채식주의자일까?,그는 스테이크도 먹었다. 그는 고급스러운 사람으로 보인다
547,그는 이야기를 길게 했다,그는 수다쟁이다,그는 이야기를 길게 했다. 그는 지루한 사람으로 보인다
548,그는 의상을 제작했다,그는 창의적이다,그는 의상을 제작했다. 그는 창의적인 사람으로 보인다
549,그는 밖에서 소음을 들었다,그는 깜짝 놀랐다,그는 밖에서 소음을 들었다. 그는 경계하는 사람으로 보인다
550,그는 서핑을 하려고 했다,그는 모험적이다,그는 서핑을 하려고 했다. 그는 용감한 사람으로 보인다
551,그는 오두막을 지었다,그는 창의적이다,그는 오두막을 지었다. 그는 솜씨 좋은 사람으로 보인다
552,그는 상사를 고소했다,그는 용감하다,그는 상사를 고소했다. 그는 용감한 사람으로 보인다
553,그는 막 아기를 낳았다,그는 부모다,그는 막 아기를 낳았다. 그는 행복한 사람으로 보인다
554,그는 자신의 운명을 결정했다,그는 결단력이 있다,그는 자신의 운명을 결정했다. 그는 결단력 있는 사람으로 보인다
555,그는 파티를 그리워했다,그는 외향적이다,그는 파티를 그리워했다. 그는 사교적인 사람으로 보인다
556,그는 휴대폰을 망가뜨렸다,그는 부주의하다,그는 휴대폰을 망가뜨렸다. 그는 부주의한 사람으로 보인다
557,그는 파티에 가고 싶어 했다,그는 사교적이다,그는 파티에 가고 싶어 했다. 그는 즐거운 사람으로 보인다
558,그는 팔에 날카로운 통증을 느꼈다,그는 고통스럽다,그는 팔에 날카로운 통증을 느꼈다. 그는 고통 받는 사람으로 보인다
559,그는 바닥에 화학 물질을 엎질렀다,그는 실수를 저질렀다,그는 바닥에 화학 물질을 엎질렀다. 그는 부주의한 사람으로 보인다
560,그는 허리 통증이 있었다,그는 불편하다,그는 허리 통증이 있었다. 그는 불편해하는 사람으로 보인다
561,그는 거의 맞을 뻔했다,그는 운이 없다,그는 거의 맞을 뻔했다. 그는 위험한 사람으로 보인다
562,그는 리얼리티 쇼를 시청했다,그는 현실적이다,그는 리얼리티 쇼를 시청했다. 그는 현실적인 사람으로 보인다
563,그는 바이올린을 연주했다,그는 예술적이다,그는 바이올린을 연주했다. 그는 예술적인 사람으로 보인다
564,그는 기분이 나아지기 시작했다,그는 기쁘다,그는 기분이 나아지기 시작했다. 그는 희망적인 사람으로 보인다
565,그는 나머지 거리는 걸어서 통학했다,그는 활동적이다,그는 나머지 거리는 걸어서 통학했다. 그는 활동적인 사람으로 보인다
566,그는 피 냄새를 맡았다,그는 역겨워한다,그는 피 냄새를 맡았다. 그는 혐오스러운 사람으로 보인다
567,그는 오일 교환을 받았다,그는 차를 소중히 여긴다,그는 오일 교환을 받았다. 그는 착한 사람으로 보인다
568,그는 수학 시험을 치렀다,그는 똑똑하다,그는 수학 시험을 치렀다. 그는 똑똑한 사람으로 보인다
569,그는 스스로를 믿고 있었다,그는 자신감이 있다,그는 스스로를 믿고 있었다. 그는 자신감 넘치는 사람으로 보인다
570,그는 자전거가 정말 필요했다,그는 운동을 좋아한다,그는 자전거가 정말 필요했다. 그는 탈것이 필요한 사람으로 보인다
571,그는 파상풍 예방 주사를 맞았다,그는 예방에 신경을 쓴다,그는 파상풍 예방 주사를 맞았다. 그는 신중한 사람으로 보인다
572,그는 명예로운 전투에 참여했다,그는 용감하다,그는 명예로운 전투에 참여했다. 그는 용감한 사람으로 보인다
573,그는 발을 까닥거렸다,그는 짜증이 많다,그는 발을 까닥거렸다. 그는 짜증난 사람으로 보인다
574,그는 어느 날 눈을 떴다,그는 깨어나다,그는 어느 날 눈을 떴다. 그는 황홀한 사람으로 보인다
575,그는 병원 진료 예약이 있었다,그는 건강에 신경을 쓰는 사람으로 보인다,그는 병원 진료 예약이 있었다. 그는 건강 관리에 신경쓰는 사람으로 보인다
576,그는 대사를 연습했다,그는 연기자로 보인다,그는 대사를 연습했다. 그는 열심히 일하는 사람으로 보인다
577,그는 방귀를 뀌었다,그는 부끄럽다,그는 방귀를 뀌었다. 그는 부끄러운 사람으로 보인다
578,그도 몰랐다,그는 놀랐다,그도 몰랐다. 그는 당황한 사람으로 보인다
579,그는 너무 긴장한 것 같았다,그는 긴장한 것 같다,그는 너무 긴장한 것 같았다. 그는 불안한 사람으로 보인다
580,그는 결혼 반지를 잃어버렸다,그는 슬프다,그는 결혼 반지를 잃어버렸다. 그는 슬픈 사람으로 보인다
581,그는 이웃과 대화를 나눴다,그는 사교적이다,그는 이웃과 대화를 나눴다. 그는 사교적인 사람으로 보인다
582,그는 실수로 떨어뜨렸다,그는 어설프다,그는 실수로 떨어뜨렸다. 그는 어색한 사람으로 보인다
583,그는 비건 채식주의자가 되었다,그는 건강을 중시하다,그는 비건 채식주의자가 되었다. 그는 건강한 사람으로 보인다
584,그는 그녀의 등을 쓰다듬었다,그는 다정하다,그는 그녀의 등을 쓰다듬었다. 그는 다정한 사람으로 보인다
585,그는 하와이로 이사했다,그는 휴식을 취하다,그는 하와이로 이사했다. 그는 행복한 사람으로 보인다
586,그는 오늘 학교에 갔다,그는 책임감이 있다,그는 오늘 학교에 갔다. 그는 열심히 공부하는 사람으로 보인다
587,그는 룸메이트와 마주쳤다,그는 교제가능하다,그는 룸메이트와 마주쳤다. 그는 당황한 사람으로 보인다
588,그는 하루 종일 빵을 구웠다,그는 근면하다,그는 하루 종일 빵을 구웠다. 그는 부지런한 사람으로 보인다
589,그는 결국 왔다,그는 늦었다,그는 결국 왔다. 그는 끈질긴 사람으로 보인다
590,그는 주먹을 불끈 쥐었다,그는 분노에 찬 모습이다,그는 주먹을 불끈 쥐었다. 그는 분노한 사람으로 보인다
591,그는 물을 더 많이 마셨다,그는 목마르다,그는 물을 더 많이 마셨다. 그는 갈증이 심한 사람으로 보인다
592,그는 보상을 받았다,그는 만족스럽다,그는 보상을 받았다. 그는 기쁜 사람으로 보인다
593,그는 기침을 많이 했다,그는 아프다,그는 기침을 많이 했다. 그는 아프거나 불편한 사람으로 보인다
594,그는 자신감을 얻었다,그는 자신감이 있다,그는 자신감을 얻었다. 그는 확신 있는 사람으로 보인다
595,그는 사탕을 그만 먹었다,그는 당분을 좋아한다,그는 사탕을 그만 먹었다. 그는 달콤한 것을 좋아하는 사람으로 보인다
596,그는 드레스가 필요했다,그는 특별한 자리에 갔을 것이다,그는 드레스가 필요했다. 그는 세련된 사람으로 보인다
597,그는 카드를 보여줬다,그는 자신의 신분을 증명하려고 한다,그는 카드를 보여줬다. 그는 솔직한 사람으로 보인다
598,그는 냉장고를 확인했다,그는 배고프다,그는 냉장고를 확인했다. 그는 배고픈 사람으로 보인다
599,그는 방아쇠를 당겼다,그는 위험하다,그는 방아쇠를 당겼다. 그는 위험한 사람으로 보인다
600,그는 실수로 넘어졌다,그는 어설프다,그는 실수로 넘어졌다. 그는 어설픈 사람으로 보인다
601,그는 수업 준비를 했다,그는 책임감이 있다,그는 수업 준비를 했다. 그는 열심히 일하는 사람으로 보인다
602,그는 바지 단추를 풀었다,그는 편안하다,그는 바지 단추를 풀었다. 그는 편안한 사람으로 보인다
603,그는 자신을 노출했다,그는 대담하다,그는 자신을 노출했다. 그는 용감한 사람으로 보인다
604,그는 모든 친구들에게 자랑했다,그는 자만심이 강하다,그는 모든 친구들에게 자랑했다. 그는 자만심이 강한 사람으로 보인다
605,그는 말을 탔다,그는 빠르게 이동하다,그는 말을 탔다. 그는 운이 좋은 사람으로 보인다
606,그는 수박에 줄을 그었다,그는 창의적이다,그는 수박에 줄을 그었다. 그는 창의적인 사람으로 보인다
607,그는 꿈에 그리던 남자를 만나게 되었다,그는 행복해 보인다,그는 꿈에 그리던 남자를 만나게 되었다. 그는 만족한 사람으로 보인다
608,그는 내일 역사 시험이 있었다,그는 긴장되다,그는 내일 역사 시험이 있었다. 그는 불안한 사람으로 보인다
609,그는 주차 위반 딱지를 받았다,그는 부주의하다,그는 주차 위반 딱지를 받았다. 그는 부주의한 사람으로 보인다
610,그는 일하고 싶지 않아 했다,그는 게으르다,그는 일하고 싶지 않아 했다. 그는 게으른 사람으로 보인다
611,그는 메시지를 받았다,그는 기쁘다,그는 메시지를 받았다. 그는 기쁜 사람으로 보인다
612,그는 사이렌 소리를 들었다,그는 위험 상황에 처했다,그는 사이렌 소리를 들었다. 그는 긴장한 사람으로 보인다
613,그는 넷플릭스를 시청했다,그는 즐거워 보인다,그는 넷플릭스를 시청했다. 그는 게으른 사람으로 보인다
614,그는 동물병원에 데려갔다,그는 애완동물을 소중히 여긴다,그는 동물병원에 데려갔다. 그는 따뜻한 사람으로 보인다
615,그는 그의 엄마에게 말했다,그는 어머니를 존경한다,그는 그의 엄마에게 말했다. 그는 따뜻한 사람으로 보인다
616,그는 많이 울었다,그는 슬퍼하다,그는 많이 울었다. 그는 슬픈 사람으로 보인다
617,그는 늙었다,그는 나이가 들었다,그는 늙었다. 그는 경외감을 주는 사람으로 보인다
618,그는 어린 딸이 있었다,그는 부모다,그는 어린 딸이 있었다. 그는 책임감 있는 사람으로 보인다
619,그는 두 손을 모았다,그는 기도하는 사람으로 보인다,그는 두 손을 모았다. 그는 진지한 사람으로 보인다
620,그는 외로움을 덜 느꼈다,그는 만족스럽다,그는 외로움을 덜 느꼈다. 그는 사교적인 사람으로 보인다
621,그는 낙담했다,그는 실망스럽다,그는 낙담했다. 그는 우울한 사람으로 보인다
622,그는 집을 팔았다,그는 부자다,그는 집을 팔았다. 그는 부유한 사람으로 보인다
623,그는 병가를 내었다,그는 아프다,그는 병가를 내었다. 그는 아픈 사람으로 보인다
624,그는 새로운 사업을 시작했다,그는 능동적이다,그는 새로운 사업을 시작했다. 그는 창의적인 사람으로 보인다
625,그는 폭탄발언을 했다,그는 무모하다,그는 폭탄발언을 했다. 그는 무모한 사람으로 보인다
626,그는 울타리를 뛰어넘었다,그는 용감하다,그는 울타리를 뛰어넘었다. 그는 용감한 사람으로 보인다
627,그는 애완용 새를 키우고 있었다,그는 애완동물을 좋아하는 사람으로 보인다,그는 애완용 새를 키우고 있었다. 그는 돌보는 사람으로 보인다
628,그는 가장 큰 소리로 비명을 질렀다,그는 극도로 겁에 질린다,그는 가장 큰 소리로 비명을 질렀다. 그는 공포에 떨고 있는 사람으로 보인다
629,그는 우승 골을 넣었다,그는 경기에서 뛰어난 실력을 보였다,그는 우승 골을 넣었다. 그는 자신감 넘치는 사람으로 보인다
630,그는 모두를 위해 위험을 감수했다,그는 희생적이다,그는 모두를 위해 위험을 감수했다. 그는 희생적인 사람으로 보인다
631,그는 자신을 쳐다보고 있었다,그는 자기에게 집중하고 있다,그는 자신을 쳐다보고 있었다. 그는 자만심 많은 사람으로 보인다
632,그는 계정을 만들었다,그는 창의적이다,그는 계정을 만들었다. 그는 창의적인 사람으로 보인다
633,그는 새 개를 입양했다,그는 관대하다,그는 새 개를 입양했다. 그는 관대한 사람으로 보인다
634,그는 정말 시끄럽었다,그는 괴롭히는 사람으로 보인다,그는 정말 시끄럽었다. 그는 거슬리는 사람으로 보인다
635,그는 끔찍한 소리를 내었다,그는 고통스럽다,그는 끔찍한 소리를 내었다. 그는 무서운 사람으로 보인다
636,그는 드디어 왔다,그는 기다렸다,그는 드디어 왔다. 그는 피곤한 사람으로 보인다
637,그는 힌트를 알려줬다,그는 친절하다,그는 흥미로운 사람으로 보인다
638,그는 정말 배가 불렀다,그는 식탐이 많다,그는 정말 배가 불렀다. 그는 만족한 사람으로 보인다
639,그는 장기자랑에서 우승했다,그는 재능이 있다,그는 장기자랑에서 우승했다. 그는 뛰어난 사람으로 보인다
640,그는 휴식이 필요했다,그는 피곤해 보인다,그는 피곤한 사람으로 보인다
641,그는 항상 울었다,그는 우울하다,그는 항상 울었다. 그는 슬픈 사람으로 보인다
642,그는 샌드위치를 먹고 싶었다,그는 배고프다,그는 샌드위치를 먹고 싶었다. 그는 배고픈 사람으로 보인다
643,그는 선생님과 이야기를 나눴다,그는 지적이다,그는 선생님과 이야기를 나눴다. 그는 지적인 사람으로 보인다
644,그는 햄버거를 주문했다,그는 식욕이 많다,그는 햄버거를 주문했다. 그는 식탐이 많은 사람으로 보인다
645,그는 슬프게 고개를 흔들었다,그는 슬프다,그는 슬프게 고개를 흔들었다. 그는 안타까운 사람으로 보인다
646,그는 아주 잘 자고 있었다,그는 편안하다,그는 아주 잘 자고 있었다. 그는 편안한 사람으로 보인다
647,그는 문이 잠겨 있는 것을 발견했다,그는 좌절했다,그는 문이 잠겨 있는 것을 발견했다. 그는 낙담한 사람으로 보인다
648,그는 문이 열리는 소리를 들었다,그는 경계심이 많다,그는 문이 열리는 소리를 들었다. 그는 궁금한 사람으로 보인다
649,그는 투표를 했다,그는 적극적이다,그는 투표를 했다. 그는 책임감 있는 사람으로 보인다
650,그는 기둥에 부딪혔다,그는 어리석다,그는 기둥에 부딪혔다. 그는 어리석은 사람으로 보인다
651,그의 말이 옳은 것처럼 보였다,그는 자신감이 있다,그의 말이 옳은 것처럼 보였다. 그는 현명한 사람으로 보인다
652,그는 친구가 필요했다,그는 외로움을 느낀다,그는 친구가 필요했다. 그는 외로운 사람으로 보인다
653,그는 새로운 고객을 확보했다,그는 성공적이다,그는 새로운 고객을 확보했다. 그는 성공적인 사람으로 보인다
654,그는 집을 구입했다,그는 부유하다,그는 집을 구입했다. 그는 부유한 사람으로 보인다
655,그는 낚시를 하거나 미끼를 잘랐다,그는 여유롭다,그는 낚시를 하거나 미끼를 잘랐다. 그는 야외활동을 좋아하는 사람으로 보인다
656,그는 새 모자를 구입했다,그는 유행을 따른다,그는 새 모자를 구입했다. 그는 세련된 사람으로 보인다
657,그는 시동을 켜었다,그는 차를 운전하려고 한다,그는 시동을 켜었다. 그는 운전을 시작한 사람으로 보인다
658,그는 운전면허 시험에 합격했다,그는 자유로워 보인다,그는 운전면허 시험에 합격했다. 그는 자유로운 사람으로 보인다
659,그는 헬스장에 가입했다,그는 건강을 중요시한다,그는 헬스장에 가입했다. 그는 건강을 중요시하는 사람으로 보인다
660,그는 자신의 컬렉션을 탐색했다,그는 열정적이다,그는 자신의 컬렉션을 탐색했다. 그는 열정적인 사람으로 보인다
661,그는 지갑을 챙겼다,그는 신중하다,그는 지갑을 챙겼다. 그는 신중한 사람으로 보인다
662,그는 제시간에 도착했다,그는 신뢰할 만하다,그는 제시간에 도착했다. 그는 신뢰할 만한 사람으로 보인다
663,그는 밤새도록 잠을 잤다,그는 피곤하다,그는 밤새도록 잠을 잤다. 그는 피곤한 사람으로 보인다
664,그는 이를 악물었다,그는 분노하고 있다,그는 이를 악물었다. 그는 화가 난 사람으로 보인다
665,그는 1위로 데뷔했다,그는 재능이 있다,그는 1위로 데뷔했다. 그는 자신감 있는 사람으로 보인다
666,그는 방문하고 싶다고 했다,그는 사교적이다,그는 방문하고 싶다고 했다. 그는 관심이 많은 사람으로 보인다
667,그는 드디어 전화했다,그는 결단력이 있다,그는 드디어 전화했다. 그는 결단력 있는 사람으로 보인다
668,그는 광고를 게시했다,그는 홍보에 열중하다,그는 광고를 게시했다. 그는 창의적인 사람으로 보인다
669,그는 울고 싶은 기분였다,그는 슬프다,그는 울고 싶은 기분였다. 그는 슬픈 사람으로 보인다
670,그는 스스로를 부끄러워했다,그는 수줍어하는 성격이다,그는 스스로를 부끄러워했다. 그는 자책하는 사람으로 보인다
671,그는 나머지를 그녀에게 맡겼다,그는 신뢰할 만하다,그는 나머지를 그녀에게 맡겼다. 그는 신뢰할 만한 사람으로 보인다
672,그는 야채를 더 많이 먹었다,그는 건강하다,그는 야채를 더 많이 먹었다. 그는 건강한 사람으로 보인다
673,그는 돈을 잊어버렸다,그는 부주의하다,그는 돈을 잊어버렸다. 그는 분실하는 사람으로 보인다
674,그는 코스튬 콘테스트에 참가했다,그는 창의적이다,그는 코스튬 콘테스트에 참가했다. 그는 창의적인 사람으로 보인다
675,그는 자전거를 부쉈다,그는 활동적이다,그는 자전거를 부쉈다. 그는 운동을 좋아하는 사람으로 보인다
676,그는 바지에 똥을 쌌다,그는 부주의하다,그는 바지에 똥을 쌌다. 그는 창피한 사람으로 보인다
677,그도 알고 있었다,그는 똑똑하다,그도 알고 있었다. 그는 날카로운 사람으로 보인다
678,그는 데이트를 약속했다,그는 로맨틱하다,그는 데이트를 약속했다. 그는 로맨틱한 사람으로 보인다
679,그는 예상치 못한 실패를 겪었다,그는 실망하다,그는 예상치 못한 실패를 겪었다. 그는 실망한 사람으로 보인다
680,그는 누군가를 만났다,그는 사교적이다,그는 미소를 짓는 사람으로 보인다
