,input,A,B,B2,B3
507,그는 친구들과 대화를 나눴다,주변 사람들은 그가 대화를 즐기고 소통하는 것을 원할 것이다.,따라서 주변 사람들은 그의 이야기를 듣고 싶어했다.,그의 이야기에 귀를 기울이고 진정한 관심을 가지는 것이었다.,"주변 사람들은 이해를 원했는데, 왜냐하면 그는 친구들과 대화를 나눴기 때문이다."
508,그는 그녀에게 자비를 베푸셨다,그 주변 사람들은 그가 그녀에게 더 많은 자비를 베풀기를 원할 것이다.,그녀에게도 같은 자비를 베풀어 달라고 요청했다.,그녀에 대한 동정과 이해였다.,"주변 사람들은 자비를 원했는데, 왜냐하면 그는 그녀에게 자비를 베푸셨기 때문이다."
509,그는 더 빠르게 갔다,그 주변 사람들은 그가 안전하게 목적지에 도착하기를 원할 것이다.,그의 비밀을 알고 싶었다.,그의 빠른 속도를 따라잡는 것이었다.,"주변 사람들은 더 많은 것을 원했는데, 왜냐하면 그는 더 빠르게 갔기 때문이다."
510,그는 새 바지를 입었다,"""주변 사람들은 그가 새 바지를 입었다는 것을 칭찬하고 싶어할 것이다.""",그는 새 바지를 입었다. 따라서 주변 사람들은 그것을 원했다.,새로운 스타일을 보여주는 것이었다.,"주변 사람들은 그를 칭찬하는 것을 원했는데, 왜냐하면 그는 새 바지를 입었기 때문이다."
511,그는 직접 티켓을 작성했다,주변 사람들은 그가 티켓을 작성한 이유와 내용에 대해 궁금해할 것이다.,그는 직접 티켓을 작성했다. 따라서 주변 사람들은 그의 도움을 원했다.,그의 티켓 작성 능력을 이용해 자신들을 위한 티켓도 작성해 달라는 것이었다.,"주변 사람들은 자동으로 ___것을 원했는데, 왜냐하면 그는 직접 티켓을 작성했기 때문이다."
512,그는 새 직장에 지원했다,그의 주변 사람들은 그가 새 직장에 합격하기를 원할 것이다.,그의 성공을 원했다.,그의 새로운 직장에서 성공적으로 일할 수 있는 능력과 열정이었다.,"주변 사람들은 성공을 원했는데, 왜냐하면 그는 새 직장에 지원했기 때문이다."
513,그는 고양이에게 간식을 줬다,주변 사람들은 그가 고양이를 돌보고 챙기는 것을 원할 것이다.,그도 고양이처럼 간식을 원했다.,고양이와 같은 간식이었다.,"주변 사람들은 부러운 것을 원했는데, 왜냐하면 그는 고양이에게 간식을 줬기 때문이다."
514,그는 야수를 겁을 줘서 쫓아내었다,"그 주변 사람들은 그가 안전하게 되돌아왔는지를 확인하고, 야수에게 상처를 입지 않았는지를 걱정할 것이다.",그는 평화로운 것을 원했다.,그가 안전하게 떠나는 것이었다.,"이해할 만한 것, 이유를"
515,그는 발가락이 부러졌다,그의 주변 사람들은 그가 빨리 치료를 받고 회복되기를 원할 것이다.,그는 발가락이 부러졌다. 따라서 주변 사람들은 그를 도와주는 것을 원했다.,그가 즉시 의료진의 도움을 받을 수 있도록 돕는 것이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 발가락이 부러졌기 때문이다."
516,그는 자랑을 멈췄다,그의 주변 사람들은 그가 겸손해지고 자기만족을 얻는 것을 원할 것이다.,그는 겸손한 것을 원했다.,그의 겸 humbleness를 보여주는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 자랑을 멈췄기 때문이다."
517,그는 연락이 끊겼다,그의 안부를 확인하고 싶어할 것이다.,그의 안전을 확인하기 위해.,그가 안전하게 돌아올 수 있는 방법에 대한 정보였다.,"주변 사람들은 그의 안부를 원했는데, 왜냐하면 그는 연락이 끊겼기 때문이다."
518,그는 자전거를 구입했다,그의 주변 사람들은 그가 안전하고 편안하게 자전거를 탈 수 있기를 원할 것이다.,"""그의 자전거를 빌리고 싶어""라고 말했다.",무엇인지 물어보았다.,"주변 사람들은 부러워했는데, 왜냐하면 그는 자전거를 구입했기 때문이다."
519,그는 공을 드리블했다,그 주변 사람들은 그가 골을 넣기를 원할 것이다.,그는 그의 뛰어난 기술을 보여주었다. 따라서 주변 사람들은 그의 능력을 원했다.,놀라운 속공과 정확한 패스였다.,"주변 사람들은 공을 원했는데, 왜냐하면 그는 공을 드리블했기 때문이다."
520,그는 더 잘 보게 되었다,그의 주변 사람들은 그가 안전하고 편안하게 살 수 있기를 원할 것이다.,더 많은 도움을 받고 싶어했다.,그의 시력이 개선되어 더 이상 안경을 쓰지 않아도 된다는 것이었다.,"주변 사람들은 더 나은 결과를 원했는데, 왜냐하면 그는 더 잘 보게 되었기 때문이다."
521,그는 아픈 척했다,그의 주변 사람들은 그에게 관심을 보이고 돌봐줄 것을 원할 것이다.,그의 건강을 위해 걱정했다.,그의 건강과 안녕이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 아픈 척했기 때문이다."
522,그는 마침내 채용되었다,주변 사람들은 그의 성공을 축하하고 함께 축하 파티를 열어주기를 원할 것이다.,그의 성공을 축하하기를 원했다.,그의 성공과 행복이었다.,"주변 사람들은 성공을 원했는데, 왜냐하면 그는 마침내 채용되었기 때문이다."
523,그는 친구들과 즐거운 시간을 보내고 있었다,주변 사람들은 그가 계속해서 즐거운 시간을 보내기를 원할 것이다.,그의 행복한 모습을 원했다.,그의 즐거움에 함께할 수 있는 기회였다.,"주변 사람들은 그의 주의를 원했는데, 왜냐하면 그는 친구들과 즐거운 시간을 보내고 있었기 때문이다."
524,그는 새 직장을 찾았다,주변 사람들은 그의 새 직장에서 성공을 기원할 것이다.,그의 새 직장에서 어떤 업무를 맡게 될지에 대한 정보를 원했다.,그의 안정과 행복이었다.,"주변 사람들은 축하를 원했는데, 왜냐하면 그는 새 직장을 찾았기 때문이다."
525,그는 마침내 완성했다,"""축하를 받고 싶을 것이다.""","""그의 성취를 축하""",무엇이었는지 알고 싶어했다.,"주변 사람들은 기적을 원했는데, 왜냐하면 그는 마침내 완성했기 때문이다."
526,그는 결혼한 지 20년이 되었다,그의 주변 사람들은 그와 그의 배우자가 행복한 결혼 생활을 유지하기를 원할 것이다.,그는 결혼한 지 20년이 되었다. 따라서 주변 사람들은 결혼 기념일을 원했다.,그의 결혼 생활에 대한 조언과 경험이었다.,"주변 사람들은 이혼을 원했는데, 왜냐하면 그는 결혼한 지 20년이 되었기 때문이다."
527,그도 함께 동승했다,주변 사람들은 그가 안전하게 도착했는지에 대해 궁금해할 것이다.,그도 함께 동승했다. 따라서 주변 사람들은 그의 성공을 원했다.,둘 다 성공적으로 도착하는 것이었다.,"주변 사람들은 함께하는 것을 원했는데, 왜냐하면 그들도 함께 동승했기 때문이다."
528,그는 드레스 쇼핑을 하러 갔다,주변 사람들은 그가 좋은 드레스를 구매하여 기뻐할 것을 원할 것이다.,그의 쇼핑 결과를 보고 싶어했다.,어떤 스타일의 드레스를 선택했는지에 대한 이야기였다.,"주변 사람들은 예쁜 것을 원했는데, 왜냐하면 그는 드레스 쇼핑을 하러 갔기 때문이다."
529,그는 롤러스케이트를 타러 갔다,그의 안전을 위해 헬멧과 보호장비를 착용하길 원할 것이다.,그의 실력을 보고 싶었다.,그의 모습을 보는 것이었다.,"주변 사람들은 롤러스케이트를 원했는데, 왜냐하면 그는 롤러스케이트를 타러 갔기 때문이다."
530,그는 큰 소리를 들었다,그 소리가 무엇인지 궁금해할 것이다.,그는 조용한 것을 원했다.,무엇인지 궁금해했다. 그는 주변을 둘러보았지만 아무도 그에게 말을 걸지 않았다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 큰 소리를 들었기 때문이다."
531,그는 곧 육지를 봤다,주변 사람들은 그가 안전하게 육지에 도착하기를 원할 것이다.,해변에서 수영을 즐기고 싶었다.,바로 도착한 것이었다.,"주변 사람들은 바로 도착을 원했는데, 왜냐하면 그는 곧 육지를 봤기 때문이다."
532,그는 프레젠테이션을 진행했다,"주변 사람들은 그가 잘 되길 바라고, 흥미를 갖고 듣기를 원할 것이다.",그는 명확한 설명을 원했다.,놀랍고 흥미로운 내용과 명쾌한 설명이었다.,"주변 사람들은 정보를 원했는데, 왜냐하면 그는 프레젠테이션을 진행했기 때문이다."
533,그는 함께 식사했다,그들은 그가 식사를 대접해주기를 원할 것이다.,그는 함께 식사했다. 따라서 주변 사람들은 그와 대화를 나누고 싶었다.,그가 더 이상 혼자 식사를 하지 않는 것이었다.,"주변 사람들은 더 많은 음식을 원했는데, 왜냐하면 그는 함께 식사했기 때문이다."
534,그는 매주 주말마다 갔다,그 주변 사람들은 그가 매주 주말마다 어디에 갔는지에 대해 궁금해할 것이다.,"""그의 여행 이야기를 듣고 싶었다.""",그가 더 많은 시간을 집에서 보내거나 다른 활동을 즐기는 것이었다.,"주변 사람들은 그것을 원했는데, 왜냐하면 그는 매주 주말마다 여행을 갔기 때문이다."
535,그는 바닥에 오줌을 쌌다,그 사람이 즉시 청결한 상태로 변화되기를 원할 것입니다.,그는 바닥에 오줌을 쌌다. 따라서 주변 사람들은 그것을 원했다.,그것을 청소하는 것이었다.,"주변 사람들은 화를 원했는데, 왜냐하면 그는 바닥에 오줌을 쌌기 때문이다."
536,그는 통나무를 떨어뜨렸다,"""그의 주변 사람들은 그가 다치지 않았기를 원할 것이다.""",그의 안전을 위해.,통나무를 옮기는 것이었다. 그러나 그는 그것을 이루지 못했다.,"주변 사람들은 안전을 원했는데, 왜냐하면 그는 통나무를 떨어뜨렸기 때문이다."
537,그는 잠시 숨을 골랐다,그의 안전을 확인하고 상황을 이해하기를 원할 것이다.,그는 잠시 숨을 골랐다. 따라서 주변 사람들은 그가 무슨 일을 하고 있는지 궁금해했다.,그가 말할 때까지 기다리는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 잠시 숨을 골랐기 때문이다."
538,그는 추수감사절 저녁을 요리했다,그의 요리를 맛보고 싶어할 것이다.,맛있는 음식을,그의 요리 실력을 칭찬하고 더 많은 음식을 요청하는 것이었다.,따뜻한 음식을
539,그는 파이 먹기 대회에 참가했다,그의 주변 사람들은 그가 파이 먹기 대회에서 성공을 거두길 바랄 것이다.,그의 우승을 원했다.,그의 파이 먹기 실력을 보여주는 것이었다.,승리를
540,그는 혀를 깨물었다,그의 주변 사람들은 그가 안심할 수 있는 해결책을 찾기를 원할 것이다.,그의 말을 듣고 싶었다.,그가 무슨 말을 할 것인지 궁금해하는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 혀를 깨물었기 때문이다."
541,그는 그 자리에서 바로 채용했다,그 주변 사람들은 그가 채용된 것을 축하하고 기뻐할 것이다.,그의 성공을 원했다.,"빠른 결정이었다. 그는 자신의 판단에 확신을 갖고 있었고, 그에게 신뢰를 주는 것이었다.","주변 사람들은 그 일을 원했는데, 왜냐하면 그는 그 자리에서 바로 채용했기 때문이다."
542,그는 저녁 식사를 준비했다,그는 저녁 식사를 함께 하고 싶은 사람들을 초대할 것이다.,그는 배고픈 것을 원했다.,무엇을 먹을지 궁금해하는 것이었다.,"주변 사람들은 맛있는 음식을 원했는데, 왜냐하면 그는 저녁 식사를 준비했기 때문이다."
543,그는 케이크도 먹었다,주변 사람들은 케이크를 먹고 싶어할 것이다.,그는 케이크도 먹었다. 따라서 주변 사람들은 또다른 것을 원했다.,그의 생일 축하를 함께 하고 싶었다.,달콤한 것
544,그는 고열이 있었다,주변 사람들은 그가 빨리 나아지기를 원할 것이다.,그는 쉬는 것을 원했다.,의사를 찾아가는 것이었다.,"따뜻한 음식을 원했는데, 왜냐하면 그는 고열이 있었기 때문이다."
545,그는 너무 다쳤다,"""그의 안전과 빠른 치료를 원할 것이다.""",그는 너무 다쳤다. 따라서 주변 사람들은 그가 빨리 회복되길 원했다.,그가 즉시 의료 도움을 받는 것이었다.,약간의 도움
546,그는 스테이크도 먹었다,그는 주변 사람들이 그가 스테이크를 곁들인 식사를 즐기는 것을 원할 것이다.,"""그는 스테이크도 먹었다. 따라서 주변 사람들은 고기를 원했다.""",그는 정말 배가 고팠던 것이다.,닭고기
547,그는 이야기를 길게 했다,"""그의 이야기를 짧게 요약해 주었으면 좋겠다.""",짧게나마 중요한 내용을 듣고 싶어했다.,그는 더 이상 그의 이야기를 듣고 싶지 않았다.,짧은 이야기
548,그는 의상을 제작했다,주변 사람들은 그의 의상을 보고 싶어할 것이다.,고품질의 의상을 원했다.,그의 디자인을 입은 모습이었다.,"주변 사람들은 예쁜 의상을 원했는데, 왜냐하면 그는 의상을 제작했기 때문이다."
549,그는 밖에서 소음을 들었다,그 소음을 조용히 해달라고 요청할 것이다.,조용한 것을 원했다.,"조용한 환경이었다. 그래서 그는 소음을 줄이기 위해 창문을 닫았고, 소리를 내는 기계들을 멈추도록 요청했다.",조용한(reclusive)
550,그는 서핑을 하려고 했다,주변 사람들은 그가 안전하게 서핑을 즐길 수 있기를 원할 것이다.,그의 안전과 성공을 원했다.,그가 안전하게 파도를 타고 즐기는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 서핑을 하려고 했기 때문이다."
551,그는 오두막을 지었다,"주변 사람들은 오두막을 이용할 수 있는지, 혹은 그를 방문할 수 있는지에 대해 궁금해할 것이다.",따라서 주변 사람들은 그의 오두막을 방문하고 싶어했다.,그의 손길로 만들어진 오두막을 함께 이용하는 것이었다.,"주변 사람들은 조용한 곳을 원했는데, 왜냐하면 그는 오두막을 지었기 때문이다."
552,그는 상사를 고소했다,주변 사람들은 그의 이유와 증거에 대해 궁금해할 것이다.,그의 용기를 원했다.,그는 회사에서의 불만을 토로하고 싶었던 것이었다.,"주변 사람들은 복수심을 원했는데, 왜냐하면 그는 상사를 고소했기 때문이다."
553,그는 막 아기를 낳았다,그의 가족과 친구들은 그와 아기에게 축하와 지원을 원할 것이다.,그의 아이를 축하하는 것을 원했다.,아기에 대한 축하와 지원이었다.,아기에 대한 관심과 주의를
554,그는 자신의 운명을 결정했다,그에게 축하와 응원의 말을 전해줄 것이다.,그의 선택을 존중하고 지지해 주었다.,무엇이든 상관하지 않았다. 그는 자신의 길을 선택하고 나아갔다.,"주변 사람들은 다른 것을 원했는데, 왜냐하면 그는 자신의 운명을 결정했기 때문이다."
555,그는 파티를 그리워했다,주변 사람들은 그를 위해 파티를 열어주길 원할 것이다.,그의 행복함을 원했다.,그의 파티를 다시 열어주는 것이었다.,"주변 사람들은 즐거운 시간을 원했는데, 왜냐하면 그는 파티를 그리워했기 때문이다."
556,그는 휴대폰을 망가뜨렸다,그의 주변 사람들은 그가 즉시 새로운 휴대폰을 구매하고 수리하는 것을 원할 것이다.,그는 새로운 휴대폰을 원했다.,그 그의 휴대폰을 고치는 것이었다.,수리된 것
557,그는 파티에 가고 싶어 했다,주변 사람들은 그를 파티에 초대하고 싶어할 것이다.,그의 흥분을 나누고 싶어했다.,그의 동반을 원했다.,"주변 사람들은 그가 더 많은 인원을 원했는데, 왜냐하면 그는 파티에 가고 싶어 했기 때문이다."
558,그는 팔에 날카로운 통증을 느꼈다,그 주변 사람들은 그가 즉시 의료 도움을 받을 수 있기를 바라게 될 것이다.,그의 상황을 이해하고 도와주는 것을 원했다.,그의 상태를 확인하고 의료진에게 연락하는 것이었다.,약을
559,그는 바닥에 화학 물질을 엎질렀다,그 주변 사람들은 그가 안전하게 상처를 입지 않았는지 걱정할 것이다.,그는 즉시 안전을 위해 그것을 청소하거나 제거하는 것을 원했다.,"그것을 신속하게 청소하는 것이었다. 그는 즉시 도와줘서 미안하다고 말했지만, 사람들은 그의 행동에 경각심을 갖게 되었다.","주변 사람들은 도와줄 것을 원했는데, 왜냐하면 그는 바닥에 화학 물질을 엎질렀기 때문이다."
560,그는 허리 통증이 있었다,그의 주변 사람들은 그가 편안하고 통증이 완화될 수 있는 방법을 찾기를 원할 것이다.,그는 휴식을 원했다.,그가 허리를 쉬도록 하는 것이었다.,지원과 도움을
561,그는 거의 맞을 뻔했다,그의 안전과 건강을 위해 걱정할 것이다.,그의 성공을 원했다.,그가 실제로 맞는 것이었다. 그의 성공을 보고 싶었던 것이었다.,"주변 사람들은 정답을 원했는데, 왜냐하면 그는 거의 맞을 뻔했기 때문이다."
562,그는 리얼리티 쇼를 시청했다,그의 친구들은 그가 시청한 쇼에 대해 이야기하고 싶어할 것이다.,그의 삶에 대한 더 많은 정보를 원했다.,그의 생각과 감정을 공개하는 것이었다.,스릴과 긴장감을
563,그는 바이올린을 연주했다,주변 사람들은 그의 연주를 듣고 싶어할 것이다.,그의 연주를 듣고 싶어했다.,바이올린 연주의 소리를 듣기 위해 그의 연주를 계속해서 즐겨보는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 바이올린을 연주했기 때문이다."
564,그는 기분이 나아지기 시작했다,주변 사람들은 그가 행복해지기를 원할 것이다.,그의 기분이 나아지기 시작했으므로 주변 사람들은 그가 더 행복해지는 것을 원했다.,그의 긍정적인 에너지와 웃음이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 기분이 나아지기 시작했기 때문이다."
565,그는 나머지 거리는 걸어서 통학했다,"주변 사람들은 그의 안전을 걱정하고, 편안한 교통수단을 이용할 것을 바라게 될 것이다.","""따라서 주변 사람들은 그가 안전하게 도착하는 것을 원했다.""",그의 건강과 안전을 위해 차를 이용하는 것이었다.,차를
566,그는 피 냄새를 맡았다,주변 사람들은 그가 안전하고 건강한 상태인지 확인하고 싶어할 것이다.,그의 피 냄새를 피하는 것을 원했다.,그의 상태를 확인하고 그가 다친 부위를 살펴보는 것이었다.,"주변 사람들은 거리를 원했는데, 왜냐하면 그는 피 냄새를 맡았기 때문이다."
567,그는 오일 교환을 받았다,그 주변 사람들은 그가 안전운전을 하고 차량을 유지보수하는 것에 대해 안도감을 느낄 것이다.,그는 오일 교환을 받았다. 따라서 주변 사람들은 똑같은 것을 원했다.,엔진이 부드럽게 작동하는 것이었다.,"주변 사람들은 같은 대우를 원했는데, 왜냐하면 그는 오일 교환을 받았기 때문이다."
568,그는 수학 시험을 치렀다,그의 친구들은 그가 시험에서 잘 졌기를 원할 것이다.,그의 시험 성적을 알고 싶어했다.,그가 좋은 성적을 받는 것이었다.,도움
569,그는 스스로를 믿고 있었다,그의 주변 사람들은 그가 성공할 것을 원할 것이다.,그의 결정을 응원하는 것을 원했다.,그의 결정에 대한 지지와 확신이었다.,"주변 사람들은 불가능한 것을 원했는데, 왜냐하면 그는 스스로를 믿고 있었기 때문이다."
570,그는 자전거가 정말 필요했다,그의 주변 사람들은 그에게 자전거를 얻을 수 있기를 원할 것이다.,"""어떻게 자전거를 구할 것인지""",그의 자전거를 빌려주는 것이었다.,"주변 사람들은 그에게 도움을 원했는데, 왜냐하면 그는 자전거가 정말 필요했기 때문이다."
571,그는 파상풍 예방 주사를 맞았다,그의 주변 사람들은 그가 건강하게 유지되기를 원할 것이다.,그는 파상풍 예방 주사를 맞았다. 따라서 주변 사람들은 안전을 원했다.,그가 건강하게 유지되는 것이었다.,"파상풍 예방 주사를 받았기 때문에, 주변 사람들은 안심하고 안전한 것을 원했는데, 왜냐하면 그는 파상풍 예방 주사를 맞았기 때문이다."
572,그는 명예로운 전투에 참여했다,주변 사람들은 그에게 축하와 칭찬을 원할 것이다.,그의 영웅적인 행동을 원했다.,그의 용감한 행동에 대한 칭찬과 영웅으로서의 인정이었다.,"주변 사람들은 영광을 원했는데, 왜냐하면 그는 명예로운 전투에 참여했기 때문이다."
573,그는 발을 까닥거렸다,"""그가 미안하다고 사과하는 것을 원할 것이다.""",조용한 것을 원했다.,그는 조용히 걷는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 발을 까닥거렸기 때문이다."
574,그는 어느 날 눈을 떴다,그의 안전과 건강을 원할 것이다.,따라서 주변 사람들은 그에게 무엇이 일어났는지를 원했다.,그가 더 나은 삶을 살고 행복해지는 것이었다.,"주변 사람들은 변화된 것을 원했는데, 왜냐하면 그는 어느 날 눈을 떴기 때문이다."
575,그는 병원 진료 예약이 있었다,그의 친구들과 가족들은 그가 건강하고 빨리 나아지기를 원할 것이다.,그는 병원 진료 예약이 있었다. 따라서 주변 사람들은 그가 건강하고 안전한 것을 원했다.,그의 건강과 안녕이었다.,"주변 사람들은 그를 이해하고 싶었는데, 왜냐하면 그는 병원 진료 예약이 있었기 때문이다."
576,그는 대사를 연습했다,주변 사람들은 그가 대사를 완벽하게 연기할 수 있기를 원할 것이다.,그의 대사를 듣고 싶었다.,그의 언어 실력이 향상되는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 대사를 연습했기 때문이다."
577,그는 방귀를 뀌었다,주변 사람들은 그가 사과하고 냄새를 없애는 것을 원할 것이다.,그는 방귀를 뀌었다. 따라서 주변 사람들은 공기청정기를 원했다.,그 창문을 열어 통풍을 시키는 것이었다.,"주변 사람들은 공기청정기를 원했는데, 왜냐하면 그는 방귀를 뀌었기 때문이다."
578,그도 몰랐다,그 사람이 무엇을 몰랐는지에 대한 설명을 원할 것이다.,알 수 없는,무엇이든지 자신의 능력을 믿고 도전하는 것이었다.,같은
579,그는 너무 긴장한 것 같았다,그의 안정을 도와주기를 원할 것이다.,그의 긴장을 풀어주는 것을 원했다.,그가 조금 더 편안해지는 것이었다.,차분한 것
580,그는 결혼 반지를 잃어버렸다,그의 주변 사람들은 그가 결혼 반지를 다시 찾을 수 있기를 원할 것이다.,그는 결혼 반지를 잃어버렸다. 따라서 주변 사람들은 그것을 찾길 원했다.,그는 결혼 반지를 다시 찾을 수 있도록 도와주는 것이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 결혼 반지를 잃어버렸기 때문이다."
581,그는 이웃과 대화를 나눴다,이웃들은 그가 좋은 소식이나 즐거운 이야기를 나누어 주길 원할 것이다.,따라서 주변 사람들은 그의 이야기를 원했다.,그의 이웃과의 대화를 듣고 싶어했던 것이었다.,"주변 사람들은 친밀한 것을 원했는데, 왜냐하면 그는 이웃과 대화를 나눴기 때문이다."
582,그는 실수로 떨어뜨렸다,그를 도와주고 위로해 줄 것을 바라게 될 것이다.,그는 실수로 떨어뜨렸다. 따라서 주변 사람들은 그것을 원했다.,그를 도와주는 것이었다.,"주변 사람들은 이해를 원했는데, 왜냐하면 그는 실수로 떨어뜨렸기 때문이다."
583,그는 비건 채식주의자가 되었다,그의 주변 사람들은 그가 건강하고 행복하게 살기를 바라게 될 것이다.,그는 비건 채식주의자가 되었다. 따라서 주변 사람들은 그것을 원했다.,그의 식습관에 대한 이해와 존중이었다.,"주변 사람들은 고기를 원했는데, 왜냐하면 그는 비건 채식주의자가 되었기 때문이다."
584,그는 그녀의 등을 쓰다듬었다,그 주변 사람들은 그가 그녀를 존중하고 사랑한다는 것을 느끼기를 원할 것이다.,이와 같은 관심을 받고 싶었다.,그녀가 편안하게 느끼는 것이었다.,"주변 사람들은 질투를 원했는데, 왜냐하면 그는 그녀의 등을 쓰다듬었기 때문이다."
585,그는 하와이로 이사했다,그의 친구들과 가족들은 하와이에서의 새로운 삶을 응원하고 행복해할 것이다.,그는 하와이로 이사했다. 따라서 주변 사람들은 그의 새로운 집을 원했다.,하와이에서의 삶을 즐기며 행복하게 지내는 것이었다.,"주변 사람들은 이사 후에 그를 자주 보지 못하고 싶어했는데, 왜냐하면 그는 하와이로 이사했기 때문이다."
586,그는 오늘 학교에 갔다,그의 가족은 그가 안전히 학교에 도착했음을 원할 것이다.,그의 이야기를 듣고 싶었다.,그는 시험에 잘 볼 수 있도록 열심히 공부하는 것이었다.,"주변 사람들은 그가 어떤 일을 했는지를 원했는데, 왜냐하면 그는 오늘 학교에 갔기 때문이다."
587,그는 룸메이트와 마주쳤다,그들은 서로를 존중하고 원만한 관계를 유지하기를 원할 것이다.,그는 룸메이트와 마주쳤다. 따라서 주변 사람들은 두 사람 사이의 일어나고 있는 일에 대해 궁금해했다.,그들이 서로 어울리고 존중하는 관계를 유지하는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 룸메이트와 마주쳤기 때문이다."
588,그는 하루 종일 빵을 구웠다,그의 주변 사람들은 신선한 빵을 먹고 싶어할 것이다.,따라서 주변 사람들은 냄새 좋은 것을 원했다.,그의 구운 빵을 맛보는 것이었다.,"주변 사람들은 빵을 원했는데, 왜냐하면 그는 하루 종일 빵을 구웠기 때문이다."
589,그는 결국 왔다,그에게 대해 더 많은 정보를 원할 것이다.,안정된 상황,그의 도착을 축하하는 것이었다.,그의 도움을
590,그는 주먹을 불끈 쥐었다,주변 사람들은 그가 폭력을 행하지 않도록 바라게 될 것이다.,그는 주먹을 불끈 쥐었다. 따라서 주변 사람들은 그가 폭력적인 것을 원했다.,그 그의 분노를 가라앉히는 것이었다.,평화로운 것
591,그는 물을 더 많이 마셨다,그 주변 사람들은 그가 건강을 챙기고 있다는 것을 원할 것이다.,그는 자주 화장실을 가야 했기 때문에 주변 사람들은 그가 화장실을 가고 싶어했다.,그가 더 건강해지는 것이었다.,"주변 사람들은 물을 원했는데, 왜냐하면 그는 물을 더 많이 마셨기 때문이다."
592,그는 보상을 받았다,주변 사람들은 그의 성취를 축하하고 싶어할 것이다.,더 많은 보상,무엇인지 알 수 있었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 보상을 받았기 때문이다."
593,그는 기침을 많이 했다,"""그가 의사에게 진찰을 받아야 한다고 생각할 것이다.""",조용한 것을 원했다.,그가 병원에 가서 의사에게 진찰을 받는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 기침을 많이 했기 때문이다."
594,그는 자신감을 얻었다,주변 사람들은 그의 성공을 축하하고 자신감이 계속 유지되기를 바랄 것이다.,그의 자신감을 원했다.,그의 자신감에 영향을 받아 더 나은 결과를 얻기 위해 더 많은 도전을 받아들이는 것이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 자신감을 얻었기 때문이다."
595,그는 사탕을 그만 먹었다,그의 건강과 안녕을 원할 것이다.,그만 먹은 사탕을 나눠 달라고 요구했다.,그가 건강을 더 잘 챙겨주고 싶었기 때문에 사탕 대신 과일이나 건강한 간식을 먹는 것이었다.,"주변 사람들은 더 많은 사탕을 원했는데, 왜냐하면 그는 사탕을 그만 먹었기 때문이다."
596,그는 드레스가 필요했다,주변 사람들은 그에게 어떤 종류의 드레스를 원할 것이다.,그는 어떤 스타일의 드레스를 원했다.,무슨 스타일의 드레스를 원했는지 물어보고 그에게 적합한 디자인을 찾아주는 것이었다.,"주변 사람들은 그것을 원했는데, 왜냐하면 그는 드레스가 필요했기 때문이다."
597,그는 카드를 보여줬다,그 카드가 무엇인지 궁금해할 것이다.,그는 카드를 보여줬다. 따라서 주변 사람들은 놀라운 것을 원했다.,"무엇인지 알 수 있었다. 그의 신용카드를 보여준 것으로 보아, 주변 사람들은 그의 신용카드 정보를 확인하고자 했던 것이다.","주변 사람들은 놀라운 것을 원했는데, 왜냐하면 그는 카드를 보여줬기 때문이다."
598,그는 냉장고를 확인했다,주변 사람들은 아마 그가 냉장고에 무엇을 넣거나 꺼내는지 궁금해할 것이다.,그는 뭔가를 요구했다.,냉장고 안에 있는 음식과 음료일 것이다.,"주변 사람들은 음식을 원했는데, 왜냐하면 그는 냉장고를 확인했기 때문이다."
599,그는 방아쇠를 당겼다,주변 사람들은 그가 총을 발사하지 않았기를 원할 것이다.,그는 방아쇠를 당겼다. 따라서 주변 사람들은 안전을 원했다.,그 총알이 날아갈 때의 공포와 혼란이었다.,"주변 사람들은 안전을 원했는데, 왜냐하면 그는 방아쇠를 당겼기 때문이다."
600,그는 실수로 넘어졌다,다친 부분이 없는지 확인하고 도와주기를 바랄 것이다.,그는 그가 다치지 않았음을 원했다.,그를 도와 일어서는 것이었다.,도움을
601,그는 수업 준비를 했다,주변 사람들은 그가 잘 준비해서 수업을 잘 이끌어 줄 것을 원할 것이다.,그의 지식을 원했다.,빠른 시일 내에 결과물을 보여주는 것이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 수업 준비를 했기 때문이다."
