,input,A,B,B2,B3
514,그는 야수를 겁을 줘서 쫓아내었다,그는 안전한 곳으로 피신할 것이다.,당황했다.,야수를 위협하여 쫓아내는 것이었다.,울음을 질렀다.
515,그는 발가락이 부러졌다,그는 즉시 의료진에게 도움을 요청할 것이다.,병원에 갔다.,병원으로 가서 의사에게 치료를 받는 것이었다.,"그는 걷지 못했는데, 왜냐하면 그는 발가락이 부러졌기 때문이다."
516,그는 자랑을 멈췄다,그는 겸손하게 행동할 것이다.,겸손해졌다.,그가 했던 것은 겸 humbleness를 찾았다.,"자랑스러워했는데, 왜냐하면 그는 자랑을 멈췄기 때문이다."
517,그는 연락이 끊겼다,그는 즉시 관련된 사람에게 연락을 시도할 것이다.,걱정했다.,알 수 없었다.,"그는 걱정했는데, 왜냐하면 그는 연락이 끊겼기 때문이다."
518,그는 자전거를 구입했다,그는 자전거를 타고 즐거운 시간을 보낼 것이다.,자전거 타기 연습을 했다.,자전거를 조립하는 것이었다.,"운동을 시작했는데, 왜냐하면 그는 자전거를 구입했기 때문이다."
519,그는 공을 드리블했다,그는 골대 쪽으로 공을 드리블하여 상대편을 공략할 것이다.,드리블을 했다.,농구를 플레이하는 것이었다.,달렸다
520,그는 더 잘 보게 되었다,그는 안경을 살 것이다.,안경을 샀다.,더 정확하게 보고 분석하는 것이었다.,"안경을 벗었는데, 왜냐하면 그는 더 잘 보게 되었기 때문이다."
521,그는 아픈 척했다,그는 즉시 의료진에게 도움을 요청할 것이다.,병원에 갔다.,병원에 가서 의사의 진찰을 받는 것이었다.,도망쳤다
522,그는 마침내 채용되었다,그는 기뻐하고 축하를 받을 것이다.,일자리를 얻었다., 새로운 직장에서 최선을 다하는 것이었다.,"열심히 노력했는데, 왜냐하면 그는 마침내 채용되었기 때문이다."
523,그는 친구들과 즐거운 시간을 보내고 있었다,그는 친구들과 함께 즐거운 시간을 보내며 즐거워 할 것이다.,즐거워했다.,무엇이든지 가능했다.,놀러나갔다
524,그는 새 직장을 찾았다,그는 이전 직장을 퇴사하고 새 직장에 입사할 것이다.,이직,이력서를 업데이트하고 취업 관련 사이트에 이력서를 올리는 것이었다. 또한 인터뷰를 준비하고 적절한 응답을 연습하는 것도 포함되었다.,이직
525,그는 마침내 완성했다,그는 기뻐하며 성취감을 느낄 것이다.,그는 성취했다., 놀라운 일이었다.,"노력했는데, 왜냐하면 그는 마침내 완성했기 때문이다."
526,그는 결혼한 지 20년이 되었다,그는 아내와 함께 결혼 기념일을 축하할 것이다.,결혼 기념일을 축하했다.,가족을 위해 최선을 다하는 것이었다.,"사과했는데, 왜냐하면 그는 결혼한 지 20년이 되었기 때문이다."
527,그도 함께 동승했다,"그는 즉시 차를 멈추고 상황을 평가한 후, 필요하다면 도움을 요청할 것이다.",그도 함께 동승했다. 따라서 그는 공동체적인 책임을 했다.,무엇이든지 나에게도 영향을 미쳤다.,"그는 놀랐다 했는데, 왜냐하면 그도 함께 동승했기 때문이다."
528,그는 드레스 쇼핑을 하러 갔다,그는 자신에게 잘 맞고 마음에 드는 드레스를 골라 구매할 것이다.,옷을 샀다.,드레스를 고르고 시착하는 것이었다.,"실망했는데, 왜냐하면 그는 드레스 쇼핑을 하러 갔기 때문이다."
529,그는 롤러스케이트를 타러 갔다,그는 안전 장비를 착용하고 롤러스케이트를 탈 것이다.,롤러스케이트를 타러 갔다. 따라서 그는 스케이팅을 했다.,롤러스케이트를 신고 공원을 돌아다니는 것이었다.,"그는 다리를 부러졌는데, 왜냐하면 그는 롤러스케이트를 타러 갔기 때문이다."
530,그는 큰 소리를 들었다,그는 주변을 살펴 안전한지 확인할 것이다.,깜짝 놀라서 소리를 질렀다.,무엇인지 알아보기 위해 주변을 둘러보았다.,"그는 놀랐었는데, 왜냐하면 그는 큰 소리를 들었기 때문이다."
531,그는 곧 육지를 봤다,그는 육지로 향할 것이다.,상륙했다.,육지로 향하는 길을 찾아 걷는 것이었다.,헤엄쳤다.
532,그는 프레젠테이션을 진행했다,그는 자신의 아이디어와 정보를 명확하게 전달하기 위해 프레젠테이션을 진행할 것이다.,발표,효과적으로 자료를 설명하고 참가자들의 질문에 대답하는 것이었다.,"불안했는데, 왜냐하면 그는 프레젠테이션을 진행했기 때문이다."
533,그는 함께 식사했다,그는 식사 후에 감사의 인사를 전할 것이다.,만족했다.,누군가와 대화를 나누고 그들과 함께 시간을 보낸 것이다.,"그는 배부르지 않았는데, 왜냐하면 그는 함께 식사했기 때문이다."
534,그는 매주 주말마다 갔다,그는 매주 주말마다 그곳을 방문할 것이다.,여행을 했다.,무엇이든지 휴식을 취하는 것이었다.,"""그는 지루했는데, 왜냐하면 그는 매주 주말마다 갔기 때문이다."""
535,그는 바닥에 오줌을 쌌다,그는 즉시 청소도구를 이용하여 바닥을 깨끗이 청소할 것이다.,실례를 했다.,혐오스럽고 불쾌한 일이었다.,"당황했는데, 왜냐하면 그는 바닥에 오줌을 쌌기 때문이다."
536,그는 통나무를 떨어뜨렸다,그는 주변에 있는 사람들을 안전한 곳으로 이동시키고 즉시 사고 보고서를 작성할 것이다.,쓰러졌다.,통나무를 잘라서 나무를 소파로 만드는 것이었다.,"그는 죄를 지었는데, 왜냐하면 그는 통나무를 떨어뜨렸기 때문이다."
537,그는 잠시 숨을 골랐다,그는 마음을 가다듬고 다시 집중할 것이다.,쉬었다.,눈을 감고 몸을 짊어지며 마음을 가다듬는 것이었다.,쉬었다
538,그는 추수감사절 저녁을 요리했다,그는 가족과 함께 식사를 즐기고 감사의 말을 전할 것이다.,요리사,가족들과 함께 식사를 즐기고 감사의 마음을 나누는 것이었다.,"노력했는데, 왜냐하면 그는 추수감사절 저녁을 요리했기 때문이다."
539,그는 파이 먹기 대회에 참가했다,그는 최대한 많은 파이를 먹으려고 노력할 것이다.,배부르게 먹었다.,파이를 최대한 빨리 먹는 것이었다. 그는 손을 빠르게 움직여 파이를 입에 넣고는 씹지도 않고 삼키기 시작했다.,"그는 배가 고팠는데, 왜냐하면 그는 파이 먹기 대회에 참가했기 때문이다."
540,그는 혀를 깨물었다,그는 물을 마시거나 입안에 얼음을 넣어서 혀를 진정시킬 것이다.,아픈 것 같았다.,무엇인지 정확히 알 수 없었다.,"웃었던 것 같았는데, 왜냐하면 그는 혀를 깨물었기 때문이다."
541,그는 그 자리에서 바로 채용했다,그는 기쁨을 감추지 않고 새로운 직원을 환영할 것이다.,합격했다.,그가 일자리를 받아들이고 새로운 직무에 적응하는 것이었다.,"지원서를 제출했는데, 왜냐하면 그는 그 자리에서 바로 채용했기 때문이다."
542,그는 저녁 식사를 준비했다,그는 식사를 즐기고 나서 주방을 정리할 것이다.,식사를 요리했다.,식재료를 장보러 가고 요리를 하기 위해 주방을 정리하는 것이었다.,"그는 피곤했는데, 왜냐하면 그는 저녁 식사를 준비했기 때문이다."
543,그는 케이크도 먹었다,그는 케이크도 먹었다. 그리고는 운동을 하거나 건강한 식사를 한다.,배부르다,케이크를 먹은 후에는 운동을 했다.,"운동을 했는데, 왜냐하면 그는 케이크도 먹었기 때문이다."
544,그는 고열이 있었다,그는 즉시 의료진에게 연락하여 상황을 설명하고 치료를 받을 것이다.,의사에게 도움을 요청했다., 먼저 의사를 찾아가서 치료를 받았다.,"기침을 멈추지 못했는데, 왜냐하면 그는 고열이 있었기 때문이다."
545,그는 너무 다쳤다,그는 즉시 응급실로 이동하여 치료를 받을 것이다.,병원에 가서 치료를 받았다.,무엇이든 도와주는 것이었다.,"그는 울었는데, 왜냐하면 그는 너무 다쳤기 때문이다."
546,그는 스테이크도 먹었다,그는 즐겁게 식사를 할 것이다.,고기를 먹었다. 따라서 그는 단백질을 섭취했다.,스테이크를 먹은 후에는 소화제를 복용했다.,"고기를 좋아했는데, 왜냐하면 그는 스테이크도 먹었기 때문이다."
547,그는 이야기를 길게 했다,그는 이야기를 듣고 관심을 가지며 경청할 것이다.,말을 많이했다. 따라서 그는 지루했다.,이야기를 듣는 사람들을 지루하게 만드는 것이었다.,"이야기를 잘했는데, 왜냐하면 그는 이야기를 길게 했기 때문이다."
548,그는 의상을 제작했다,그는 제작한 의상을 마케팅하여 판매할 것이다.,의상 디자이너였다.,의상을 디자인하고 제작하는 것이었다.,"그는 디자이너였는데, 왜냐하면 그는 의상을 제작했기 때문이다."
549,그는 밖에서 소음을 들었다,그는 소음이 어디서 나오는지 확인하고 필요하다면 조용히 하는 사람들에게 주의를 줄 것이다.,안으로 들어갔다.,창문을 열어 밖을 살펴보는 것이었다.,"그는 창문을 닫았는데, 왜냐하면 그는 밖에서 소음을 들었기 때문이다."
550,그는 서핑을 하려고 했다,그는 파도가 충분히 크고 안전한지 확인한 후에 서핑을 할 것이다.,바다로 향했다., 서핑 보드를 준비하고 해변으로 향했다.,"파도를 확인했는데, 왜냐하면 그는 서핑을 하려고 했기 때문이다."
551,그는 오두막을 지었다,그는 오두막을 지었다.,숲을 베었다.,오두막 주변에 나무를 베고 재료를 준비하는 것이었다.,"그는 숲을 탐험했는데, 왜냐하면 그는 오두막을 지었기 때문이다."
552,그는 상사를 고소했다,그는 변호사와 상담한 후 법적인 조치를 취할 것이다.,손해배상소송을 제기했다.,상사에 대한 불만을 표현하기 위해 법적 조치를 취한 것이다.,"그는 해고당했는데, 왜냐하면 그는 상사를 고소했기 때문이다."
553,그는 막 아기를 낳았다,그는 아기를 축하하고 지지해줄 것이다.,아버지가 되었다.,아버지가 되는 것이었다.,"아버지가 되었는데, 왜냐하면 그는 막 아기를 낳았기 때문이다."
554,그는 자신의 운명을 결정했다,그는 결정한 운명을 받아들일 것이다.,행동했다.,그의 결정에 따라서 그가 했던 것은 모든 것을 바꾸는 것이었다.,"희생을 했는데, 왜냐하면 그는 자신의 운명을 결정했기 때문이다."
555,그는 파티를 그리워했다,그는 친구들을 만나기 위해 파티를 계획할 것이다.,파티를 계획했다.,파티를 계획하고 친구들을 초대하는 것이었다.,"그는 가지 않았는데, 왜냐하면 그는 파티를 그리워했기 때문이다."
556,그는 휴대폰을 망가뜨렸다,그는 죄를 인정하고 책임을 지고 수리 또는 대체 비용을 지불할 것이다.,화가 났다.,휴대폰 수리점에 가서 수리를 받는 것이었다.,화가 났다.
557,그는 파티에 가고 싶어 했다,그는 친구들과 함께 파티에 참석할 것이다.,옷을 골라입었다.,파티에 가기 위해 친구들을 만나서 함께 가기로 했다.,"그는 싫어했는데, 왜냐하면 그는 파티에 가고 싶어 했기 때문이다."
558,그는 팔에 날카로운 통증을 느꼈다,그는 즉시 의료진에게 도움을 요청할 것이다.,의사를 찾아갔다.,"의사를 찾아가는 것이었다. 그는 팔에 무슨 문제가 있는지 알고 싶었고, 통증을 완화시키기 위해 의료 전문가의 도움을 받기로 결심했다.","그는 의사를 찾았는데, 왜냐하면 그는 팔에 날카로운 통증을 느꼈기 때문이다."
559,그는 바닥에 화학 물질을 엎질렀다,그는 즉시 안전한 장소로 이동해서 화학물질을 청소할 것이다.,화학 물질을 엎질렀으므로 그는 화학물질에 노출되었다.,화학 물질을 청소하기 위해 즉시 안전 장비를 착용하고 즉시 흡수제를 사용하여 화학 물질을 제거하는 것이었다.,"그는 넘어졌는데, 왜냐하면 그는 바닥에 화학 물질을 엎질렀기 때문이다."
560,그는 허리 통증이 있었다,그는 의사에게 상담을 받을 것이다.,의사를 찾아서 진료를 받았다., 허리를 푹 닦고 안마를 받는 것이었다.,"그는 일을 그만뒀는데, 왜냐하면 그는 허리 통증이 있었기 때문이다."
561,그는 거의 맞을 뻔했다,그는 위험을 피하기 위해 빠르게 피할 것이다.,놓칠 뻔했다. 따라서 그는 안심했다.,다시 한번 신중하게 생각하는 것이었다.,"노련한 선택을 했는데, 왜냐하면 그는 거의 맞을 뻔했기 때문이다."
562,그는 리얼리티 쇼를 시청했다,그는 그냥 시청할 것이다.,현실을 벗어난 상상을 했다.,리얼리티 쇼에 출연하기로 결심하는 것이었다.,"그는 현실을 잊었는데, 왜냐하면 그는 리얼리티 쇼를 시청했기 때문이다."
563,그는 바이올린을 연주했다,그는 음악을 즐기며 연주를 계속할 것이다.,바이올리니스트였다.,"바이올린 연주였다. 그의 솜씨는 뛰어났고, 음악을 통해 감정을 표현하는 것을 즐겼다.","그는 음악가였는데, 왜냐하면 그는 바이올린을 연주했기 때문이다."
564,그는 기분이 나아지기 시작했다,그는 긍정적으로 생각하고 자신을 축복할 것이다.,웃음 지었다.,자신을 위로하고 긍정적인 생각으로 마음을 다잡는 것이었다.,울었던 것
565,그는 나머지 거리는 걸어서 통학했다,그는 일반적으로 걸어서 통학하던 길을 계속 걸어 나갈 것이다.,걷기를 했다.,통학하는 동안 책을 읽거나 스마트폰으로 영상을 시청하는 것이었다.,"자전거를 탔었는데, 왜냐하면 그는 나머지 거리는 걸어서 통학했기 때문이다."
566,그는 피 냄새를 맡았다,그는 주변을 살펴보고 위험을 피하려고 할 것이다.,구토,무언가를 상처 입힌 것일 것이다. 그의 행동은 분명 어떤 형태의 폭력 행위였을 것이다.,"그는 구토했는데, 왜냐하면 그는 피 냄새를 맡았기 때문이다."
567,그는 오일 교환을 받았다,그는 차량의 오일을 교환할 것이다.,차량을 정비,차량의 엔진 오일을 교환하는 것이었다.,"그는 차를 운전했는데, 왜냐하면 그는 오일 교환을 받았기 때문이다."
568,그는 수학 시험을 치렀다,그는 성적표를 받아서 자신의 점수와 실력을 확인할 것이다.,공부해서 좋은 성적을 거뒀다.,시험지를 제출하고 기다리는 것이었다.,"공부를 많이 했는데, 왜냐하면 그는 수학 시험을 치렀기 때문이다."
569,그는 스스로를 믿고 있었다,- 자신의 결정을 내리고 그에 따라 행동할 것이다.,자신의 능력을 발휘하여 도전했다., 그의 자신감과 결단력으로 이뤄진 것이었다.,"노력했는데, 왜냐하면 그는 스스로를 믿고 있었기 때문이다."
570,그는 자전거가 정말 필요했다,그는 자전거를 사러 가려고 할 것이다.,자전거를 사기로 결정했다.,자전거를 사러 가기로 결정했다.,"노력했는데, 왜냐하면 그는 자전거가 정말 필요했기 때문이다."
571,그는 파상풍 예방 주사를 맞았다,그는 주사를 맞은 후에 몇 일 동안 상처가 아프거나 붓기가 생기지 않도록 조심할 것이다.,예방접종을 받았다.,의사의 권장에 따라 예방접종을 받는 것이었다.,아프지 않았다.
572,그는 명예로운 전투에 참여했다,그는 자신의 업적을 겸손하게 받아들일 것이다.,영광스러운(contributed)했다.,전쟁에서의 영웅적인 행동이었다.,"영웅적으로 행동했는데, 왜냐하면 그는 명예로운 전투에 참여했기 때문이다."
573,그는 발을 까닥거렸다,그는 놀랐지만 차분하게 상황을 평가한 후에 대응할 것이다.,아프다,무엇인가를 강하게 거부하는 행동이었다.,"그는 화를 냈는데, 왜냐하면 그는 발을 까닥거렸기 때문이다."
574,그는 어느 날 눈을 떴다,일어나서 일상적인 활동을 시작할 것이다.,불안해했다.,머리를 긁고 일어나서 창문을 열었다. 그가 했던 것은 새로운 하루를 맞이하기 위해 기도를 올리는 것이었다.,"그는 변했는데, 왜냐하면 그는 어느 날 눈을 떴기 때문이다."
575,그는 병원 진료 예약이 있었다,그는 예약 시간에 맞춰 병원에 가서 진료를 받을 것이다.,병원에 가기 위해 진료 예약을 했다.," 병원에 전화를 걸어 진료 예약을 확인하고, 약속 시간에 맞춰 병원에 가는 것이었다.","출근하지 못했는데, 왜냐하면 그는 병원 진료 예약이 있었기 때문이다."
576,그는 대사를 연습했다,그는 열심히 연습하여 완벽한 대사를 준비할 것이다.,연기를 연습했다.,피아노를 연주하는 것이었다.,"웃었을 때, 왜냐하면 그는 대사를 연습했기 때문이다."
577,그는 방귀를 뀌었다,그는 사과하고 죄송한 표정으로 주변을 살펴볼 것이다.,그는 방귀를 뀌었다. 따라서 그는 냄새가 났다.,냄새를 확인하고 주변을 돌아다니며 다른 사람들이 누군가 방귀를 뀌었다는 것을 알아차리지 못하도록 하려는 것이었다.,"그는 냄새를 맡았는데, 왜냐하면 그는 방귀를 뀌었기 때문이다."
578,그도 몰랐다,그는 주변 상황을 조사하고 정보를 수집한 후에 결정을 내릴 것이다.,당황하여 말없이 있었다.,그가 그 상황에서 최선을 다하는 것이었다.,"그는 실수를 했는데, 왜냐하면 그도 몰랐기 때문이다."
579,그는 너무 긴장한 것 같았다,그는 깊게 숨을 들이마시고 진정을 시도할 것이다.,땀을 흘렸다.,잠시 숨을 고르고 몸을 흔들며 긴장을 푸는 것이었다.,"떨린 것 같았는데, 왜냐하면 그는 너무 긴장한 것 같았기 때문이다."
580,그는 결혼 반지를 잃어버렸다,"그는 주변을 철저히 살펴보고, 결혼 반지를 찾아보겠다.",마음이 심란해졌다.,"신속하게 주변을 뒤져보고, 잃어버린 반지를 찾아보는 것이었다.",울면서 운 것 처럼 보였다.
581,그는 이웃과 대화를 나눴다,그는 이웃과 대화를 즐겁게 이어나갈 것이다.,소통,이웃의 이야기를 듣고 공감하는 것이었다.,"그는 친절했는데, 왜냐하면 그는 이웃과 대화를 나눴기 때문이다."
582,그는 실수로 떨어뜨렸다,그는 사과하고 즉시 치우거나 정리할 것이다.,죄를 인정했다.,그가 했던 것은 우연히 일어난 일이었다.,"그는 용서를 받았는데, 왜냐하면 그는 실수로 떨어뜨렸기 때문이다."
583,그는 비건 채식주의자가 되었다,"그는 육류와 동물 기반 제품을 먹지 않고, 식이를 식물 기반으로 전환할 것이다.",동물성 제품을 먹지 않았다.,식물성 식품만을 먹고 동물성 식품을 완전히 배제하는 것이었다.,"고기를 먹지 않았는데, 왜냐하면 그는 비건 채식주의자가 되었기 때문이다."
584,그는 그녀의 등을 쓰다듬었다,그는 즉시 그 행동을 멈추고 사과할 것이다.,사랑했다.,그녀를 달래기 위한 행동이었다.,"그는 사과했는데, 왜냐하면 그는 그녀의 등을 쓰다듬었기 때문이다."
585,그는 하와이로 이사했다,그는 새로운 환경에 적응하고 삶을 즐기기 위해 노력할 것이다.,이주생활을 시작했다.,하와이로 이사한 후에는 해변에서 서핑을 하거나 태양 아래에서 쉬는 것이었다.,"이사를 했는데, 왜냐하면 그는 하와이로 이사했기 때문이다."
586,그는 오늘 학교에 갔다,그는 수업을 듣고 집으로 돌아올 것이다.,공부,학교 수업을 듣고 친구들과 얘기하는 등의 활동이었다.,"그는 지각을 했는데, 왜냐하면 그는 오늘 학교에 갔기 때문이다."
587,그는 룸메이트와 마주쳤다,그는 룸메이트와 대화를 시도할 것이다.,놀랐다.,룸메이트와 인사를 나누고 각자의 일상을 이야기하는 것이었다.,"그는 당황했는데, 왜냐하면 그는 룸메이트와 마주쳤기 때문이다."
588,그는 하루 종일 빵을 구웠다,그는 빵을 판매하거나 나눠줄 것이다.,제때 제공되는 힘이나 에너지를 사용하여 노동을 하였다.,빵집에서 일하는 것이었다.,"그는 피곤했는데, 왜냐하면 그는 하루 종일 빵을 구웠기 때문이다."
589,그는 결국 왔다,그는 환영의 인사를 건네거나 기쁨을 표현할 것이다.,도착,무엇이었는지 알 수 없었다.,"그는 떠났었는데, 왜냐하면 그는 결국 왔기 때문이다."
590,그는 주먹을 불끈 쥐었다,"그는 폭력적인 행동을 하지 않고, 차분하게 상황을 진정시키려고 노력할 것이다.",분노했다.,상황을 통제하려는 노력이었다.,"화가 났었는데, 왜냐하면 그는 주먹을 불끈 쥐었기 때문이다."
591,그는 물을 더 많이 마셨다,그는 자주 화장실을 이용하거나 물을 더 자주 마시도록 노력할 것이다.,소변을 자주 보았다.,물을 더 자주 병에 담아 마실 것이었다.,쓰러졌다.
592,그는 보상을 받았다,그는 감사의 표시로 보상을 주신 분께 감사 인사를 전할 것이다.,그는 노력했다.,"어떤 일에 대한 보상을 받았다면, 그가 했던 것은 그 일에 대한 노력과 열정으로 인해 보상을 받은 것이라고 생각할 수 있다.","그는 노력했는데, 왜냐하면 그는 보상을 받았기 때문이다."
593,그는 기침을 많이 했다,그는 의사에게 진료를 받으러 갈 것이다.,그는 감기에 걸렸다.,의사를 찾아가서 치료를 받는 것이었다.,기침을 많이 했었다.
594,그는 자신감을 얻었다,그는 새로운 도전에 대해 더욱 자신감을 갖고 도전할 것이다.,더 많은 도전을 해보았다., 그가 했던 것은 더 큰 도전에 도전하는 것이었다.,"노력했는데, 왜냐하면 그는 자신감을 얻었기 때문이다."
595,그는 사탕을 그만 먹었다,그는 사탕을 그만 먹고 다른 건강한 간식을 찾을 것이다.,당뇨병에 걸릴 위험이 줄었다.,사탕을 먹는 것을 그만둔 것이다.,단단히 배가 고팠던
596,그는 드레스가 필요했다,그는 옷가게에 가서 새로운 드레스를 사러 갈 것이다.,쇼핑을 했다.,드레스 가게에 가서 쇼핑을 하거나 온라인으로 주문을 했다.,"쇼핑을 했는데, 왜냐하면 그는 드레스가 필요했기 때문이다."
597,그는 카드를 보여줬다,그는 신분증을 보여줬다.,결제를 했다.,무엇인지 확인하는 것이었다.,"그는 불만을 표했는데, 왜냐하면 그는 카드를 보여줬기 때문이다."
598,그는 냉장고를 확인했다,그는 냉장고 안에 있는 음식을 확인하고 필요한 것을 채워넣을 것이다.,식료품을 사야 했다.,냉장고 안에 있는 식재료를 확인하는 것이었다.,식사를 준비
599,그는 방아쇠를 당겼다,그는 즉시 안전한 곳으로 숨을 찾을 것이다.,총을 쏘았다.,총을 쏘는 것이었다.,"총을 쏘았는데, 왜냐하면 그는 방아쇠를 당겼기 때문이다."
600,그는 실수로 넘어졌다,그는 일어나서 자신의 상태를 확인하고 다시 일어설 것이다.,다치지 않았다.,"실수로 인해 넘어지게 되었고, 그 후에는 일어나서 다시 시도했다.",비틀거렸다.
601,그는 수업 준비를 했다,수업을 진행할 것이다.,수업을 가르쳤다.,수업 자료를 준비하고 강의 계획을 세우는 것이었다.,"열심히 공부했는데, 왜냐하면 그는 수업 준비를 했기 때문이다."
602,그는 바지 단추를 풀었다,그는 다시 바지 단추를 잠그겠다.,바지를 벗었다.,바지를 벗는 것이었다.,"그는 더욱 편안해졌는데, 왜냐하면 그는 바지 단추를 풀었기 때문이다."
603,그는 자신을 노출했다,"그는 자리를 떠나거나, 상황을 바꾸거나, 다른 사람들에게 도움을 요청할 것이다.",위험에 노출되었다.,그가 했던 것은 모든 사람들에게 자신의 생각과 감정을 드러내는 것이었다.,"그는 위험을 무릅쓰고 행동했는데, 왜냐하면 그는 자신을 노출했기 때문이다."
604,그는 모든 친구들에게 자랑했다,그는 겸손하게 자랑하지 않을 것이다.,자만심을 키웠다.,다른 사람들을 자랑하고 자신의 성과를 과시하는 것이었다.,"그는 성과를 이뤘는데, 왜냐하면 그는 모든 친구들에게 자랑했기 때문이다."
605,그는 말을 탔다,그는 목적지로 향할 것이다.,그는 말을 탔다. 따라서 그는 이동했다.,말을 타는 것이었다.,"그는 지갑을 잃었는데, 왜냐하면 그는 말을 탔기 때문이다."
606,그는 수박에 줄을 그었다,그는 수박을 자르기 위해 줄을 그었다.,수박을 자르거나 먹었다.,수박을 자르기 위해 줄을 그은 것이었다.,"그는 배가 고팠는데, 왜냐하면 그는 수박에 줄을 그었기 때문이다."
607,그는 꿈에 그리던 남자를 만나게 되었다,그는 그 남자와 대화를 나누고 친해지기 위해 노력할 것이다.,행복해했다.,남자와의 관계를 쌓기 위해 최선을 다하는 것이었다.,노력하여 최종적으로 성공을 거둘 수 있었다
608,그는 내일 역사 시험이 있었다,그는 오늘 밤에 역사 시험을 공부할 것이다.,공부했다.,과거의 역사 시험 문제들을 공부하는 것이었다.,"공부를 했는데, 왜냐하면 그는 내일 역사 시험이 있었기 때문이다."
609,그는 주차 위반 딱지를 받았다,그는 주차 위반에 대한 벌금을 내야 한다.,주차위반을 저지르지 않겠다.,차를 잘못 주차한 것이었다.,"속상해했는데, 왜냐하면 그는 주차 위반 딱지를 받았기 때문이다."
610,그는 일하고 싶지 않아 했다,그는 자신의 의지를 이해하고 적절한 방법으로 휴식을 취할 것이다.,그는 꾸물거리고 싶지 않아 했다. 따라서 그는 노력했다., 늘어져서 침대에서 뒹굴거리는 것뿐이었다.,"그는 게으름을 피우고 싶지 않아 했는데, 왜냐하면 그는 일하고 싶지 않아 했기 때문이다."
611,그는 메시지를 받았다,그는 메시지를 확인하고 즉시 응답할 것이다.,읽었다.,빠르게 답장을 보내는 것이었다.,"그는 기뻤는데, 왜냐하면 그는 메시지를 받았기 때문이다."
612,그는 사이렌 소리를 들었다,그는 주변을 살펴 안전한 곳으로 대피할 것이다.,그는 급히 도망쳤다.,차를 급히 멈추고 주변을 살펴보는 것이었다.,"그는 뛰어갔는데, 왜냐하면 그는 사이렌 소리를 들었기 때문이다."
613,그는 넷플릭스를 시청했다,그는 즐겁게 시청할 것이다.,스트리밍을 했다.,넷플릭스 영화나 드라마를 즐겨보는 것이었다.,"졸렸었는데, 왜냐하면 그는 넷플릭스를 시청했기 때문이다."
614,그는 동물병원에 데려갔다,그는 동물병원에 데려갔다.,그는 애완동물을 치료하러 갔다. 따라서 그는 애완동물에 대한 책임감을 보였다.,동물을 치료하기 위해 동물병원에 데려간 것이었다.,"아픈 것처럼 보였는데, 왜냐하면 그는 동물병원에 데려갔기 때문이다."
615,그는 그의 엄마에게 말했다,"""엄마, 제가 실수를 저질렀어요.""",그의 엄마에게 말했다. 따라서 그는 그녀를 도와주었다.,그의 엄마에게 도움을 요청하는 것이었다.,울었다.
616,그는 많이 울었다,.그는 위로 받아주고 안심시켜줄 것이다.,그는 많이 울었다. 따라서 그는 슬퍼했다.,누군가에게 위로를 받는 것이었다.,울었어
617,그는 늙었다,그는 자신의 늙음을 받아들이고 건강을 유지하기 위해 적절한 관리와 운동을 실천할 것이다.,지체했다.,그가 했던 것은 더 이상 자신의 몸을 강요하지 않았다. 그는 쉬고 즐기며 삶을 즐겼다.,"쓸모없는 일을 했는데, 왜냐하면 그는 늙었기 때문이다."
618,그는 어린 딸이 있었다,그는 딸을 보호하고 안전하게 지켜줄 것이다.,아빠가 되었다.,"딸을 위해 더 열심히 일하는 것이었다. 그는 딸을 위해 더 많은 돈을 벌기 위해 노력했고, 그녀가 행복하게 자랄 수 있도록 최선을 다했다.","노력했는데, 왜냐하면 그는 어린 딸이 있었기 때문이다."
619,그는 두 손을 모았다,그는 기도를 하고 있을 것이다.,기도를 했다.,기도하는 것이었다.,"절실하게 기도했는데, 왜냐하면 그는 두 손을 모았기 때문이다."
620,그는 외로움을 덜 느꼈다,그는 친구들과 함께 시간을 보내거나 취미 활동을 즐길 것이다.,친구를 사귀었다.,무엇이든지 자신을 채울 수 있는 활동이었다. 그는 취미를 찾아 즐겁게 시간을 보내거나 사람들과 소통하는 것을 좋아했다.,"웃었는데, 왜냐하면 그는 외로움을 덜 느꼈기 때문이다."
621,그는 낙담했다,그는 친구나 가족에게 도움을 요청할 것이다.,"힘든 일을 겪었지만, 다시 일어섰다.",자신의 상황을 받아들이고 다시 일어서려는 노력이었다.,"그는 노력했는데, 왜냐하면 그는 낙담했기 때문이다."
622,그는 집을 팔았다,그는 판매 대금을 받은 후 새로운 집을 구입하거나 투자에 사용할 것이다.,부동산을 매각했다.,집을 정리하고 이사를 준비하는 것이었다.,이사를 갔다
623,그는 병가를 내었다,그는 병가를 내고 쉬어야 한다.,일을 쉬었다.,휴식을 취하고 몸을 푼 것이었다.,"그는 출근하지 않았는데, 왜냐하면 그는 병가를 내었기 때문이다."
624,그는 새로운 사업을 시작했다,그는 시장 조사를 하고 비즈니스 계획을 세우고 투자자들과 협상할 것이다.,도전했다.,새로운 제품을 개발하고 시장 조사를 통해 경쟁사를 분석하는 것이었다.,"성공했는데, 왜냐하면 그는 새로운 사업을 시작했기 때문이다."
625,그는 폭탄발언을 했다,그는 즉시 사과하고 책임을 인정할 것이다.,비난을 받았다.,매우 논란을 일으켰고 많은 비판을 받았다.,"사과를 했는데, 왜냐하면 그는 폭탄발언을 했기 때문이다."
