,input,A,B,B2,B3
652,그는 친구가 필요했다,그 주변 사람들은 그의 외로움을 이해하고 도와주고 싶었을 것이다.,그의 외로움을,그의 외로움과 고독이었다.,공감(empathy)
653,그는 새로운 고객을 확보했다,그 주변 사람들은 기뻐하고 긍정적으로 반응했다.,그는 성취감을 느꼈다.,"그의 열정과 끈기였다. 그는 항상 목표를 달성하기 위해 최선을 다하는 모습을 보여주었기 때문에, 주변 사람들은 그의 성공을 응원하게 되었다.","놀라운 것을 느꼈는데, 왜냐하면 그는 새로운 고객을 확보했기 때문이다."
654,그는 집을 구입했다,주변 사람들은 그가 집을 구입해서 기뻐했다.,부러움,부러움이었다. 그는 집을 구입했으니 부러움이었다.,기쁨을
655,그는 낚시를 하거나 미끼를 잘랐다,"""그의 주변 사람들은 신기하거나 놀라워했다.""",그의 냄새를 느꼈다.,그는 평온하고 집중된 모습이었다.,불안한 것을
656,그는 새 모자를 구입했다,"""주변 사람들은 그가 새 모자를 구입해서 기뻐했다.""",그의 새로운 변화를 느꼈다.,그는 스타일을 바꾸고 싶어 한다는 것이었다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 새 모자를 구입했기 때문이다."
657,그는 시동을 켜었다,"""주변 사람들은 놀라거나 당황했을 것이다.""",엔진소리를,엔진 소리와 진동이었다.,불안한 것을
658,그는 운전면허 시험에 합격했다,주변 사람들은 기뻤다.,그는 안전운전을 할 수 있을 것을 느꼈다.,그의 운전 실력이 향상되었을 것이라는 기대감이었다.,"기쁨을 느꼈는데, 왜냐하면 그는 운전면허 시험에 합격했기 때문이다."
659,그는 헬스장에 가입했다,"""그의 친구들은 기뻐했고, 그의 가족은 건강에 대한 관심을 보였다.""",그는 더 강해지고 건강해지는 것을 느꼈다.,그는 건강에 대한 관심이 많다는 것이었다.,"주변 사람들은 그의 변화된 에너지를 느꼈는데, 왜냐하면 그는 헬스장에 가입했기 때문이다."
660,그는 자신의 컬렉션을 탐색했다,주변 사람들은 놀라거나 흥분했다.,호기심을,그는 열정적이고 흥미진진한 것이었다.,다양한 감정을
661,그는 지갑을 챙겼다,"""주변 사람들은 안심했다.""",그의 신중함을,그의 신중함과 책임감이었다.,안전한 것
662,그는 제시간에 도착했다,"""주변 사람들은 안심하고 기뻤다.""",안정감, 그의 신뢰성과 책임감이었다.,"안심된 것을 느꼈는데, 왜냐하면 그는 제시간에 도착했기 때문이다."
663,그는 밤새도록 잠을 잤다,주변 사람들은 그가 과로해서 피곤한 것을 알고 걱정했다.,피곤함,그는 피곤해 보였다.,피곤한 것을
664,그는 이를 악물었다,주변 사람들은 놀라거나 불쾌해했다.,그는 이를 악물었다. 따라서 주변 사람들은 긴장된 것을 느꼈다.,그의 분노와 불안이었다.,불안한 것을
665,그는 1위로 데뷔했다,"""주변 사람들은 그가 놀라움과 기쁨을 느꼈다.""",그는 대단한 것을 느꼈다.,그는 놀라움과 자부심이었다.,부러움을
666,그는 방문하고 싶다고 했다,"""그의 방문을 기다리고 기쁘게 받아들일 것이다.""",기쁜,그는 그 곳에 대한 강한 열망을 느끼고 있다는 것이었다.,"주변 사람들은 놀란 것을 느꼈는데, 왜냐하면 그는 방문하고 싶다고 했기 때문이다."
667,그는 드디어 전화했다,"""그의 친구들은 안심하고 기뻐했다.""",그는 드디어 전화했다. 따라서 주변 사람들은 안도의 심정을 느꼈다.,그의 결단력과 용기였다.,"약간의 안도감을 느꼈는데, 왜냐하면 그는 드디어 전화했기 때문이다."
668,그는 광고를 게시했다,"그의 친구들은 흥분했고, 경쟁사는 경쟁적으로 대응했다.","광고의 영향을 받았고, 그에 대해 생각했다.",그 제품이나 서비스에 대한 관심과 호기심이었다.,불편함을
669,그는 울고 싶은 기분였다,그 주변 사람들은 그의 안타까운 상황을 이해하고 도와주고 싶은 마음이었다.,그의 슬픔을,그의 마음이 상처받았을 것이라고 생각했다.,공감(empathy)
670,그는 스스로를 부끄러워했다,주변 사람들은 그의 자신감이 떨어지고 부끄러워하는 모습을 보고 안타까워했다.,그의 정신적인 상태를 느꼈다.,그의 자신감의 부족과 자존심 상실이었다.,부끄러움
671,그는 나머지를 그녀에게 맡겼다,주변 사람들은 불안해하고 당황했다.,그녀가 책임을 맡기 때문에 주변 사람들은 그녀의 능력을 느꼈다.,그녀가 그에게 매우 의존적이라는 것이었다.,신뢰감을
672,그는 야채를 더 많이 먹었다,"""그의 주변 사람들은 기뻤다.""",그의 피부가 빛나고 건강해졌다.,그의 피부가 빛나고 건강해졌다는 것이었다.,이상한 것
673,그는 돈을 잊어버렸다,"""주변 사람들은 당황하고 혼란스러웠다.""",그의 친구들은 그가 돈을 잊어버렸다는 것을 느꼈다.,그의 부주의와 경솔함이었다.,당황한
674,그는 코스튬 콘테스트에 참가했다,주변 사람들은 놀라거나 흥분했을 것이다.,그의 창의성과 열정,"그의 창의성과 자신감이었다. 그는 다른 참가자들과 경쟁하면서도 자신만의 독특한 스타일을 보여주었고, 이를 통해 주변 사람들은 그의 열정과 자신감에 감탄했다.","놀람을 느꼈는데, 왜냐하면 그는 코스튬 콘테스트에 참가했기 때문이다."
675,그는 자전거를 부쉈다,"""주변 사람들은 놀라거나 안타까워했다.""",그는 자전거를 부쉈다. 따라서 주변 사람들은 그의 무책임함을 느꼈다.,그의 능력과 체력에 대한 놀라움이었다.,"분노와 실망을 느꼈는데, 왜냐하면 그는 자전거를 부쉈기 때문이다."
676,그는 바지에 똥을 쌌다,주변 사람들은 당황하고 불쾌해했다.,악취를,그를 피하는 것이었다.,불쾌한
677,그도 알고 있었다,주변 사람들은 실망하고 분노했다.,그도 알고 있었다. 따라서 주변 사람들은 그의 불안을 느꼈다.,그도 알고 있었다. 따라서 주변 사람들이 느꼈던 것은 그의 불안함과 자존심 상실이었다.,"주변 사람들은 놀라운 것을 느꼈는데, 왜냐하면 그도 알고 있었기 때문이다."
678,그는 데이트를 약속했다,"""주변 사람들은 기쁘고 흥분했다.""",기대,그의 흥분과 기대감이었다.,기대된다
679,그는 예상치 못한 실패를 겪었다,그 주변 사람들은 실망하고 안타까워했다.,실망,"실망과 안타까움이었다. 그는 예상치 못한 실패에 대해 자신도 놀랐지만, 주변 사람들의 실망한 모습을 보며 더욱 속상해졌다.",실망을
680,그는 누군가를 만났다,주변 사람들은 궁금해하거나 놀라거나 기뻐했다.,호기심을 느꼈다.,그는 흥분과 호기심이었다.,"주변 사람들은 호기심을 느꼈는데, 왜냐하면 그는 누군가를 만났기 때문이다."
681,그는 스케이트 타는 법을 배웠다,그 주변 사람들은 기쁘고 뿌듯해했다.,그는 스케이트 타는 것을 느꼈다.,그 그가 더 자신 있고 능숙해졌다는 것이었다.,기쁨을
682,그는 호흡 곤란이 있었다,"""주변 사람들은 그의 걱정스러운 상태에 대해 불안해했다.""",그는 위급한 상황을 느꼈다.,"그의 걱정과 불안이었다. 그는 호흡을 할 수 없을까봐 두려워하고 있었기 때문에, 주변 사람들도 그의 불안한 상태를 느낄 수밖에 없었다.",불안한 것을
683,그는 냄새가 정말 좋았다,주변 사람들은 기뻤다.,그의 존재를 느꼈다.,그의 향기에 끌려들었다.,"주변 사람들은 행복한 것을 느꼈는데, 왜냐하면 그는 냄새가 정말 좋았기 때문이다."
684,그는 대신 결정했다,주변 사람들은 놀라거나 안도했을 것이다.,그의 결정을 의심했다.,그의 결단력과 자신감이었다.,"다양한 감정을 느꼈는데, 왜냐하면 그는 대신 결정했기 때문이다."
685,그는 그녀를 바라봤다,그 주변 사람들은 놀라거나 궁금해했을 것이다.,그의 관심을 느꼈다.,그의 사랑이 그녀에게 깊이 있음을 알 수 있었다.,부끄러움을
686,그는 바구니를 받았다,주변 사람들은 그가 바구니를 받아서 기뻐했다.,대단한 것,그는 어떤 이유로 그 바구니를 받았을까?,"놀람과 기쁨을 느꼈는데, 왜냐하면 그는 바구니를 받았기 때문이다."
687,그는 광고를 보게 되었다,그 주변 사람들은 광고를 보게 된 그에 대해 별 관심이 없었다.,그는 광고를 보게 되었다. 따라서 주변 사람들은 그의 관심을 느꼈다.,그 광고에 대한 호기심과 관심이었다.,불안한 것을
688,그는 휴대폰을 가져갔다,"""주변 사람들은 분노와 당황을 느꼈다.""",그의 부주의함을,그는 어딘가로 급히 가야하는 상황에 처해있는 것으로 보였다.,"분노한 것을 느꼈는데, 왜냐하면 그는 휴대폰을 가져갔기 때문이다."
689,그는 반지를 발견했다,"""주변 사람들은 놀라거나 기쁘거나 부러워하거나 놀라워했다.""",그는 반지를 발견했다. 따라서 주변 사람들은 흥분된 것을 느꼈다.,"""그의 운이 정말 좋다"" 혹은 ""그가 행운아에게 선택된 것 같다""",놀라운 것을
690,그는 바로 돌아왔다,"""주변 사람들은 놀라거나 기뻐했다.""",안도함,그의 결정력과 신속한 대처능력이었다.,"안도함을 느꼈는데, 왜냐하면 그는 바로 돌아왔기 때문이다."
691,그는 새 키보드를 구입했다,"""주변 사람들은 그가 기뻐하는 것으로 보였다.""",그는 새 키보드를 구입했다. 따라서 주변 사람들은 그의 열정을 느꼈다.,"그는 이제 더 빠르게 타이핑을 할 수 있고, 키보드 소리가 조용해졌다.",기분 좋은
692,그는 도랑에 추락했다,"""주변 사람들은 놀라고 불안해했다.""",위험한,"전혀 예상치 못한 충격과 놀람이었다. 그의 추락은 모두를 놀라게 했고, 즉각적인 도움이 필요했다.","불안한 것을 느꼈는데, 왜냐하면 그는 도랑에 추락했기 때문이다."
693,그는 자신의 얼굴을 핥았다,그 사람들은 놀라거나 혼란스러워했다.,역겨운 것을 느꼈다.,"혼란과 불쾌함이었다. 그의 행동은 이해할 수 없는 것으로 여겨졌고, 주변 사람들은 어떻게 대처해야 할지 막막해했다.","놀람을 느꼈는데, 왜냐하면 그는 자신의 얼굴을 핥았기 때문이다."
694,그는 집까지 태워다 줬다,주변 사람들은 감사하고 안심했다.,따라서 주변 사람들은 그의 친절함을 느꼈다.,그의 친절함과 배려심이었다.,감동을
695,그는 손가락을 찔렀다,"""주변 사람들은 그의 아픔을 공감하고 걱정했다.""",그는 아픔을 느꼈다.,그는 아픔과 함께 작은 피가 나는 것을 느끼게 되었다.,아픈
696,그는 벽에 부딪혔다,주변 사람들은 놀랐고 걱정했다.,그는 충격을 느꼈다.,그의 충돌에 대한 깊은 놀라움과 걱정이었다.,놀란 것을
697,그는 그녀를 찾았다,주변 사람들은 안도하고 기뻤다.,기쁨과 안도,안도와 안정감이었다. 그들은 서로를 찾아 찾아가는 것을 보고 안도감을 느꼈다.,"주변 사람들은 안도를 느꼈는데, 왜냐하면 그는 그녀를 찾았기 때문이다."
698,그는 손을 내밀고 있었다,주변 사람들은 놀라거나 의아해했다.,따라서 주변 사람들은 그의 친절함을 느꼈다.,"따뜻한 친절함과 호의였다. 그의 손은 따뜻하고 환영하는 느낌을 주었고, 주변 사람들은 그의 친절한 제스처에 안심과 안도를 느꼈다.",따뜻함을
699,그는 자신의 어머니를 바라봤다,그 순간 주변 사람들은 그의 감정을 이해하고 공감했다.,따라서 주변 사람들은 그의 애정을 느꼈다.,그는 어머니를 향한 무한한 사랑과 존경이었다.,애정과 안정감을
700,그는 바지에 오줌을 쌌다,주변 사람들은 당황하고 불쾌해했다.,냄새,그의 냄새와 더러움이었다.,불편한
701,그는 프로포즈하고 싶어 했다,그 주변 사람들은 설레고 기뻤다.,그는 프로포즈하고 싶어 했다. 따라서 주변 사람들은 긴장된 것을 느꼈다.,그의 긴장과 설렘이었다.,떨림을
702,그는 엄청난 파티를 열었다,주변 사람들은 놀라고 기뻤다.,그는 엄청난 파티를 열었다. 따라서 주변 사람들은 놀라움을 느꼈다.,그는 정말로 화려하고 즐거운 사람이라는 것이었다.,즐거움을
703,그는 3점슛을 성공시켰다,주변 사람들은 환호하고 기뻐했다.,그는 신기한 것을 느꼈다.,그의 능력과 정확성에 대한 존경심이었다.,"놀라운 것을 느꼈는데, 왜냐하면 그는 3점슛을 성공시켰기 때문이다."
704,그는 셔츠에 케첩을 엎질렀다,"""주변 사람들은 당황했다.""",냄새,케첩 냄새와 그의 어색함이었다.,당황한(reaction)
705,그는 대신 비디오 게임을 했다,그들은 실망했다.,그의 무관심함을,쾌락이 아니라 실망이었다.,"실망한 것을 느꼈는데, 왜냐하면 그는 대신 비디오 게임을 했기 때문이다."
706,그는 가려운 곳을 긁었다,주변 사람들은 당황하거나 불편해했다.,그의 불편함을,그의 불편함과 안도였다.,관심 없는
707,그는 자녀가 한 명 있었다,그 주변 사람들은 그의 자녀가 한 명이라는 소식에 놀랐다.,그는 자녀가 한 명 있었다. 따라서 주변 사람들은 그의 부모로서의 책임감을 느꼈다.,부모로서의 책임감과 사랑이었다.,보통으로
708,그는 아침에 일어나 준비를 했다,그 주변 사람들은 그가 일상적인 행동을 하는 것으로 보고 아무런 감정을 느끼지 않았다.,그의 책임감과 성실함을,그는 오늘 하루를 열심히 시작할 준비가 된 것이었다.,"주변 사람들은 그의 책임감을 느꼈는데, 왜냐하면 그는 아침에 일어나 준비를 했기 때문이다."
709,그는 집에 갈 시간였다,"가족들은 안심하고 기뻤을 것이고, 친구나 동료들은 그를 기다리거나 실망했을 것이다.",그는 떠나려는 것을 느꼈다.,그는 일이 끝나고 휴식이 필요하다는 것이었다.,"놀란 것을 느꼈는데, 왜냐하면 그는 집에 갈 시간이었기 때문이다."
710,그는 주말에는 캠핑을 떠났다,"""그의 친구들은 즐거워했고, 가족들은 안전한 여행을 기원했다.""",그의 결단력과 모험심을 느꼈다.,그는 자연을 사랑하고 모험을 즐기는 것이었다.,부러움을
711,그는 중요한 회의가 있었다,주변 사람들은 그가 중요한 회의가 있어 긴장하고 신중해야 한다고 느꼈다.,그는 긴장된 것을 느꼈다.,그 그의 결정이 중요하고 영향력 있는 것이었다.,"긴장된 것을 느꼈는데, 왜냐하면 그는 중요한 회의가 있었기 때문이다."
712,그는 제대로 찾아왔다,"""주변 사람들은 안심하고 안도했다.""",안도함을,확신과 안도였다.,"안도한 것을 느꼈는데, 왜냐하면 그는 제대로 찾아왔기 때문이다."
713,그는 강도를 당했다,"""주변 사람들은 놀라고 불안해했다.""",위험한 것을 느꼈다.,"두려움과 불안이었다. 그의 안전을 위해 모두가 주의를 기울었고, 이러한 사건이 다시 일어나지 않도록 조치를 취했다.",불안한 것을
714,그는 한 시간 늦었다,주변 사람들은 당혹스러웠다.,그는 무언가를 잊었을 것을 느꼈다.,그는 정말 불참한 사람이라는 것이었다.,"당혹스러운 것을 느꼈는데, 왜냐하면 그는 한 시간 늦었기 때문이다."
715,그는 새 아이폰을 구입했다,"""주변 사람들은 부러워하거나 기쁘거나 놀라거나 부러워했다.""",부러움,부러움이었다.,부러움을
716,그는 그녀를 흔들어 깨웠다,그 주변 사람들은 그 행동에 충격을 받았다.,긴장된 것을 느꼈다.,그녀가 깨어나지 않을까 봐 걱정이었다.,"주변 사람들은 당혹한 것을 느꼈는데, 왜냐하면 그는 그녀를 흔들어 깨웠기 때문이다."
717,그는 메일함을 확인했다,그 주변 사람들은 궁금해하거나 관심을 갖고 있었다.,안도,그의 관심과 중요한 정보를 기다리고 있다는 것이었다.,불안한 것을
718,그는 서핑을 좋아했다,그 주변 사람들은 그가 서핑을 좋아하는 것에 대해 호기심과 이해를 표했다.,"해당 문장에서 빈칸을 채우면 ""그의 열정""이 됩니다. 따라서 주변 사람들은 그의 열정을 느꼈다.",그는 자유로운 영혼이었다.,"주변 사람들은 흥분된 것을 느꼈는데, 왜냐하면 그는 서핑을 좋아했기 때문이다."
719,그는 새 시계를 받았다,"""그의 친구들은 기뻐했다.""",그는 새 시계를 받았다. 따라서 주변 사람들은 부러운 것을 느꼈다.,새 시계를 받은 그의 행복함과 만족감이었다. 새로운 선물을 받은 그의 기분 좋은 미소와 흥분한 모습을 보고 주변 사람들도 함께 기뻐했다.,기쁨을
720,그는 사슴을 쳤다,주변 사람들은 충격과 안타까움을 느꼈다.,공포와 안타김,안타까움과 분노였다. 사슴을 쳐서는 안 된다는 생각이었다.,"놀람을 느꼈는데, 왜냐하면 그는 사슴을 쳤기 때문이다."
721,그는 심호흡을 했다,그 주변 사람들은 그가 긴장되거나 스트레스 받고 있을 것이라고 느꼈다.,그는 안정적이고 차분한 것을 느꼈다.,그의 평온함과 안정감이었다.,평온한 것을
722,그는 군에 입대했다,"""가족과 친구들은 걱정되었지만, 자랑스러워했다.""",그는 군에 입대했다. 따라서 주변 사람들은 불안을 느꼈다.,그의 결정에 대한 자부심과 걱정이었다.,안전함을
723,그는 좀 나아진 듯 보였다,그 주변 사람들은 안심하고 기뻐했다.,그의 회복에 대한 희망을 느꼈다.,그는 노력한 결과가 드러나고 있었다.,불편한
724,그는 나무에 올라갔다,주변 사람들은 그의 행동에 놀라거나 걱정했을 것이다.,위험한 것,그는 위험한 상황에 처해 있다는 것이었다.,"불안한 것을 느꼈는데, 왜냐하면 그는 나무에 올라갔기 때문이다."
725,그는 무사히 도착했다,주변 사람들은 안심하고 기뻤다.,안심된 것을 느꼈다., 안심이었다.,"안도함을 느꼈는데, 왜냐하면 그는 무사히 도착했기 때문이다."
726,그는 선거에 출마했다,주변 사람들은 놀라거나 기쁘거나 걱정했을 것이다.,그는 선거에 출마했다. 따라서 주변 사람들은 긴장된 것을 느꼈다.,그는 정치에 대한 열정과 의지가 강하다는 것이었다.,"불안한 것을 느꼈는데, 왜냐하면 그는 선거에 출마했기 때문이다."
727,그는 이메일을 찾았다,그 주변 사람들은 놀라거나 당황했다.,약간의 놀람과 호기심을 느꼈다.,그는 끊임없는 흥분이었다.,불안한 것을
728,그는 뼈가 부러졌다,주변 사람들은 그를 위해 안타깝게 생각했다.,그의 고통을 느꼈다.,"그의 고통과 불편함이었다. 그는 힘들게 움직이고 있었고, 주변 사람들은 그의 상황에 대해 걱정하고 도움을 주려고 했다.",아픔을
729,그는 자신의 팔을 휘둘렀다,"""주변 사람들은 놀라거나 걱정스러워했다.""",위험한 것,그는 분노와 위협이었다.,불안한 것을
730,그는 빨리 왔다,주변 사람들은 놀라거나 기뻐했다.,그는 뭔가 중요한 일이 일어날 것을 느꼈다.,그는 놀람과 기쁨이었다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 빨리 왔기 때문이다."
731,그는 마이크를 내려놓았다,주변 사람들은 놀라거나 당황했을 것이다.,고요함을,그의 목소리가 사라진 것이었다.,불안한 것
732,그는 친구를 방문했다,"""그의 친구들은 기쁘고 반가웠다.""",그는 친구를 방문했다. 따라서 주변 사람들은 안색을 느꼈다.,그는 친구를 방문했다. 따라서 주변 사람들이 느꼈던 것은 그가 친구와의 관계를 소중히 여긴다는 것이었다.,불안한 것을
733,그는 감염되었다,"""주변 사람들은 불안과 걱정에 휩싸였다.""",불안한,불안과 걱정이었다. 그의 건강 상태와 주변 사람들의 안전에 대한 우려가 늘어났다.,불안한(reassurance) 것을
734,그는 캘리포니아로 이사했다,"""그의 친구들은 슬퍼하고, 부모님은 자랑스러워했다.""",그는 따뜻한 날씨를 느꼈다.,새로운 시작이었다. 새로운 환경과 문화 속에서 그의 변화를 주변 사람들은 느꼈다.,"불안함을 느꼈는데, 왜냐하면 그는 캘리포니아로 이사했기 때문이다."
735,그는 잠들지 못했다,주변 사람들은 그가 걱정스러워 보였다.,그의 불안을,"그의 피곤함과 불안감이었다. 그는 밤새도록 머릿속을 맴돌던 생각들로 인해 안정을 찾지 못했고, 이로 인해 주변 사람들도 그의 불안한 에너지를 느꼈다.",다양한 것을
736,그는 거미를 봤다,"""그의 주변 사람들은 놀라거나 두려워했을 것이다.""",공포를,"공포와 불안함이었다. 거미를 보는 것을 극도로 두려워하는 사람들은 주변에서 소리지르거나 도망치는 등의 반응을 보였고, 그의 주변에선 긴장된 분위기가 감돌았다.",불안한 것을
737,그는 총을 쐈다,주변 사람들은 놀라고 두려워했다.,위험한 것,공포와 불안함이었다. 그 순간에 모두가 자신의 안전을 위협받고 있다고 느꼈던 것이다.,공포를
738,그는 열쇠를 받았다,"""주변 사람들은 안심했다.""",안전한 것,그는 어떤 중요한 임무를 맡게 되었을 것이라는 예감이었다.,"주변 사람들은 기쁨을 느꼈는데, 왜냐하면 그는 열쇠를 받았기 때문이다."
739,그는 고양이를 입양하고 싶어 했다,"""주변 사람들은 그가 행복해 보였다.""",이를 이해했다.,그 그의 결정에 대해 호기심과 궁금함이었다.,행복한 것을
740,그는 실수로 엎질렀다,주변 사람들은 놀라거나 당황했을 것이다.,그는 실수로 엎질렀다. 따라서 주변 사람들은 놀라움을 느꼈다.,죄송함과 함께 도와주고 싶다는 강한 욕구였다.,당황한
741,그는 거북이를 발견했다,"""주변 사람들은 놀라거나 궁금해했다.""",놀라움을,놀라움과 호기심이었다. 거북이를 발견한 그의 모습은 궁금해하고 놀라워하는 사람들로 둘러싸였다.,놀라운 것을
742,그는 대신 TV를 시청했다,"""그의 친구들은 실망했다.""",그는 대신 TV를 시청했다. 따라서 주변 사람들은 실망을 느꼈다.,그는 혼자 있는 것이 아니라고 느꼈을 것이다.,"화가나는 것을 느꼈는데, 왜냐하면 그는 대신 TV를 시청했기 때문이다."
743,그는 가려움증이 심했다,그 주변 사람들은 그가 불편하고 괴로워하는 것을 알고 걱정했다.,그의 불편함을,그의 계속된 간지러움을 해소하기 위해 불편한 자세를 취하거나 계속해서 근처를 긁는 것이었다.,가려움증을
744,그는 새 셔츠가 필요했다,그 주변 사람들은 그가 새로운 셔츠를 필요로 하는 것에 대해 별다른 감정을 느끼지 않았다.,그는 쇼핑을 하러 나갈 필요가 있다. 따라서 주변 사람들은 그의 필요를 느꼈다.,그 그의 옷이 낡았다는 것이었다.,"주변 사람들은 그의 부족함을 느꼈는데, 왜냐하면 그는 새 셔츠가 필요했기 때문이다."
745,그는 낚시하러 가고 싶어했다,"""그의 친구들은 기뻐했고, 가족들은 걱정했다.""","""따라오고 싶어했다.""",그 그가 휴식을 취하고 싶어하는 것이었다.,부러움을
746,그는 첫 데이트 중였다,그 주변 사람들은 설레고 기대했을 것이다.,그는 긴장된 것을 느꼈다.,그들이 서로를 처음 만난 것에 대한 긴장과 설레임이었다.,"긴장된 것을 느꼈는데, 왜냐하면 그는 첫 데이트 중이었기 때문이다."
747,그는 바위에 부딪혔다,"""주변 사람들은 그의 안전을 걱정했다.""",그의 아픔을 느꼈다.,그는 아픔과 충격이었다.,아픔을
748,그는 학교에 지각했다,"""주변 사람들은 실망하고 불안해했다.""",그는 부지런함을 느꼈다.,그는 늘 지각을 하는 것이라고 생각했다.,실망한
749,그는 첫 한입을 먹었다,"""그의 주변 사람들은 기쁘고 놀라웠다.""",그는 맛있는 것을 느꼈다.,그는 신선한 맛과 함께 만족감을 느끼고 있었다.,"감탄할 만한 것을 느꼈는데, 왜냐하면 그는 첫 한입을 먹었기 때문이다."
750,그는 배가 고파졌다,주변 사람들은 그가 배고픔을 느끼고 있을 것으로 생각했다.,그의 배가 고파졌다. 따라서 주변 사람들은 그의 배고픔을 느꼈다.,그의 불편함과 급한 식사 필요성이었다.,배가 고파졌기 때문에 주변 사람들은 그의 성급함을 느꼈다.
751,그는 체중이 몇 파운드 줄었다,주변 사람들은 그가 건강을 위해 노력했다고 생각할 것이다.,그는 체중이 몇 파운드 줄었다. 따라서 주변 사람들은 그의 변화를 느꼈다.,그의 건강이 좋아진 것이었다.,"놀라움을 느꼈는데, 왜냐하면 그는 체중이 몇 파운드 줄었기 때문이다."
752,그는 그 결과 열쇠를 잃어버렸다,"""주변 사람들은 실망하고 당황했다.""",불안함과 걱정을 느꼈다.,그는 실망과 당황이었다.,불안한 것을
753,그는 문을 두드리는 소리를 들었다,"""그의 친구들은 놀라거나 궁금해했다.""",그는 누군가를 기다리고 있을 것을 느꼈다.,불안함과 궁금함이었다. 누구일까? 왜 문을 두드리고 있는 걸까? 이런 생각이 사람들의 마음을 강타했다.,불안한 것을
754,그는 친구들이 그립었다,그의 친구들은 그를 보고 기쁘고 안도했다.,이를 알고 있었다.,그의 친구들이 그리움이었다.,보통 이런 상황에서는 그리움을 느꼈을 것이다.
755,그는 칭찬을 많이 받았다,주변 사람들은 그가 자랑스럽고 기뻤을 것이다.,그의 자신감과 자부심을 느꼈다.,그는 자신에 대해 자만심을 갖고 있을 것이라고 생각했다.,자부심과 자신감을
756,그는 반려견을 애견 공원에 데리고 갔다,반려견을 사랑하는 사람들은 기쁨을 느꼈을 것이다.,반려견과의 즐거움을 느꼈다.,그는 동물을 사랑하고 책임감을 가진 주인으로 보였다.,"행복한 것을 느꼈는데, 왜냐하면 그는 반려견을 애견 공원에 데리고 갔기 때문이다."
757,그는 저녁 식사를 위해 만났다,"""그의 친구들은 기쁘고 행복했다.""",그의 의도를 느꼈다.,그는 특별한 이유로 만났다고 생각했을 것이다.,기대된 것을
758,그는 그가 가장 좋아하는 밴드를 봤다,그 주변 사람들은 그가 행복하고 흥분한 모습을 보였다.,그의 열정을,"그가 행복해 보였다. 그의 눈은 밴드를 보는 동안 빛나고 있었고, 그의 얼굴에는 큰 미소가 지어져 있었다.",기쁨을
759,그는 몇 시간이 걸렸다,주변 사람들은 기다리고 있던 만큼 실망했다.,그는 몇 시간이 걸렸다. 따라서 주변 사람들은 그것을 느꼈다. 고생한 것을,그는 매우 열심히 일했다는 것이었다.,"주변 사람들은 지루함을 느꼈는데, 왜냐하면 그는 몇 시간이 걸렸기 때문이다."
760,그는 적을 죽였다,주변 사람들은 충격과 두려움을 느꼈다.,위험을 느꼈다.,"두려움과 불안이었다. 그의 행동은 주변 사람들에게 끊임없는 위협으로 다가왔고, 이로 인해 그를 피하고자 하는 욕구가 강해졌다.",공포를
761,그는 슛을 성공시켰다,"""주변 사람들은 환호하고 기뻐했다.""",승리의 기쁨을 느꼈다.,그는 탁월한 능력을 가졌다는 것이었다.,성취감을
762,그는 고양이를 찾았다,"""주변 사람들은 기쁘거나 안심했다.""",기쁨,"안도와 안정감이었다. 고양이를 찾은 그의 미소와 행복한 모습을 보며, 주변 사람들은 안도하고 안정감을 느꼈다.","주변 사람들은 안도를 느꼈는데, 왜냐하면 그는 고양이를 찾았기 때문이다."
763,그는 잠자리에 들 준비를 했다,주변 사람들은 그가 편안하고 안정되어 보였을 것이다.,그의 졸음을 느꼈다.,그는 하루의 피로와 스트레스로 인해 피곤한 것이었다.,"피곤함을 느꼈는데, 왜냐하면 그는 잠자리에 들 준비를 했기 때문이다."
764,그는 기타를 구입했다,"""주변 사람들은 기뻤다.""",음악에 대한 열정을,그는 음악에 대한 열정과 새로운 취미를 찾고 있다는 것이었다.,"주변 사람들은 호기심을 느꼈는데, 왜냐하면 그는 기타를 구입했기 때문이다."
765,그는 기분이 조금 나아졌다,주변 사람들은 그가 기분이 나아졌다는 것에 안도하고 기뻐했다.,그의 기분이 나아졌다는 것을 느꼈다.,그의 에너지와 긍정적인 태도가 변화되었다는 것이었다.,"주변 사람들은 안도된 것을 느꼈는데, 왜냐하면 그는 기분이 조금 나아졌기 때문이다."
766,그는 가슴을 움켜쥐었다,그 주변 사람들은 그가 분노 혹은 슬픔을 느끼고 있다고 생각했다.,그의 긴장된 상태를 느꼈다.,그의 불안과 긴장감이었다.,슬픔을
767,그는 전화를 받았다,주변 사람들은 궁금하거나 기대감을 느꼈을 것이다.,불안한 것,그의 표정이 갑자기 변한 것이었다.,"놀라움을 느꼈는데, 왜냐하면 그는 전화를 받았기 때문이다."
768,그는 한 시간 거리에 있었다,주변 사람들은 안심되었다.,그의 존재를,그의 존재감과 영향력이었다.,"이해하기 어려운, 거리를 두는"
769,그는 배변을 보러 갔다,"""그는 당황스러워했다.""",그의 부재를 느꼈다.,그는 잠시 후에 편안해졌다.,불쾌함을
770,그는 이마를 찡그렸다,주변 사람들은 그가 불편하거나 고통을 느끼고 있다고 생각했다.,그의 불편함을,그의 불편함과 걱정이었다.,불편한
