,input,A,B,B2
331,그는 시간을 절약했다,"어떤 일이 벌어지기 전에, 그는 시간을 절약했다.",일찍 일어나기,어떤 것을 더 효율적으로 처리했다.
332,그는 동생과 대화를 나눴다,어머니가 그에게 새로운 자전거를 선물했다.,식사,그 전에는 오랜만에 본 친구들과 함께 식사를 했었다.
333,그는 공을 찾았다,그 전에 그는 공을 잃어버렸다.,찾기,그 전에 그는 주변을 뒤져서 찾았다.
334,그는 수업에 결석했다,그는 알람을 놓친 후에 수업에 결석했다.,출석을 하지 않기 전에 일어났다.,어떤 이유로 인해 건강이 좋지 않았기 때문에 결석했다.
335,그는 공을 던졌다,그는 공을 잡아서 손에 들었다.,그는 공을 던졌다. 이는 발을 떼기 전에 일어났다.,그 전에 그는 공을 잡았다.
336,그는 스카이다이빙을 하고 싶어했다,그는 스카이다이빙을 연습하고 준비했다.,죽음,그는 철저한 안전 규정을 숙지하고 훈련을 받아야 한다고 생각했다.
337,그는 새로운 친구를 사귀었다,그는 이전에 어떤 친구와 헤어졌다.,이사하기 전에,어떤 이야기를 들었는지 궁금해졌다.
338,그는 지갑을 보관했다,지갑을 보관하기 전에 그는 돈을 꺼내서 사용했다.,잠자리에 들기,그 전에 그는 자신의 주머니를 확인했다.
339,그는 응답이 없었다,그 사람에게 전화를 걸었지만 응답이 없었다.,사고,눈을 감고 깊게 숨을 들이마셨다.
340,그는 좋아하는 영화를 시청했다,한 문장으로 답하라: 그는 좋아하는 영화를 시청했다.,그는 좋아하는 영화를 시청했다. 이는 자기 전에 일어났다.,영화 리뷰를 읽고 결정을 내렸다.
341,그는 공중을 휘젓고 다녔다,그는 날개를 얻었다.,이는 날아다니기 전에 일어났다.,그 전에 그는 날개를 펼치고 하늘을 날았다.
342,그는 꿈에 그리던 자동차를 구입했다,그는 돈을 모아서 오랫동안 원하던 자동차를 구입하기 위해 노력했다.,현실이 꿈을 깨기 전에 일어났다.,그 전에 돈을 모아서 오랜 기간을 기다렸다.
343,그는 별똥별을 봤다,그는 별똥별을 봤다는 것을 알리기 위해 사람들에게 말했다.,자정,그 전에는 어둠 속에서 빛나는 별들을 찾아 헤매었다.
344,그는 우리에서 탈출했다,어떤 이유로 그가 탈출했는지에 대한 정보가 필요합니다.,그는 우리에서 탈출했다. 이는 일어나기 전에 일어났다.,우리와 함께 있던 것 같지 않았다.
345,그는 더 안전하다고 느꼈다,어떤 안전장치를 착용했다.,사고를 당하기 전에 일어났다.,어떤 안전장치를 설치했기 때문이었다.
346,그는 첫 주택을 구입했다,그는 주택 구입을 위해 여러 장소를 둘러보고 여러 개의 주택을 검토하고 결정을 내렸다.,결혼,어떤 종류의 주택을 원하는지에 대해 많은 연구를 했다.
347,그는 숙제하는 것을 잊어버렸다,그는 숙제를 하는 것을 잊어버렸다.,취침,어제 학교에서 받은 숙제를 확인해야 했다.
348,그는 입사 지원을 했다,면접을 보기 위해 입사 지원서를 제출했다.,그는 입사 지원을 했다. 이는 **면접**하기 전에 일어났다.,자기 소개서와 이력서를 작성했다.
349,그는 너무 취해서 운전할 수 없었다,그는 술을 마시고 운전을 하려고 했다.,음주운전,그 전에 술을 많이 마셨기 때문에 몸이 무거워져서 운전할 수 없었다.
350,그는 게임에서 승리했다,그는 게임을 열심히 연습하고 전략을 계획했다.,그는 게임에서 승리했다. 이는 경기하기 전에 일어났다.,그는 많은 연습을 했다.
351,그는 졸업장을 받았다,학교에서 학위를 취득했다.,졸업을,교육과정을 완수했다.
352,그는 엄마와 함께 쇼핑몰에 갔다,엄마와 함께 쇼핑몰에 갔다.,쇼핑을,엄마와 함께 점심을 먹으러 갔다.
353,그는 기념품을 살았다,어떤 특별한 장소를 방문했을 것이다.,여행을 하기 전에 일어났다.,그 전에 그는 여행을 즐겼다.
354,그는 여덟 살이 되었다,어린이가 성장하여 여덟 살이 되었다.,어른이 되기 전에 일어났다.,그는 학교에 다니지 않았다.
355,그는 호루라기를 불었다,그는 주변 사람들에게 주의를 환기시키기 위해 호루라기를 불었다.,코카인을 사용하기 전에 일어났다.,불을 피우고 있었다.
356,그는 그의 지갑을 받았다,어떤 사람이 그의 지갑을 분실했다.,"""그는 그의 지갑을 받았다. 이는 떠나기 전에 일어났다.""",그는 친구에게 돈을 빌려달라고 부탁했다.
357,그는 손에 화상을 입었다,그는 뜨거운 물을 쏟아서 손에 화상을 입었다.,요리,그는 뜨거운 냄비를 잡았기 때문에 손에 화상을 입었다. 그 전에 뜨거운 물을 부은 후에 바로 그것을 만지려고 했기 때문이다.
358,그는 다리를 보여줬다,이전에 그는 바람이 부는 것을 확인하기 위해 다리를 보여줬다.,무언가를 확인하기,무릎부터 아래쪽을 자르고 있었다.
359,그는 이상한 소리가 들렸다,이전에 그는 주변을 둘러보며 소리의 원인을 찾았다.,그는 이상한 소리가 들렸다. 이는 무언가가 일어나기 전에 일어났다.,어떤 이상한 존재가 무언가를 속삭이는 것 같은 소리였다. 그것이 무엇인지 궁금해하면서 그는 조심스럽게 주변을 둘러봤다.
360,그는 패스트푸드를 먹지 않았다,그는 건강한 식사를 했다.,식사,건강한 식사를 했다.
361,그는 요즘 우울해했다,그는 요즘 우울해했기 때문에 친구들이 그를 위로하고 도와주려고 노력했다.,어떤 일이 발생하여,어떤 일이 있었는지 기억이 나지 않았다.
362,그는 대신 시리얼을 먹었다,그는 냉장고에 있는 우유를 확인했지만 없어서 대신 시리얼을 먹었다.,아침식사,아침에 운동을 했다.
363,그는 셔츠에 물을 엎질렀다,그는 실수로 셔츠에 물을 엎었다.,다림질,셔츠를 다리로 닦았다.
364,그는 주문을 했다,주문을 하기 위해 메뉴를 살펴보고 결정을 내렸다.,주문한 것을 받기 전에 일어났다.,그는 메뉴를 살펴보았다.
365,그는 드디어 집에 도착했다,그는 긴 여행을 마치고 드디어 집에 도착했다.,출발,어느 정도의 교통체증 때문에 몇 시간을 낭비했다.
366,그는 얼굴에 미소가 가득했다,어떤 기쁜 소식을 들었거나 좋은 일이 있었을 것이다.,일어나기 전에 일어났다.,어떤 좋은 소식을 들은 것 같았다.
367,그는 내 부모님께 말씀드렸다,어떤 사건이 일어나기 전에는 그가 내 부모님께 말씀드렸다.,이는 결정하기 전에 일어났다.,나는 그 일에 대해 고백을 했다.
368,그는 실수로 부딪혔다,그는 산책하다가 다른 사람과 부딪혔다.,그는 실수로 부딪혔다. 이는 주의를 기울이지 않았기 전에 일어났다.,어디를 보지 않고 걸었기 때문에 그런 일이 발생했다.
369,그는 자기 자신을 연기했다,그는 연기 공부를 했다.,그는 자기 자신을 연기했다. 이는 연기하기 전에 일어났다.,그 전에 그는 대본을 완벽하게 외웠고 각본 속 캐릭터의 감정과 생각을 이해했다.
370,그는 으르렁거리기 시작했다,어떤 것에 화가 났다.,그는 화를 내기 시작했다. 이는 어떤 일이 일어나기 전에 일어났다.,무서운 소리를 들었다.
371,그는 내기에서 졌다,그는 내기에서 졌기 때문에 화가 나서 상대방을 공격했다.,그는 내기에서 졌다. 이는 경기하기 전에 일어났다.,그 전에는 자신의 운이 좋았던 것 같았다.
372,그는 새 컴퓨터를 구입했다,그는 이전 컴퓨터가 고장나서 새 컴퓨터를 구입했다.,구매,사용하던 컴퓨터가 고장나서 새로운 것을 사게 되었다.
373,그는 누구에게나 물어봤다,이전에 어떤 일이 벌어졌는지 정보가 없기 때문에 그가 누구에게나 물어본 것이 어떤 사건과 연관되었는지 알 수 없습니다.,이는 결정하기 전에 일어났다.,어떤 결정을 내렸는지에 대해 생각해 볼 필요가 있다고 말했다.
374,그는 떠나고 싶지 않았다,어떤 이유로 그가 떠나고 싶지 않았는지에 대한 정보가 없기 때문에 정확한 답변을 제공할 수 없습니다.,떠나기,어떻게든 상황을 바꿀 수 있을 거라고 생각했다.
375,그는 어젯밤 꿈을 꿨다,어젯밤에 그는 꿈을 꾸었다.,자다,무언가를 먹고 나서 배가 아팠던 것 같다.
376,그는 청력 검사를 받았다,그는 청력이 점점 나빠지고 있다는 증상을 느꼈기 때문에 청력 검사를 받았다.,수술,청력이 점점 나빠지고 있다는 것을 느꼈기 때문에.
377,그는 어제 제 손톱을 칠해줬다,"어떤 사람이 그의 손톱을 칠해주기 전에, 어떤 사건이 일어난 것으로 보입니다.",손톱을 매니큐어하기 전에 일어났다.,"내 손톱을 깎아주고, 그 전에는 내 머리를 자르기도 했다."
378,그는 꽤 괜찮아 보였다,어떤 사람이 그를 칭찬했다.,사고,무슨 일이 있었는지 알 수 없었다.
379,그는 담배를 끊었다,그는 담배를 끊기로 결심했다.,건강을 회복하기 전에 일어났다.,그 전에 매일 한 갑씩 피웠었다.
380,그는 파티에 초대받았다,그는 친구에게 파티에 초대받았다.,파티에 참석하기 전에 일어났다.,그 전에 그는 친구들과 함께 시간을 보내기 위해 옷을 고르고 머리를 손질했다.
381,그는 노래도 부르고 춤도 추웠다,그는 축가를 하고 있었다.,공연,그 전에 그는 연주도 했다.
382,그도 멈췄다,이전에 차량이 급격하게 감속했거나 정지했을 것으로 추정된다.,그도 멈췄다. 이는 일어나기 전에 일어났다.,"무언가를 찾아보고 있었는데, 그도 멈췄다. 그 전에 무언가를 발견한 것 같았지만 지금은 찾지 못하는 것 같았다."
383,그는 운전대를 잡았다,그는 운전 교실에서 교육을 받았다.,운전을 하기 전에 일어났다.,차를 천천히 주차하고 차에서 내렸다.
384,그는 이웃에게 물었다,이웃에게 물어보기 전에 그는 궁금한 것이 있었을 것이다.,일어나다,어떤 사건이 있었나요?
385,그는 홀로 일어섰다,어떤 일이 벌어졌는지에 대한 정보가 없기 때문에 그가 왜 홀로 일어섰는지 알 수 없습니다.,자신의 목표를 이루기 전에 일어났다.,"누군가와 함께 있었지만, 이제는 혼자서 일어서고 있었다."
386,그는 공황 발작을 일으켰다,그 전에 그는 극심한 스트레스와 불안을 겪었다.,긴장,어떤 스트레스 상황에 처해 있었던 것 같았다.
387,그는 벌금을 내야 했다,어떤 교통 위반을 저질렀다.,사고,어떤 법을 어기고 말았기 때문이었다.
388,그는 어느 날 가게에 갔다,어느 날 가게에 갔다는 것이 사건이 일어나기 전에 벌어진 일입니다.,출발,머리를 자르기로 결심했다.
389,그는 물건이 너무 많았다,그는 물건을 정리하고 정리하는 동안 그의 집이 너무 많은 물건으로 가득 차 있었다.,이는 정리하기 전에 일어났다.,어떤 물건을 버릴지 고민했지만 결국 모든 것을 가지고 싶었다.
390,그는 어젯밤에 외출했다,어젯밤에 외출한 후에 그는 다음날의 사건이 일어났다.,그는 어젯밤에 외출했다. 이는 아침에 일어나기 전에 일어났다.,집에서 저녁을 먹었다.
391,그는 어쨌든 그는 그것을 시도했다,어떤 도전적인 상황에 처해 있었다.,결국,어떤 결과를 얻을지에 대해 고민했지만 결국 도전했다.
392,그는 새끼 고양이를 찾았다,그 전에 그는 동네에서 실종된 새끼 고양이를 찾기 위해 전단지를 붙였다.,잠자기,그는 동네를 돌아다니며 주변을 살펴보았다.
393,그는 그녀의 목을 감쌌다,그는 그녀와 싸웠다.,죽음,그 전에 그녀는 그를 믿고 있었다.
394,그는 간식을 먹고 싶어 했다,그는 간식을 먹고 싶어 했기 때문에 가게로 가서 간식을 샀다.,식사,어떤 음식을 먹었던가 생각해보았다.
395,그는 풀타임으로 일하고 있었다,그는 풀타임으로 일하고 있었던 중에 갑작스럽게 해고되었다.,이는 아침에 일어나기 전에 발생했다.,어느 대학에서 학사학위를 받았다.
396,그는 할아버지를 찾아갔다,어떤 이유로 그의 할아버지를 찾아가기로 결심했을 것이다.,그는 할아버지를 찾아갔다. 이는 일어나기 전에 일어났다.,"어디에 있을지 모르겠지만, 찾아보기로 했다."
397,그는 아이스하키 선수였다,아이스하키 선수로 훈련을 받았다.,아이스하키를 하기 전에 일어났다.,어린 시절부터 얼음 위에서 스케이트를 타고 눈에 띄게 재능을 보였다.
398,그는 모퉁이를 돌았다,그는 집을 나왔다.,사고,어떤 사람이 그를 따라오고 있었다.
399,그는 커피를 한 모금 마셨다,그는 커피를 내리고 마셨다.,일어나기 전에 커피를 마셨다.,어떤 사람이 그의 이름을 불렀다.
400,그는 자존감이 낮았다,어떤 사람이 그를 비난했다.,어린 시절의 상처와 부정적인 경험이었다.,어릴 때 가정 내에서 자주 비난을 받았기 때문이었다.
401,그는 인터넷을 검색하고 있었다,그는 정보를 찾기 위해 인터넷을 검색하고 있었다.,조사,어떤 정보를 찾고 싶었는지 생각해보았다.
402,그는 노래를 부르기 시작했다,그가 노래를 부르기 전에는 아마도 음악을 선택하거나 가사를 외웠을 것이다.,연습,는 조용했던 방에서 갑자기 음악이 흘러나오기 시작했다.
403,그는 하루 종일 검색을 했다,어떤 정보를 찾기 위해 검색을 했다.,일어나기 전에 일어났다.,어떤 정보를 찾고 싶었던 것이 없었다.
404,그는 사진을 찍었다,그 전에 그는 카메라를 꺼내어 켰다.,그는 사진을 찍었다. 이는 일어나기 전에 일어났다.,그는 카메라를 준비했다.
405,그는 남편과 이혼했다,이혼 절차를 진행하였다.,이혼,아내와 많은 논쟁을 했었다.
406,그는 결국 무너졌다,어떤 압력이나 스트레스로 인해 그의 정신적 또는 신체적인 건강이 약화되었다.,모든 것을 잃기 전에 일어났다.,어떤 일이 있었는지 알려주세요.
407,그는 먹고 마셨다,식사를 했다.,식사,"
그 전에 식사 준비를 했다."
408,그는 수학 시험이 있었다,그는 열심히 공부하고 복습을 했다.,시험을 보기 전에,공부를 열심히 했다.
409,그는 오일 교환이 필요했다,그는 자동차 엔진에 오일을 추가해야 했다.,그는 오일 교환이 필요했다. 이는 차량 정비하기 전에 일어났다.,어떤 실수로 인해 엔진에 손상을 입혔기 때문이었다.
410,그는 겨울에 밀짚모자를 구입했다,그는 겨울이 오기 전에 밀짚모자를 구입했다.,겨울을 맞이하기 전에 일어났다.,그 전에는 따뜻한 목도리와 장갑을 샀다.
411,그는 버퍼에 부딪혔다,그 전에 그는 속도를 내려고 했다.,충돌,그 전에 그는 속도를 줄이려고 했지만 너무 늦었다.
412,그는 치과에 가야 했다,그의 치아가 아프거나 문제가 생겨서 그는 치과에 가야 했다.,그는 치과에 가야 했다. 이는 아침 일어나기 전에 일어났다.,"치과에 가야 했다. 그 전에 치아가 아프기 시작했고, 계속해서 식사할 때마다 불편함을 느꼈다."
413,그는 첫 번째 게임에서 승리했다,그는 첫 번째 게임에서 승리하여 자신감을 얻었다.,경기를 시작하기 전에 일어났다.,게임에서는 패배했기 때문에 그의 승리는 더욱 의미있었다.
414,그는 입술을 깨물었다,그는 긴장하고 있었다.,쇼크를 받았을 때,어떤 중요한 결정을 내리기 위해 깊이 생각하고 있었다.
415,그는 머리를 휙 돌렸다,어떤 소리가 들렸다.,일어나기,"그 전에 무언가를 들었던 것 같았지만, 그 소리는 사라져 버렸다."
416,그는 이혼을 했다,이혼을 하기 전에는 결혼 생활이 있었다.,결혼,결혼 생활이 힘들었고 서로에게 많은 상처를 주었다.
417,그는 늦게 귀가했다,어떤 이유로 인해 귀가를 늦게 했다.,그는 늦게 귀가했다. 이는 일어나기 전에 일어났다.,어디를 다녀왔는지 알 수 없었다.
418,그는 첫 마라톤을 뛰었다,그는 훈련을 하고 체력을 기르기 위해 많은 시간을 투자했다.,훈련,어떤 종류의 운동 경험이 없었다.
419,그는 거품 목욕을 했다,그는 욕조에 물을 채웠다.,씻기,샤워를 했다. 그 후에는 시원한 바람을 맞으며 기분 좋게 걷기를 즐겼다.
420,그는 집에 태워다 줄 사람이 필요했다,그는 차량을 운전할 수 없었다.,출발,누군가가 차를 운전해주는 일을 도와줄 수 있을 때였다.
421,그는 스케이트보드를 배웠다,그는 스케이트보드를 배우기 위해 수업을 들었다.,그는 스케이트보드를 배웠다. 이는 연습하기 전에 일어났다.,어릴 때 자전거를 타는 법을 배웠다.
422,그는 뭔가 냄새가 났다,그는 냄새를 맡았다.,이는 샤워하기 전에 일어났다.,어떤 이상한 소리가 들렸기 때문에 더욱 의심스러웠다.
423,그는 데이트 상대에게 깊은 인상을 남겼다,어떤 일이 벌어졌는지에 대한 정보가 충분하지 않아 정확한 답변을 제공하기 어렵습니다. 더 구체적인 상황을 알려주시면 도와드릴 수 있을 것 같습니다.,그는 데이트 상대에게 깊은 인상을 남겼다. 이는 만나기 전에 일어났다.,"어색한 침묵이 계속되던 것과는 달리, 그는 유머 감각과 친절함으로 상대방을 편안하게 만들었다."
424,그는 셔츠에 주스를 엎질렀다,그는 주스를 마시다가 셔츠에 엎었다.,식사를 하려던,셔츠를 입은 채로 아침 식사를 했기 때문에 주스를 엎지르게 되었다.
425,그는 지갑을 찾을 수 없었다,그는 집을 뒤져도 지갑을 찾을 수 없었다.,집을 나가려던,어디에 놓았는지 기억이 나지 않았다.
426,그는 먹거나 마셨다,그는 식사를 하거나 음료를 마셨다.,먹기,뭘 할지 고민했다.
427,그는 점점 더 좋아지고 있었다,어떤 특정한 사건에 대한 정보가 없기 때문에 정확한 답변을 제공하기 어렵습니다. 좋아지고 있는 상황이 어떤 사건과 연관되어 있는지 추가 정보를 제공해 주시면 도움을 드릴 수 있을 것 같습니다.,노력하기,"어색한 모습을 보였지만, 이제는 자신감 있고 매력적으로 보였다."
428,그는 클럽에 가입했다,그는 친구들과 함께 클럽에 가입하기로 결정했다.,가입하기 전에 일어났다.,어떤 종류의 운동을 해볼까 고민하다가 결정했다.
429,그는 발목을 다쳤다,그는 높은 곳에서 떨어져 발목을 다쳤다.,운동,어떤 물건에 발이 걸려 넘어졌다.
430,그는 별로 도움이 되지 않았다,"어떤 일이 벌어지기 전에, 그가 별로 도움이 되지 않았다.",그는 도와주지 않았다. 이는 결정하기 전에 일어났다.,"그 전에 그는 자신의 의견을 제시했지만, 그것은 문제를 해결하는 데 도움이 되지 않았다."
431,그는 기회를 얻었다,그는 열심히 노력하여 기회를 얻었다.,그는 기회를 얻었다. 이는 노력하기 전에 일어났다.,어떤 노력을 기울였고 열심히 일했다.
432,그는 학교에서 괴롭힘을 당하고 있었다,학교에서 괴롭힘을 당하고 있었다.,친구들과의 갈등,어떤 이유로 인해 다른 학생들에게 괴롭힘을 당하게 되었는지를 알 수 없었다.
433,그는 환경을 보호했다,환경을 보호하기 위해 그는 쓰레기를 분리수거하고 재활용을 실천했다.,환경 파괴를 막기 전에 일어났다.,환경을 파괴하지 않도록 노력했다.
434,그는 우승자를 발표했다,그 전에 그는 경기에서 이긴 사람을 결정하기 위해 심사를 하였다.,경기를 심판하기 전에 일어났다.,우승자를 발표하기 전에 모든 참가자들이 열심히 노력한 것을 인정해주었다.
435,그는 밖에 풀을 봤다,그는 잔디를 깎았다.,아침식사,어떤 동물이 지나다닐 때는 항상 풀을 밟고 지나가는 것을 본 적이 있었다.
436,그는 유권자 등록을 했다,그는 선거에 참여하기 위해 유권자 등록을 했다.,선거를 앞두고,국민 교육을 받았다.
437,그는 출근에 한 시간 늦었다,그는 알람을 놓친 후에 출근에 한 시간 늦었다.,그는 출근에 한 시간 늦었다. 이는 일어나기 전에 일어났다.,어떤 이유로 인해 교통체증으로 지체되었다.
438,그는 쇼핑을 시작했다,그는 은행에서 돈을 인출했다.,그는 쇼핑을 시작했다. 이는 먹기 전에 일어났다.,어디로 갈지 고민을 하고 있었다.
439,그는 서류 가방을 집에 맡겼다,그는 서류 가방을 집에 맡기고 나서 회사로 출근했다.,출발,"
그 전에 회의실에서 중요한 회의를 마무리했다."
440,그는 바람을 쐬었다,그는 스트레스를 풀기 위해 바람을 쐬었다.,출발,어느 산책로를 따라 걸었던 것 같았다.
441,그는 엎질러진 물을 재빨리 치웠다,"그는 실수로 물을 엎었고, 그것을 재빨리 치웠다.",사고,물이 바닥에 튀어서 새는 것을 막았다.
442,그는 누군가에게 전화를 겄다,그는 누군가에게 전화를 걸려고 했다.,그는 누군가에게 전화를 걸기 전에 일어났다.,그 전에 일정을 확인해야 했다.
443,그는 건강 문제가 있었다,그는 건강 문제가 있었기 때문에 의사를 방문했다.,수술,어떤 증상도 없었지만 갑자기 아프기 시작했다.
444,그는 친구를 찾았다,그는 친구와의 약속을 잡았다.,그는 친구를 찾았다. 이는 여행을 떠나기 전에 일어났다.,어머니와 다툰 후였다.
445,그도 동참했다,어떤 사람도 그 사건에 동참했다.,이는 먼저하기 전에 일어났다.,먼저 그의 친구들을 초대했다.
446,그는 아픈 척을 했다,그는 아픈 척을 한 후에 친구들에게 도움을 요청했다.,그는 아픈 척을 했다. 이는 병원에 가기 전에 일어났다.,어떤 약을 먹었던 것 같았다.
447,그는 새 책을 발견했다,그는 서점에 갔다.,읽기,"그 전에 그는 도서관에서 몇 시간을 보냈고, 여러 권의 책을 살펴보았다."
448,그는 밤에 잠을 잘 못 자고 있었다,그는 스트레스를 받고 있었다.,스트레스를 해소하기 전에 일어난 것이다.,어떤 스트레스와 불안으로 인해 자신의 마음이 안정되지 않았기 때문이었다.
449,그는 학교에 가져갈 책을 구했다,그는 학교에 가져갈 책을 구하기 위해 서점에 갔다.,공부하기,그 전에 서점을 방문하여 필요한 교과서와 참고서를 구매했다.
450,그는 이혼을 신청했다,이혼을 신청하기 전에 그와 배우자 사이에 문제가 있었을 것이다.,결혼생활을 끝내기 전에 일어났다.,그는 부부 상담을 받았지만 결국 문제를 해결할 수 없었다.
451,그는 한밤중에 깨어났다,그는 이전에 알람을 설정하고 잠들었다.,자정에 일어난 것이다.,잠이 들었을 때는 창문 밖으로 비가 내리고 있었다.
452,그는 직진했다,그는 지도를 확인하고 방향을 정했다.,출발,어디로 가야할지 정확히 알고 있었다.
453,그는 한 귀로 듣고 흘렸다,그는 주변 소리를 듣지 않고 무시했다.,일어났다.,그 전에 다른 귀로는 아무것도 듣지 않았다.
454,그는 캐나다로 이주했다,어떤 이유로 인해 그는 캐나다로 이주했다.,"이므로, 이주하기 전에 일어났다.",한국에서 살았다.
455,그는 다음에 더 조심할 겄다,그는 이전에 경고를 받았다.,사고,더 많은 정보를 수집해야 한다.
456,그는 새 브라우저를 다운로드했다,이전에는 그가 기존의 브라우저를 사용하고 있었다.,사용하기,기존 브라우저를 삭제했다.
457,그는 대신 수영을 하러 갔다,어떤 이유로 인해 다른 사람이 대신 그의 역할을 맡았거나 그가 일정한 이유로 인해 수영을 하러 갔다.,아침에.,어깨를 마사지 받았다.
458,그는 생일 케이크를 구입했다,생일 축하 파티를 열기로 결정했다.,생일을 축하하기 전에 일어났다.,그는 친구들과 함께 파티를 계획했다.
459,그는 인증을 받았다,.,검증,그는 교육을 받았다. 그 전에 학교에 다녔다.
460,그는 첫 번째 집을 구입했다,그는 주택 시장 조사를 하고 여러 집을 둘러보았다.,결혼,어머니와 함께 살았다.
461,그는 다음 날 아침 깨어났다,그 전날 저녁에 잠을 자고 있었다.,잠을 자러 가기 전에,어제 밤에 잠들었던 것을 기억했다. 하지만 그 이후의 일은 기억나지 않았다.
462,그는 스스로를 지켰다,그는 안전을 위해 예방 조치를 취했다.,결정,어떤 위험한 상황에서도 절대로 무모한 행동을 하지 않았다.
463,그는 학교에서 놀림을 받았다,그는 학교에서 놀림을 받았기 때문에 스트레스를 받았다.,자신을 변화시키려고,그는 학교에서 인기가 없었다. 그 전에 친구들과 잘 어울리지 못했기 때문에 놀림을 받았다.
464,그는 창문을 깨뜨렸다,그는 무언가에 화를 내고 창문을 깨뜨렸다.,화를 터뜨리기,그 전에 분노에 찬 얼굴로 주먹을 휘둘렀다.
465,그는 결승선을 통과했다,그는 훈련을 열심히 하고 경기에서 우승하기 위해 노력했다.,그는 결승선을 통과했다. 이는 경기가 끝나기 전에 일어났다.,그 전에 많은 힘든 훈련과 노력을 기울였다.
466,그는 새로운 보금자리를 찾았다,그는 이사를 하거나 집을 구매했다.,이는 이사하기 전에 일어났다.,어떤 이유로 인해 이사를 갔다.
467,그는 결국 찾았다,그는 오랫동안 실종되어 있었다.,그는 결국 찾았다. 이는 놀랍게도 일어났다.,어떤 곳에서도 발견되지 않았던 것이었다.
468,그는 정말 멋졌다,아마도 그 사람이 어떤 멋진 행동을 했을 것이다.,무엇을 하려고,"어떤 일을 해도 항상 최선을 다하고, 주변 사람들을 도와주는 모습이 인상적이었다."
469,그는 곧 도착했다,어떤 사람이 그를 기다리고 있었다.,출발,먼저 휴대전화로 연락을 해서 도착 예정 시간을 알려주었다.
470,그는 어머니를 찾았다,그는 어머니와 헤어졌다.,그는 어머니를 찾았다. 이는 저녁 식사를 하기 전에 일어났다.,"어머니의 행방을 알 수 없었고, 그는 절망에 빠져 있었다."
471,그는 아기의 기저귀를 갈아줬다,아기가 기저귀를 갈아주기 전에는 아마도 아기가 배변을 했을 것입니다.,아침식사,아기가 울음을 멈추지 않아서 그는 아기의 기저귀를 갈아주기 전에 먼저 아기를 품에 안았다.
472,그는 정말 귀여운 녀석였다,어떤 사람이 그녀를 만나고 그녀를 귀여운 녀석으로 설명했다.,쓰다.,어떤 일이 있었는지 기억이 나지 않는다.
473,그의 몸에 불이 붙었다,불이 붙기 전에 무언가 불이나 화염에 노출되었을 것이다.,화재 대피 훈련,그 전에 그는 화재를 진압하기 위해 모든 노력을 다하고 있었다.
474,그는 새 셔츠를 원했다,그는 옷장을 열어보고 새 셔츠를 찾았다.,구매,그 전에 그는 옷장을 뒤적거나 온라인 쇼핑몰을 찾아보았다.
475,그는 새 노래를 작곡했다,그는 새 노래를 작곡하기 위해 여러 가사를 쓰고 멜로디를 고안했다.,노래를 작곡하기 전에 일어났다.,어떤 노래를 작곡했던 적이 없었다.
476,그는 더 빠르게 타이핑을 쳤다,그는 컴퓨터에 로그인하여 이메일을 확인했다.,훈련(training)하기 전에 일어났다.,어떤 사람이 그의 키보드를 조금씩 누르고 있었다.
477,그는 뭔가에 부딪혔다,그는 산책을 하다가 뭔가에 부딪혔다.,일어나기 전에 일어났다.,무엇인가를 놓치고 있었던 것 같았다.
478,그는 마침내 열쇠를 찾았다,어딘가에 들어가기 위해 열쇠를 찾고 있었다.,잠자기,어디에 놓았는지 기억이 나지 않았다.
479,그는 셔츠를 벗었다,그는 체온을 측정하기 위해 셔츠를 벗었다.,이는 샤워하기 전에 일어났다.,그 전에는 넥타이를 푼 것 같았다.
480,그는 투어를 시작했다,그는 투어를 시작하기 전에 밴드와 리허설을 했다.,출발,"어떤 음악을 연습했고, 밴드 멤버들과 함께 곡 목록을 정리했다."
481,그는 깃발을 꽂았다,어떤 나라의 영토에 도착했다.,승리를 나타내기 전에 일어났다.,그는 국가의 헌신적인 영웅으로 기억될 것이다.
482,그는 산책을 하고 싶어 했다,그는 산책을 하고 싶어 했지만 비가 오기 시작했다.,산책을 하기 전에 일어났다.,어떤 새로운 장소를 발견하고 싶었다.
483,그는 장난을 쳤다,누군가에게 농담이나 장난을 쳤다.,끝나려고,그는 친구들과 함께 웃고 떠들며 즐거운 시간을 보냈다.
484,그는 방과 후에 놀았다,그는 수업을 들었다.,저녁 식사,숙제를 했다.
485,그는 자신의 가치를 결정했다,이전에 그는 자아 성찰을 하고 자신의 능력과 가치를 심사했다.,자존감을 높이기 전에 일어났다.,어떤 사람들이 자신을 어떻게 보는지에 따라 가치를 두지 않기로 했다.
486,그는 대신 집으로 돌아갔다,"어떤 일이 벌어지기 전에, 그는 대신 집으로 돌아갔다.",그는 대신 집으로 돌아갔다. 이는 일어나기 전에 일어났다.,어떤 물건을 챙겨왔다.
487,그는 체중이 증가했다,그는 과다한 음식을 섭취하고 운동을 게을리했다.,식사,운동을 거의 하지 않았다.
488,그는 그냥 집에 갔다,"어떤 특별한 사건이나 사고가 발생하기 전에, 평범하게 집에 돌아갔다.",그는 그냥 집에 갔다. 이는 일어나기 전에 일어났다.,먹고 나왔다.
489,그는 오늘 도착했다,그는 어제 출발했다.,그는 오늘 도착했다. 이는 일어나기 전에 일어났다.,어디에 있었는지 알려주셨나요? 그 전에 무엇을 했는지에 따라 다음 문장이 달라질 수 있습니다.
