,input,A,B
509,그는 더 빠르게 갔다,그는 경주하는 사람으로 보입니다.,더 빠른
510,그는 새 바지를 입었다,그는 꾸민 듯한 사람으로 보인다.,더 깔끔한
511,그는 직접 티켓을 작성했다,그는 티켓 작성자로 보인다.,자기 주도적인
512,그는 새 직장에 지원했다,그는 능동적이고 새로운 도전을 감수하는 사람으로 보인다.,신뢰할 만한
513,그는 고양이에게 간식을 줬다,동물을 사랑하는 친절한 사람으로 보인다.,친절한
514,그는 야수를 겁을 줘서 쫓아내었다,그는 용감한 사람으로 보인다.,사나운
515,그는 발가락이 부러졌다,그는 운이 나쁜 사람으로 보인다.,부상당한
516,그는 자랑을 멈췄다,그는 겸손한 사람으로 보인다.,겸손한
517,그는 연락이 끊겼다,그는 현재 불안정한 상황에 처한 사람으로 보인다.,실종된
518,그는 자전거를 구입했다,그는 활동적이고 건강을 중요시하는 사람으로 보인다.,운동을 즐기는
519,그는 공을 드리블했다,그는 농구 선수로 보인다.,능력 있는
520,그는 더 잘 보게 되었다,그는 시력이 좋아진 사람으로 보인다.,더 자신 있는
521,그는 아픈 척했다,그는 주변 사람들에게 도움이 필요한 취약한 사람으로 보일 수 있다.,아픈
522,그는 마침내 채용되었다,그는 노력하는 사람으로 보인다.,신뢰할 만한
523,그는 친구들과 즐거운 시간을 보내고 있었다,그는 사교적이고 즐거운 사람으로 보인다.,행복한
524,그는 새 직장을 찾았다,그는 노력하는 사람으로 보인다.,성실한
525,그는 마침내 완성했다,그는 끈기와 결단력을 가진 사람으로 보인다.,자신감 있는
526,그는 결혼한 지 20년이 되었다,그는 가정적이고 안정된 사람으로 보인다.,아주 행복한
527,그도 함께 동승했다,이 사람은 협력적이고 동료애를 갖춘 사람으로 보인다.,친절한
528,그는 드레스 쇼핑을 하러 갔다,그는 쇼핑을 즐기는 사람으로 보인다.,여성
529,그는 롤러스케이트를 타러 갔다,그는 즐거움을 추구하는 활발한 사람으로 보인다.,롤러스케이트를 타러 갔다. 그는 숙련된 사람으로 보인다.
530,그는 큰 소리를 들었다,그는 놀란 사람으로 보인다.,위대한
531,그는 곧 육지를 봤다,해변을 걷고 있던 사람으로 보입니다.,해당
532,그는 프레젠테이션을 진행했다,그는 자신감 있고 전문적인 사람으로 보인다.,자신감 있는
533,그는 함께 식사했다,그는 사교적이고 친근한 사람으로 보인다.,친근한
534,그는 매주 주말마다 갔다,그는 사교적이고 활동적인 사람으로 보입니다.,즐거운
535,그는 바닥에 오줌을 쌌다,이 사람은 책임감이 없고 무례한 사람으로 보인다.,부끄러운
536,그는 통나무를 떨어뜨렸다,그는 부주의한 사람으로 보인다.,힘센
537,그는 잠시 숨을 골랐다,그는 긴장한 사람으로 보인다.,진정한
538,그는 추수감사절 저녁을 요리했다,그는 가정적이고 배려심 있는 사람으로 보인다.,따뜻한
539,그는 파이 먹기 대회에 참가했다,그는 경쟁적이고 대담한 사람으로 보인다.,굶어 죽을 것 같은
540,그는 혀를 깨물었다,그는 긴장된 사람으로 보인다.,어떤
541,그는 그 자리에서 바로 채용했다,책임감 있는 사람으로 보인다.,신뢰할 만한
542,그는 저녁 식사를 준비했다,그는 책임감 있고 배려심 있는 사람으로 보인다.,착한
543,그는 케이크도 먹었다,음식을 즐기는 사람으로 보인다.,만족한
544,그는 고열이 있었다,그는 아프거나 불쾌한 상황에 처해 있는 사람으로 보인다.,아파 보인다.
545,그는 너무 다쳤다,그는 도움이 필요한 상태로 보인다.,상처 입은
546,그는 스테이크도 먹었다,그는 고기를 좋아하는 사람으로 보인다.,건강한
547,그는 이야기를 길게 했다,그는 이야기를 즐기고 대화를 좋아하는 사람으로 보인다.,지루한
548,그는 의상을 제작했다,패션 디자이너 혹은 의상 디자이너로 보인다.,세련된
549,그는 밖에서 소음을 들었다,그는 호기심이 많고 주변에 관심을 가지는 사람으로 보인다.,외로운
550,그는 서핑을 하려고 했다,그는 적극적이고 모험을 즐기며 활동적인 사람으로 보인다.,용기 있는
551,그는 오두막을 지었다,자연을 즐기는 사람으로 보인다.,화려하지 않은
552,그는 상사를 고소했다,그는 용감하고 원칙을 중시하는 사람으로 보인다.,정의된
553,그는 막 아기를 낳았다,그는 아버지로 보인다.,어떤
554,그는 자신의 운명을 결정했다,그는 결단력 있는 사람으로 보인다.,결단력 있는
555,그는 파티를 그리워했다,그는 사교적이고 활발한 사람으로 보인다.,외로운
556,그는 휴대폰을 망가뜨렸다,그는 조금 충동적이고 화를 잘 내는 사람으로 보인다.,책임질 줄 모르는
557,그는 파티에 가고 싶어 했다,그는 사교적이고 활발한 사람으로 보인다.,즐거운
558,그는 팔에 날카로운 통증을 느꼈다,그는 어떤 상처를 입은 사람으로 보인다.,"""그는 아픈 사람으로 보인다."""
559,그는 바닥에 화학 물질을 엎질렀다,그는 부주의한 사람으로 보인다.,화학물질을 엎질러서 얼굴에 화상을 입은 사람으로 보인다.
560,그는 허리 통증이 있었다,그는 건강에 관심을 가지고 스스로를 챙기는 사람으로 보인다.,노인
561,그는 거의 맞을 뻔했다,그는 운이 좋았던 사람으로 보인다.,정확한
562,그는 리얼리티 쇼를 시청했다,그는 현대적이고 사교적인 사람으로 보인다.,현실적인
563,그는 바이올린을 연주했다,음악가나 예술가로 보입니다.,재능 있는
564,그는 기분이 나아지기 시작했다,그는 긍정적이고 희망적인 사람으로 보인다.,더 행복한
565,그는 나머지 거리는 걸어서 통학했다,그는 인내심과 근성이 강한 사람으로 보인다.,힘든
566,그는 피 냄새를 맡았다,그는 혈흔을 탐구하는 형사로 보인다.,죽은
567,그는 오일 교환을 받았다,그는 차량을 소유하고 유지보수에 신경을 쓰는 사람으로 보인다.,신뢰받는
568,그는 수학 시험을 치렀다,그는 학생으로 보인다.,똑똑한
569,그는 스스로를 믿고 있었다,자신감이 있는 사람으로 보입니다.,자신감 있는
570,그는 자전거가 정말 필요했다,그는 운전 능력이 부족한 사람으로 보인다.,운동을 좋아하는
571,그는 파상풍 예방 주사를 맞았다,그는 책임감 있는 사람으로 보인다.,건강한
572,그는 명예로운 전투에 참여했다,그는 용감하고 훌륭한 전사로 보입니다.,그는 용감한 사람으로 보인다.
573,그는 발을 까닥거렸다,그는 화가 난 사람으로 보인다.,자신감 있는
574,그는 어느 날 눈을 떴다,그는 새로운 시작을 원하는 사람으로 보인다.,새로운
575,그는 병원 진료 예약이 있었다,그는 책임감 있고 건강을 중요시하는 사람으로 보인다.,건강한
576,그는 대사를 연습했다,열정적이고 열심히 일하는 사람으로 보인다.,자신감 있는
577,그는 방귀를 뀌었다,그는 실례를 한 사람으로 보인다.,"
그는 신중한 사람으로 보인다."
578,그도 몰랐다,순간적으로 혼란스러워하는 사람으로 보인다.,착한
579,그는 너무 긴장한 것 같았다,그는 불안한 사람으로 보인다.,신경 쓴
580,그는 결혼 반지를 잃어버렸다,그는 신중하지 않은 사람으로 보인다.,슬픈
581,그는 이웃과 대화를 나눴다,친근하고 사교적인 사람으로 보인다.,친근한
582,그는 실수로 떨어뜨렸다,실수를 저지른 사람으로 보인다.,부서진
583,그는 비건 채식주의자가 되었다,그는 동물의 권리를 존중하고 건강을 중요시하는 사람으로 보인다.,건강한
584,그는 그녀의 등을 쓰다듬었다,이 문장만 가지고는 해당 사람이 어떤 사람으로 보이는지 명확하게 판단할 수 없습니다.,따뜻한
585,그는 하와이로 이사했다,그는 모험적이고 자유로운 영혼의 사람으로 보인다.,행복한
586,그는 오늘 학교에 갔다,학생으로 보인다.,진지한
587,그는 룸메이트와 마주쳤다,그는 친근하고 사교적인 사람으로 보인다.,친근한
588,그는 하루 종일 빵을 구웠다,그는 빵집의 직원으로 보인다.,열심히 노력하는
589,그는 결국 왔다,그는 끈질긴 사람으로 보인다.,"도와줄게요. 

그는 결국 왔다. 그는 피곤한 사람으로 보인다."
590,그는 주먹을 불끈 쥐었다,그는 분노한 사람으로 보인다.,분노한
591,그는 물을 더 많이 마셨다,건강에 관심이 많은 사람으로 보인다.,건강한
592,그는 보상을 받았다,그는 보상을 받은 사람으로 보인다.,도덕적으로 정직한
593,그는 기침을 많이 했다,건강이 좋지 않은 사람으로 보인다.,아픈
594,그는 자신감을 얻었다,자신감 있는 사람으로 보인다.,자신감을 얻었다. 그는 자신감 있는 사람으로 보인다.
595,그는 사탕을 그만 먹었다,그는 건강에 신경을 쓰는 사람으로 보인다.,만족한
596,그는 드레스가 필요했다,그는 여성으로 보입니다.,화려한
597,그는 카드를 보여줬다,그는 신뢰할 만한 사람으로 보인다.,자신을 자랑스러워하는
598,그는 냉장고를 확인했다,주부나 요리사 같은 사람으로 보인다.,차가운
599,그는 방아쇠를 당겼다,흔들리는 신경과 불안정한 성격을 가진 사람으로 보인다.,위험한
600,그는 실수로 넘어졌다,실수를 인정하고 자신을 드러낸 사람으로 보인다.,부서진
601,그는 수업 준비를 했다,성실하고 책임감 있는 사람으로 보인다.,전문적인
602,그는 바지 단추를 풀었다,그는 조금 건방진 사람으로 보인다.,허전한
603,그는 자신을 노출했다,자신을 노출한 사람으로 보인다.,좀 더 적극적인
604,그는 모든 친구들에게 자랑했다,자신감이 넘치고 자기 중심적인 사람으로 보인다.,자신만의 unique한 personality로 보인다.
605,그는 말을 탔다,그는 타고 있는 사람으로 보인다.,용감한
606,그는 수박에 줄을 그었다,그는 창의적이고 즐거운 사람으로 보인다.,수박을 자르는 사람으로 보인다.
607,그는 꿈에 그리던 남자를 만나게 되었다,그는 행복한 사람으로 보인다.,아주 훌륭한
608,그는 내일 역사 시험이 있었다,열심히 공부하는 학생으로 보인다.,진지한
609,그는 주차 위반 딱지를 받았다,주의 규칙을 준수하지 않는 사람으로 보인다.,부주의한
610,그는 일하고 싶지 않아 했다,그는 게으른 사람으로 보인다.,게으른
611,그는 메시지를 받았다,그는 궁금해하거나 기뻐하는 사람으로 보인다.,신중한
612,그는 사이렌 소리를 들었다,"그는 주변 상황에 대해 경계심이 많고, 안전을 중요시하는 사람으로 보인다.",긴장된
613,그는 넷플릭스를 시청했다,그는 영화나 드라마를 즐기는 사람으로 보인다.,외로운
614,그는 동물병원에 데려갔다,그는 동물을 돌보는 책임감 있는 사람으로 보인다.,친절한
615,그는 그의 엄마에게 말했다,가정적이고 존중심이 있는 사람으로 보인다.,"""정말 좋은"" 사람으로 보인다."
616,그는 많이 울었다,그는 감정적이고 예민한 사람으로 보인다.,상처받은
617,그는 늙었다,그는 경험이 풍부한 사람으로 보인다.,늙은
618,그는 어린 딸이 있었다,가족을 소중히 여기고 책임감 있는 부모로 보인다.,따뜻한
619,그는 두 손을 모았다,종교적인 사람으로 보인다.,종교적인
620,그는 외로움을 덜 느꼈다,그는 사교적인 사람으로 보인다.,따뜻한
621,그는 낙담했다,그는 좌절한 사람으로 보인다.,우울한
622,그는 집을 팔았다,부동산 중개인 혹은 부동산 소유주로 보인다.,부자
623,그는 병가를 내었다,일반적으로 그는 일을 꾸준히 하는 사람처럼 보인다.,아픈
624,그는 새로운 사업을 시작했다,그는 도전을 두려워하지 않고 새로운 가능성을 모색하는 사람으로 보인다.,성공적인
625,그는 폭탄발언을 했다,그는 무모하고 위험한 사람으로 보인다.,위험한
626,그는 울타리를 뛰어넘었다,그는 용감하고 모험을 즐기는 사람으로 보인다.,자유로운
627,그는 애완용 새를 키우고 있었다,그는 애완동물을 사랑하는 따뜻한 사람으로 보인다.,부드러운
628,그는 가장 큰 소리로 비명을 질렀다,그는 공포나 극심한 불안을 겪고 있는 사람으로 보인다.,광기에 사로잡힌
629,그는 우승 골을 넣었다,그는 경기에서 중요한 역할을 하는 선수로 보인다.,승리자
630,그는 모두를 위해 위험을 감수했다,용감한 사람으로 보입니다.,희생적인
631,그는 자신을 쳐다보고 있었다,자기 자신에 대해 생각하고 있는 사람으로 보인다.,자신을 쳐다보고 있었다. 그는 자신이 자신감 넘치는 사람으로 보인다.
632,그는 계정을 만들었다,그는 현대적이고 디지털에 익숙한 사람으로 보인다.,진짜
633,그는 새 개를 입양했다,그는 동물을 사랑하는 친절한 사람으로 보인다.,친절한
634,그는 정말 시끄럽었다,그는 조금 거친 사람으로 보인다.,조용한
635,그는 끔찍한 소리를 내었다,그는 고통받고 있는 사람으로 보인다.,무서운
636,그는 드디어 왔다,그는 기다리던 사람으로 보인다.,정말 멋진
637,그는 힌트를 알려줬다,도움적이고 관대한 사람으로 보인다.,도움을 주는
638,그는 정말 배가 불렀다,그는 배고픈 사람으로 보인다.,배가 고픈
639,그는 장기자랑에서 우승했다,그는 경쟁에서 우수한 실력을 갖춘 사람으로 보인다.,자신감 있는
640,그는 휴식이 필요했다,그는 지친 사람으로 보인다.,지친
641,그는 항상 울었다,그는 감정적이고 예민한 사람으로 보인다.,슬픈
642,그는 샌드위치를 먹고 싶었다,음식에 대한 욕구를 가진 보통 사람으로 보입니다.,배고픈
643,그는 선생님과 이야기를 나눴다,그는 학생으로 보인다.,친절한
644,그는 햄버거를 주문했다,그는 평범한 사람으로 보인다.,뚱뚱한
645,그는 슬프게 고개를 흔들었다,그는 실망한 사람으로 보인다.,그는 우울한 사람으로 보인다.
646,그는 아주 잘 자고 있었다,그는 피곤한 사람으로 보인다.,피곤한
647,그는 문이 잠겨 있는 것을 발견했다,그는 규칙을 준수하는 사람으로 보인다.,의문적인
648,그는 문이 열리는 소리를 들었다,주의 깊고 경계심이 있는 사람으로 보인다.,낯선
649,그는 투표를 했다,그는 책임감 있는 시민으로 보인다.,책임질 만한
650,그는 기둥에 부딪혔다,그는 조심성 없는 사람으로 보인다.,강력한
651,그의 말이 옳은 것처럼 보였다,그는 신뢰할 만한 사람으로 보인다.,지식이 풍부한
652,그는 친구가 필요했다,그는 외로움을 느끼는 사람으로 보인다.,외로운
653,그는 새로운 고객을 확보했다,그는 성공적인 영업사원으로 보인다.,자신감 있는
654,그는 집을 구입했다,부동산 투자자 혹은 신중한 재테크를 하는 사람으로 보인다.,부자
655,그는 낚시를 하거나 미끼를 잘랐다,그는 야외 활동을 좋아하는 사람으로 보인다.,평화로운
656,그는 새 모자를 구입했다,패션에 관심이 많은 사람으로 보인다.,새롭게 변한(person)
657,그는 시동을 켜었다,그는 운전자로 보입니다.,신중한
658,그는 운전면허 시험에 합격했다,그는 자신을 책임감 있고 안전을 중요시하는 사람으로 보인다.,책임 있는
659,그는 헬스장에 가입했다,그는 건강과 운동에 관심이 많은 사람으로 보인다.,건강한
660,그는 자신의 컬렉션을 탐색했다,그는 취미나 관심사에 열정적인 사람으로 보인다.,열정적인
661,그는 지갑을 챙겼다,그는 신중하고 책임감 있는 사람으로 보인다.,신중한
662,그는 제시간에 도착했다,그는 신중하고 책임감 있는 사람으로 보인다.,신뢰할 만한
663,그는 밤새도록 잠을 잤다,그는 피곤한 사람으로 보인다.,피곤한
664,그는 이를 악물었다,화가 난 사람으로 보입니다.,거친
665,그는 1위로 데뷔했다,그는 매우 유능하고 재능 있는 사람으로 보인다.,자신감 있는
666,그는 방문하고 싶다고 했다,친절하고 호의적인 사람으로 보입니다.,친절한
667,그는 드디어 전화했다,그는 소심한 사람으로 보인다.,정말로
668,그는 광고를 게시했다,그는 상업적인 사람으로 보입니다.,자신을 홍보하는
669,그는 울고 싶은 기분였다,그는 감정을 솔직하게 표현하는 사람으로 보인다.,슬픈
670,그는 스스로를 부끄러워했다,그는 겸손한 사람으로 보인다.,정직한
671,그는 나머지를 그녀에게 맡겼다,그는 책임감이 강하고 신뢰할 만한 사람으로 보인다.,신뢰할 만한
672,그는 야채를 더 많이 먹었다,건강을 중요시하는 사람으로 보인다.,건강한
673,그는 돈을 잊어버렸다,그는 조금 부주의한 사람으로 보인다.,총명한
674,그는 코스튬 콘테스트에 참가했다,그는 창의적이고 자신감 있는 사람으로 보인다.,장식된
675,그는 자전거를 부쉈다,그는 활동적이고 운동을 즐기는 사람으로 보인다.,운동을 많이 하는
676,그는 바지에 똥을 쌌다,위급한 상황에서 실수를 저지른 사람으로 보인다.,더러운
677,그도 알고 있었다,그는 무심코 지나치던 척 하는 사람으로 보인다.,친절한
678,그는 데이트를 약속했다,로맨틱하고 관계를 소중히 여기는 사람으로 보인다.,로맨틱한
679,그는 예상치 못한 실패를 겪었다,그는 강인한 사람으로 보인다.,실망한
680,그는 누군가를 만났다,그는 사교적이고 친근한 사람으로 보인다.,친절한
681,그는 스케이트 타는 법을 배웠다,그는 새로운 경험을 즐기는 개방적인 사람으로 보인다.,숙련된
682,그는 호흡 곤란이 있었다,그는 건강상의 문제를 겪고 있는 사람으로 보인다.,아기 같은
683,그는 냄새가 정말 좋았다,그는 미각이 예민한 사람으로 보인다.,향기로운(fragrant)
684,그는 대신 결정했다,지도자 또는 책임자로 보인다.,자신감 있는
685,그는 그녀를 바라봤다,사랑에 빠진 사람으로 보인다.,매우 행복한
686,그는 바구니를 받았다,그는 관대하고 도움이 필요한 사람에게 관심을 가지는 사람으로 보인다.,친절한
687,그는 광고를 보게 되었다,그는 소비자로 보인다.,화려한
688,그는 휴대폰을 가져갔다,그는 도둑으로 보인다.,도둑 같은
689,그는 반지를 발견했다,보물을 찾는 모험가로 보인다.,우연히 발견한 사람으로 보인다.
690,그는 바로 돌아왔다,그는 결단력이 있는 사람으로 보인다.,다시 돌아온
691,그는 새 키보드를 구입했다,그는 현대적이고 기술에 관심이 있는 사람으로 보인다.,신중한
692,그는 도랑에 추락했다,그는 운이 좋지 않은 불행한 사람으로 보인다.,죽은
693,그는 자신의 얼굴을 핥았다,그는 이상한 행동을 하는 사람으로 보인다.,이상한
694,그는 집까지 태워다 줬다,친절한 사람으로 보인다.,친절한
695,그는 손가락을 찔렀다,그는 아픔을 참고 침착하게 대처하는 사람으로 보인다.,아픈
696,그는 벽에 부딪혔다,그는 조심하지 않거나 경솔한 사람으로 보인다.,무기력한
697,그는 그녀를 찾았다,그는 신중하고 책임감 있는 사람으로 보인다.,그는 행복한 사람으로 보인다.
698,그는 손을 내밀고 있었다,친절하고 도와주려는 사람으로 보인다.,친절한
699,그는 자신의 어머니를 바라봤다,그는 따뜻하고 사랑스러운 사람으로 보인다.,따뜻한
700,그는 바지에 오줌을 쌌다,이 사람은 부끄러움과 당황한 상태로 보일 것이다.,부끄러운
701,그는 프로포즈하고 싶어 했다,로맨틱하고 열정적인 사람으로 보인다.,로맨틱한
702,그는 엄청난 파티를 열었다,그는 활발하고 사교적인 사람으로 보인다.,신나는
703,그는 3점슛을 성공시켰다,그는 뛰어난 농구 선수로 보인다.,숙련된
704,그는 셔츠에 케첩을 엎질렀다,그는 어리석은 사람으로 보인다.,케첩을 엎질렀기 때문에 지저분한(really messy) 사람으로 보인다.
705,그는 대신 비디오 게임을 했다,게임 중독자로 보인다.,게으른
706,그는 가려운 곳을 긁었다,그는 단순히 가려운 곳을 긁은 사람으로 보인다.,짜증난
707,그는 자녀가 한 명 있었다,가정적이고 책임감 있는 부모로 보인다.,한 아버지
708,그는 아침에 일어나 준비를 했다,그는 책임감 있고 꾸준한 사람으로 보인다.,정돈된
709,그는 집에 갈 시간였다,그는 책임감 있는 사람으로 보인다.,지친
710,그는 주말에는 캠핑을 떠났다,자연을 즐기는 야외 활동을 좋아하는 사람으로 보인다.,자연을 좋아하는
711,그는 중요한 회의가 있었다,그는 중요한 회의에 참석하는 업무 중심의 사람으로 보인다.,중요한
712,그는 제대로 찾아왔다,그는 신중하고 책임감 있는 사람으로 보인다.,신뢰할 만한
713,그는 강도를 당했다,그는 피해자로 보인다.,피곤한
714,그는 한 시간 늦었다,그는 시간 관리에 소홀한 사람으로 보인다.,늦은
715,그는 새 아이폰을 구입했다,그는 최신 기술에 관심이 많은 사람으로 보인다.,부유한
716,그는 그녀를 흔들어 깨웠다,무례한 행동을 한 사람으로 보인다.,부드러운
717,그는 메일함을 확인했다,성실한 일꾼으로 보인다.,신뢰할 만한
718,그는 서핑을 좋아했다,그는 액티브하고 모험을 즐기는 사람으로 보인다.,열정적인
719,그는 새 시계를 받았다,그는 기쁨과 만족감으로 가득 찬 사람으로 보인다.,신나는
720,그는 사슴을 쳤다,그는 동물 학대자로 보인다.,잔인한
721,그는 심호흡을 했다,차분하고 침착한 사람으로 보인다.,차분한
722,그는 군에 입대했다,군인으로 보인다.,군인
723,그는 좀 나아진 듯 보였다,그는 변화된 것 같은 사람으로 보였다.,더 건강한
724,그는 나무에 올라갔다,그는 모험적이고 용감한 사람으로 보인다.,날렵한
725,그는 무사히 도착했다,그는 안전한 운전자로 보인다.,건강한
726,그는 선거에 출마했다,그는 적극적이고 자신감 있는 리더로 보인다.,도덕적으로 정직한
727,그는 이메일을 찾았다,그는 꼼꼼하고 조직적인 사람으로 보인다.,신뢰할 만한
728,그는 뼈가 부러졌다,그는 고통받고 있는 사람으로 보인다.,상당히 아픈
729,그는 자신의 팔을 휘둘렀다,폭력적인 사람으로 보인다.,힘센
730,그는 빨리 왔다,그는 신속하고 책임감 있는 사람으로 보인다.,신뢰할 만한
731,그는 마이크를 내려놓았다,그는 의사나 간호사로 보일 수 있습니다.,자신감 있는
732,그는 친구를 방문했다,친근한 사람으로 보인다.,친절한
733,그는 감염되었다,그는 의료 도움을 받아야 하는 사람으로 보입니다.,병든
734,그는 캘리포니아로 이사했다,그는 새로운 시작을 원하는 사람으로 보인다.,쿨한
735,그는 잠들지 못했다,그는 불면증을 겪는 사람으로 보인다.,불안한
736,그는 거미를 봤다,그는 거미를 무서워하는 사람으로 보인다.,거미를 봤다. 그는 이상한 사람으로 보인다.
737,그는 총을 쐈다,폭력적이고 위협적인 사람으로 보인다.,잔인한
738,그는 열쇠를 받았다,그는 집주인이나 관리자로 보입니다.,신뢰할 만한
739,그는 고양이를 입양하고 싶어 했다,그는 동물을 사랑하는 사람으로 보인다.,친절한
740,그는 실수로 엎질렀다,실수를 인정하고 책임을 지는 성숙한 사람으로 보인다.,서툴게 엎질렀지만 친절한 사람으로 보인다.
741,그는 거북이를 발견했다,자연을 사랑하고 호기심이 많은 사람으로 보인다.,차분한
742,그는 대신 TV를 시청했다,게으름을 피우는 사람으로 보인다.,외로운
743,그는 가려움증이 심했다,그는 알레르기나 피부 질환으로 고통받는 사람으로 보인다.,예민한
744,그는 새 셔츠가 필요했다,그는 쇼핑을 좋아하는 사람으로 보인다.,새롭고 정갈한(recent and neat)
745,그는 낚시하러 가고 싶어했다,그는 휴식을 취하고 자연 속에서 시간을 보내는 사람으로 보인다.,평화로운
746,그는 첫 데이트 중였다,그는 신중하고 예의 바르며 관심을 가지고 있는 사람으로 보인다.,매우 매력적인(personable)
747,그는 바위에 부딪혔다,그는 강하고 불굴의 사람으로 보인다.,강하고 불굴의
748,그는 학교에 지각했다,부지런하지 않고 책임감이 부족한 사람으로 보인다.,부지런한
749,그는 첫 한입을 먹었다,음식을 맛있게 즐기는 사람으로 보인다.,허기진
750,그는 배가 고파졌다,그는 배가 고픈 사람으로 보인다.,배가 고파졌다. 그는 지친 사람으로 보인다.
751,그는 체중이 몇 파운드 줄었다,그는 건강에 신경을 쓰는 사람으로 보인다.,그는 체중이 몇 파운드 줄었다. 그는 더 슬림한 사람으로 보인다.
752,그는 그 결과 열쇠를 잃어버렸다,그는 조금 부주의한 사람으로 보인다.,잘 못된
753,그는 문을 두드리는 소리를 들었다,그는 호기심 많은 사람으로 보인다.,의문적인
754,그는 친구들이 그립었다,따뜻하고 사랑스러운 친구로 보인다.,따뜻한
755,그는 칭찬을 많이 받았다,자신감이 있고 능력있는 사람으로 보인다.,자신감 있는
756,그는 반려견을 애견 공원에 데리고 갔다,그는 반려동물을 사랑하는 책임감 있는 사람으로 보인다.,친근한
757,그는 저녁 식사를 위해 만났다,그는 친절하고 사교적인 사람으로 보인다.,친근한
758,그는 그가 가장 좋아하는 밴드를 봤다,음악을 즐기는 사람으로 보인다.,음악을 사랑하는
759,그는 몇 시간이 걸렸다,그는 인내심이 강하고 끈기 있는 사람으로 보인다.,그는 몇 시간이 걸렸다. 그는 피곤한 사람으로 보인다.
760,그는 적을 죽였다,그는 폭력적이고 위협적인 사람으로 보인다.,잔인한
761,그는 슛을 성공시켰다,그는 경기에서 자신감 있고 능숙한 선수로 보인다.,자신감 있는
762,그는 고양이를 찾았다,그는 동물을 사랑하는 친절한 사람으로 보인다.,친절한
763,그는 잠자리에 들 준비를 했다,그는 평범한 사람으로 보인다.,피곤한
764,그는 기타를 구입했다,음악을 즐기는 사람으로 보인다.,음악적인
765,그는 기분이 조금 나아졌다,그는 낙천적이고 긍정적인 사람으로 보인다.,더 행복한
766,그는 가슴을 움켜쥐었다,그는 분노나 슬픔으로 인해 괴로워하는 사람으로 보인다.,자신을 위축된(repressed)
767,그는 전화를 받았다,그는 바쁜 사람으로 보인다.,신뢰할 만한
768,그는 한 시간 거리에 있었다,그는 꽤 멀리 사는 사람으로 보인다.,멀리 있는
769,그는 배변을 보러 갔다,배변을 보러 간 사람으로 보인다.,보통
770,그는 이마를 찡그렸다,그는 걱정스러운 사람으로 보인다.,화난
771,그는 재채기를 많이 했다,그는 알레르기나 감기로 고통받는 사람으로 보인다.,알레르기 반응이 있는
772,그는 첫 문신을 새겼다,그는 모험적이고 대담한 사람으로 보인다.,더 멋진
773,그는 드디어 옷을 찾았다,그는 결정적이고 신중한 사람으로 보인다.,정돈된
774,그는 공을 튕겼다,그는 놀이를 즐기는 사람으로 보인다.,유쾌한
775,그는 큰 소리가 들렸다,그는 깜짝 놀란 사람으로 보인다.,거친
776,그는 미끄러져 넘어졌다,그는 조심성이 부족한 사람으로 보인다.,쓸개 같은
777,그는 그 결과 지갑을 잃어버렸다,부주의한 사람으로 보인다.,우물쭈물하는
778,그는 새 게임을 구입했다,게임을 좋아하는 사람으로 보인다.,게임을 즐기는
779,그는 나머지를 저장했다,그는 책임감 있는 사람으로 보인다.,창의적인
780,그는 일정을 변경했다,그는 책임감 있는 사람으로 보인다.,더 유연한(flexible)
781,그는 트롬본을 연주했다,음악가나 연주자로 보입니다.,재능 있는
782,그는 번지점프를 하러 갔다,그는 모험을 즐기는 용감한 사람으로 보인다.,용감한
783,그는 운동량을 늘렸다,그는 건강에 관심이 많은 사람으로 보인다.,더 건강한
784,그는 그녀에게 휴가를 줬다,사려 깊고 이해심 깊은 사람으로 보인다.,친절한
785,그는 다니던 직장을 그만뒀다,그는 책임감 있는 사람으로 보인다.,결단력 있는
786,그는 그녀와 같은 냄새가 났다,그는 그녀의 가족이나 친구로 보일 수 있다.,정말 좋은
787,그는 드디어 만났다,그는 기쁨에 찬 사람으로 보인다.,정직한
788,그는 어느 날 집에 돌아왔다,일반적인 사람으로 보입니다.,참으로 피곤한
789,그는 그녀에게 손을 내밀었다,친절한 사람으로 보인다.,따뜻한
790,그는 두통이 심했다,그는 피곤하고 스트레스 받는 사람으로 보인다.,아프는
791,그는 사인을 받았다,신앙심이 깊은 사람으로 보인다.,신뢰할 만한
792,그는 가까워지고 있었다,그는 친근한 사람으로 보인다.,더 친근한
793,그는 케이크를 굽고 싶어 했다,그는 케이크를 굽고 싶어 하는 사람으로 보인다.,요리를 잘하는
794,그는 기침이 심했다,건강이 좋지 않은 사람으로 보인다.,아픈
795,그는 새 친구가 생겼다,그는 사교적이고 새로운 인연을 만들기를 좋아하는 사람으로 보인다.,친절한
796,그는 새 시계를 구입했다,그는 시간을 중요시하고 일정을 엄격히 지키는 사람으로 보인다.,신물나는
797,그는 화장실을 이용했다,일반적인 일상생활을 하는 사람으로 보입니다.,깨끗한
798,그는 기차를 놓쳤다,그는 조금 서투른 사람으로 보인다.,실망한
799,그는 정말 수줍음이 많았다,그는 내향적인 사람으로 보인다.,내부적으로 많은 생각을 하고 있는
800,그는 드디어 임신했다,그는 기쁜 부모가 될 준비가 된 사람으로 보인다.,아버지
801,그는 볼링을 치러 갔다,그는 취미를 가진 보통 사람으로 보인다.,쾌활한
