,input,A,B,B2,B3
733,그는 감염되었다,그는 불안하고 두려웠다.,불안한, 고통과 불안이었다. 그는 증상이 계속 악화되고 있다는 것을 알고 있었기 때문에 두려움과 불안이 가시지 않았다.,아픈
734,그는 캘리포니아로 이사했다,그는 새로운 시작에 기대감을 느꼈다.,그는 따뜻한 날씨를 느꼈다.,"캘리포니아에서의 새로운 시작에 대한 설렘과 기대감이었다. 그의 삶은 완전히 변화하고, 새로운 환경과 사람들을 만나게 될 것임을 알았기 때문에 두근거리는 마음이었다.","그는 새로운 환경을 느꼈는데, 왜냐하면 그는 캘리포니아로 이사했기 때문이다."
735,그는 잠들지 못했다,그는 답답하고 불안했다.,불안한 것을 느꼈다.,불안과 피로였다. 그의 마음은 계속해서 돌아가는 생각들로 인해 안정을 찾지 못했다.,"그는 피곤한 것을 느꼈는데, 왜냐하면 그는 잠들지 못했기 때문이다."
736,그는 거미를 봤다,그는 두려움을 느꼈다.,공포를 느꼈다.,"두려움이었다. 거미에 대한 무서움이 그를 습격했고, 그는 급히 물러나려 했다.",불안한
737,그는 총을 쐈다,그는 두려움과 충격을 느꼈다.,죽음을,죄책감과 후회였다. 그의 행동으로 인해 누군가가 다칠 수도 있었기 때문에 그는 자신의 결정을 되돌리고 싶었다.,아픈
738,그는 열쇠를 받았다,그는 안심하고 안정감을 느꼈다.,자유와 안도, 안전과 보안이었다.,"그는 안도를 느꼈는데, 왜냐하면 그는 열쇠를 받았기 때문이다."
739,그는 고양이를 입양하고 싶어 했다,그는 흥분했다.,책임감,고양이를 돌보고 싶은 강한 욕망과 책임감이었다.,"그는 행복한 것을 느꼈는데, 왜냐하면 그는 고양이를 입양하고 싶어 했기 때문이다."
740,그는 실수로 엎질렀다,그는 당황하고 어리둥절했다.,부끄러운,죄책감과 당황이었다. 바닥에 흘러버린 것들을 주워 올리며 자신의 부주의함을 반성했다.,"그는 후회하는 것을 느꼈는데, 왜냐하면 그는 실수로 엎질렀기 때문이다."
741,그는 거북이를 발견했다,그는 놀라웠다.,놀라운 것을 느꼈다.,"놀라움과 호기심이었다. 그는 거북이를 처음 보는 것이었고, 그의 호기심은 이 생물에 대해 알아보고 싶다는 욕구로 이어졌다.",놀란
742,그는 대신 TV를 시청했다,그는 실망했다.,외로움,쓸모없는 시간 낭비였다.,아무런 감정도/아무런 감정을 느끼지 못했다.
743,그는 가려움증이 심했다,그는 괴로웠다.,가려움증이 심했기 때문에 그는 간지러움을 느꼈다.,가려움증을 달래기 위해 계속 긁는 것이었다.,"그는 간단한 것을 느꼈는데, 왜냐하면 그는 가려움증이 심했기 때문이다."
744,그는 새 셔츠가 필요했다,그는 새 셔츠가 필요해서 답답했다.,쇼핑을 가야겠다.,새로운 셔츠를 사러 쇼핑을 가야겠다는 욕구였다.,"그는 부족한 것을 느꼈는데, 왜냐하면 그는 새 셔츠가 필요했기 때문이다."
745,그는 낚시하러 가고 싶어했다,그는 편안하고 기쁘게 느꼈다.,평온함을 느꼈다.,평온함과 안정감이었다. 바다에서 시간을 보내며 자연과 조용한 풍경을 즐기는 것이 그에게 큰 기쁨을 주었다.,"그는 설레임을 느꼈는데, 왜냐하면 그는 낚시하러 가고 싶어했기 때문이다."
746,그는 첫 데이트 중였다,그는 신이 났다.,긴장한 것을 느꼈다.,신경 쓰이고 긴장되었던 것이었다. 그는 상대방에게 좋은 인상을 주고 싶었기 때문에 불안한 마음이 컸다.,긴장된
747,그는 바위에 부딪혔다,그는 아픔과 충격을 느꼈다.,아프게 느꼈다.,"심한 통증과 충격이었다. 그의 머리는 어지러워지고 몸은 아프며, 그는 순간적으로 혼란스러웠다.",아픈
748,그는 학교에 지각했다,그는 당황했다.,시간을 지키는 것의 중요성을 느꼈다.,자신의 부주의로 인한 책임감과 불안함이었다.,죄책감을
749,그는 첫 한입을 먹었다,그는 맛있고 만족스러운 느낌이었다.,배부름,"
음식의 풍미와 식감이었다. 그는 입속에서 퍼지는 맛과 함께 음식의 부드러움을 느꼈다. 감칠맛 나는 음식으로 인해 기분이 좋아졌고, 배가 고픈 상태였던 것을 잊게 되었다.","그는 만족한 것을 느꼈는데, 왜냐하면 그는 첫 한입을 먹었기 때문이다."
750,그는 배가 고파졌다,그는 배가 고파서 불편했다.,배고픔,"식욕이 높아졌고, 먹을 음식을 찾기 시작했다.","그는 고통을 느꼈는데, 왜냐하면 그는 배가 고파졌기 때문이다."
751,그는 체중이 몇 파운드 줄었다,그는 기뻤다.,그는 체중이 몇 파운드 줄었다. 따라서 그는 가볍다 것을 느꼈다.,가볍고 건강해진 느낌이었다.,"그는 기쁨을 느꼈는데, 왜냐하면 그는 체중이 몇 파운드 줄었기 때문이다."
752,그는 그 결과 열쇠를 잃어버렸다,그는 실망하고 당황했다.,무력감,"좌절과 불안함이었다. 그는 자신의 부주의로 인해 문제가 발생했음을 깨달았고, 이로 인해 자신에 대한 실망과 후회가 커져갔다.","그는 당혹스러운 것을 느꼈는데, 왜냐하면 그는 그 결과 열쇠를 잃어버렸기 때문이다."
753,그는 문을 두드리는 소리를 들었다,그는 궁금하고 기대감에 가득 찼다.,누군가가 그의 집에 왔다는 것을 느꼈다.,불안과 기대감이었다. 상대방이 문을 열어주길 기다리면서 불안함과 동시에 무엇인가 좋은 소식을 받을 것 같은 기대감도 느꼈다.,"그는 누군가가 문을 두드리는 것을 느꼈는데, 왜냐하면 그는 문을 두드리는 소리를 들었기 때문이다."
754,그는 친구들이 그립었다,그는 행복했다.,그는 외로움을 느꼈다.,그들과 함께 있는 시간이 너무 특별하고 소중했다.,"그는 외로움을 느꼈는데, 왜냐하면 그는 친구들이 그립었기 때문이다."
755,그는 칭찬을 많이 받았다,그는 자부심을 느꼈다.,자부심을 느꼈다.,자부심과 자신감이었다.,자부심을
756,그는 반려견을 애견 공원에 데리고 갔다,그는 행복했다.,행복한 것을 느꼈다.,반려견과 함께 시간을 보내는 즐거움이었다. 함께 뛰어놀고 산책하며 행복한 시간을 보낼 수 있어서 그는 행복했다.,"그는 행복한 것을 느꼈는데, 왜냐하면 그는 반려견을 애견 공원에 데리고 갔기 때문이다."
757,그는 저녁 식사를 위해 만났다,그는 기쁘고 행복했다.,배고픔을 느꼈다.,"호강하는 배가 고프고, 기대와 설렘으로 가득 차 있었다.","그는 긴장된 것을 느꼈는데, 왜냐하면 그는 저녁 식사를 위해 만났기 때문이다."
758,그는 그가 가장 좋아하는 밴드를 봤다,그는 너무 행복했다.,음악을 듣는 것을 느꼈다.,최고의 행복이었다. 그의 마음은 음악과 함께 춤을 추고 싶었다.,"그는 흥분된 것을 느꼈는데, 왜냐하면 그는 그가 가장 좋아하는 밴드를 봤기 때문이다."
759,그는 몇 시간이 걸렸다,그는 지치고 지루했다.,그는 몇 시간이 걸렸다. 따라서 그는 지쳤음을 느꼈다.,지침과 피로였다. 그는 몇 시간 동안 열심히 일한 후에 그렇게 느꼈다.,"그는 지루함을 느꼈는데, 왜냐하면 그는 몇 시간이 걸렸기 때문이다."
760,그는 적을 죽였다,그는 안도감과 후회를 느꼈다.,죄책감을 느꼈다.,승리감과 안도감이었다.,"그는 죄책감을 느꼈는데, 왜냐하면 그는 적을 죽였기 때문이다."
761,그는 슛을 성공시켰다,그는 기뻤다.,자신의 능력을, 성취감과 자신감이었다. 그는 자신의 능력을 인정받았고 성공을 경험한 것으로 만족스러운 감정을 느꼈다.,"그는 자부심을 느꼈는데, 왜냐하면 그는 슛을 성공시켰기 때문이다."
762,그는 고양이를 찾았다,그는 기쁘고 안도했다.,애완동물을 느꼈다., 안도와 행복이었다.,"그는 행복한 것을 느꼈는데, 왜냐하면 그는 고양이를 찾았기 때문이다."
763,그는 잠자리에 들 준비를 했다,그는 편안하고 졸음이 오는 것을 느꼈다.,피곤한 것을 느꼈다.," 안정감과 편안함이었다. 그의 마음은 평화롭고 안정되어 있었고, 그는 자신이 잘 준비되어 있다는 확신을 가지고 잠들 수 있었다.",졸음을
764,그는 기타를 구입했다,그는 기뻤다.,음악을 연주하는 즐거움을 느꼈다.,새로운 취미에 대한 흥분과 기대감이었다.,"그는 흥분된 것을 느꼈는데, 왜냐하면 그는 기타를 구입했기 때문이다."
765,그는 기분이 조금 나아졌다,.,희망을 느꼈다.,"희망이었다. 그는 조금씩 힘이 나기 시작했고, 미래에 대한 긍정적인 전망이 생겼다.","그는 안도한 것을 느꼈는데, 왜냐하면 그는 기분이 조금 나아졌기 때문이다."
766,그는 가슴을 움켜쥐었다,그는 분노와 불안을 느꼈다.,절망적인,"절망과 불안이었다. 그의 마음은 괴로움으로 가득 찼고, 어떻게 해야 할지 막막했다.","그는 분노를 느꼈는데, 왜냐하면 그는 가슴을 움켜쥐었기 때문이다."
767,그는 전화를 받았다,그는 놀랐다.,불안한 것을 느꼈다.,전화를 받은 순간 기쁨과 설렘이었다.,"그는 놀라운 것을 느꼈는데, 왜냐하면 그는 전화를 받았기 때문이다."
768,그는 한 시간 거리에 있었다,그는 좌절했다.,고독한,"외로움과 고독감이었다. 그의 주변에는 친구나 가족이 없었기 때문에 그는 외로움을 느끼고, 멀리 떨어져 있는 사람들과의 거리감으로 인해 고독감을 느꼈다.","그는 외로움을 느꼈는데, 왜냐하면 그는 한 시간 거리에 있었기 때문이다."
769,그는 배변을 보러 갔다,그는 안도와 안정감을 느꼈다.,냄새를 느꼈다.,오줌이 급하게 누고 싶다는 강한 욕구였다.,불편한
770,그는 이마를 찡그렸다,그는 불쾌함을 느꼈다.,불쾌한 것을 느꼈다.,"불쾌함과 걱정이었다. 그의 얼굴에는 긴장한 표정이 감싸고 있었고, 무언가가 잘못되었다는 징후를 보여주고 있었다.",아픈
771,그는 재채기를 많이 했다,그는 불편했다.,코막힘,코막힘과 코막힘이 해소된 후의 안도감이었다.,알레르기 반응을
772,그는 첫 문신을 새겼다,그는 설레고 흥분했다.,아픔을,자신의 삶에 대한 변화와 자신을 표현하는 새로운 방법에 대한 자부심이었다.,아픈
773,그는 드디어 옷을 찾았다,그는 안도감과 만족감을 느꼈다.,만족함,"만족감이었다. 새로운 옷을 입고 자신감을 얻게 되었고, 이제는 자신을 더욱 멋지게 표현할 수 있을 것 같았다.","그는 안도된 것을 느꼈는데, 왜냐하면 그는 드디어 옷을 찾았기 때문이다."
774,그는 공을 튕겼다,그는 흥분했다.,자유롭게 뛰어놀 수 있는 것을느꼈다.,자유와 즐거움이었다. 공을 튕기면서 그는 자유롭고 즐거운 느낌을 받았다.,"그는 충격을 느꼈는데, 왜냐하면 그는 공을 튕겼기 때문이다."
775,그는 큰 소리가 들렸다,그는 놀랐다.,위험한,"두려움과 놀라움이었다. 그 소리는 주변의 모든 것을 떨게 만들었고, 그는 자신의 안전을 위해 주변을 살피기 시작했다.","그는 두려움을 느꼈는데, 왜냐하면 그는 큰 소리가 들렸기 때문이다."
776,그는 미끄러져 넘어졌다,그는 당황스러웠다.,쓰러진 것을 느꼈다.,심한 아픔과 부끄러움이었다.,아픈
777,그는 그 결과 지갑을 잃어버렸다,그는 절망적이고 당황스러웠다.,무력감,좌절과 불안함이었다. 잃어버린 지갑 안에는 중요한 신용카드와 현금이 들어있었기 때문에 그는 매우 걱정되고 스트레스를 받았다.,슬픈
778,그는 새 게임을 구입했다,그는 새 게임을 구입해서 기뻤다.,즐거움/신선함/흥분,즐거움과 기대감이었다. 새로운 게임을 플레이하면서 새로운 세계와 모험을 경험할 수 있을 것이라는 생각에 그는 설레고 기쁨을 느꼈다.,기뻤던
779,그는 나머지를 저장했다,그는 안도감을 느꼈다.,안전한 것을 느꼈다.,안전과 안도였다. 그는 무엇이든 잃지 않고 보호할 수 있다는 확신을 가지고 있었다.,"그는 안도된 것을 느꼈는데, 왜냐하면 그는 나머지를 저장했기 때문이다."
780,그는 일정을 변경했다,그는 당황스러웠다.,불안함을 느꼈다.,"불안함과 혼란이었다. 새로운 일정으로 인해 예상치 못한 변화와 불편함이 생겼기 때문에, 그는 불안함을 느끼게 되었다.","그는 실망한 것을 느꼈는데, 왜냐하면 그는 일정을 변경했기 때문이다."
781,그는 트롬본을 연주했다,그는 트롬본을 연주함으로써 기뻤다.,음악을 했다., 흥분과 즐거움이었다. 그는 음악을 연주하면서 자신을 잊고 매혹적인 소리에 몰두했다.,"그는 자부심을 느꼈는데, 왜냐하면 그는 트롬본을 연주했기 때문이다."
782,그는 번지점프를 하러 갔다,그는 두근거리고 설레었다.,자유를, 자유와 스릴이었다. 공중을 날아다니는 느낌은 그에게 새로운 도전과 모험의 기회를 주었다.,두려움을
783,그는 운동량을 늘렸다,그는 기뻤다.,체력적인 변화,체력이 강해지고 건강 상태가 좋아진 것이었다.,"그는 피곤한 것을 느꼈는데, 왜냐하면 그는 운동량을 늘렸기 때문이다."
784,그는 그녀에게 휴가를 줬다,그는 그녀에게 휴가를 주어서 안도했다.,그는 그녀에게 휴가를 줬다. 따라서 그는 만족을 느꼈다.,그녀가 휴가를 받아 기쁨과 안도감을 느꼈을 것이다.,"그는 감사함을 느꼈는데, 왜냐하면 그는 그녀에게 휴가를 줬기 때문이다."
785,그는 다니던 직장을 그만뒀다,그는 안도감을 느꼈다.,자유를 느꼈다.,"자유로움과 불안함이었다. 새로운 시작을 하면서 자유롭게 삶을 즐길 수 있는 기회가 생겼지만, 동시에 미래에 대한 불안감도 있었다.",실패한
786,그는 그녀와 같은 냄새가 났다,그는 그녀를 그리워했다.,사랑을느꼈다.,그녀와의 깊은 연결과 안정감이었다.,"그는 어떤 감정을 느꼈는데, 왜냐하면 그는 그녀와 같은 냄새가 났기 때문이다."
787,그는 드디어 만났다,그는 기쁨과 안도감을 느꼈다.,기쁨을 느꼈다.,"불안함과 설렘이었다. 그 순간을 기다려온 만큼, 마침내 그의 손에 닿은 것에 대한 감사함과 행복함도 함께 느껴졌다.","그는 희열을 느꼈는데, 왜냐하면 그는 드디어 만났기 때문이다."
788,그는 어느 날 집에 돌아왔다,그는 피곤하고 지친 기분이었다.,고된 것을 느꼈다.," 무거운 발걸음으로 집 안으로 들어서며 어지러움과 피로였다. 그는 오랜 시간을 외부에서 보냈고, 이제야 집에서 편안함을 느낄 수 있었다.","그는 뭔가 이상한 것을 느꼈는데, 왜냐하면 그는 어느 날 집에 돌아왔기 때문이다."
789,그는 그녀에게 손을 내밀었다,그는 흥분하고 기쁘게 느꼈다.,따라서 그는 온기를 느꼈다.,따뜻한 손의 감촉이었다. 함께 걸어가며 그녀와의 대화를 즐기고 싶다는 욕망이 그를 더욱 강하게 했다.,"그는 설레임을 느꼈는데, 왜냐하면 그는 그녀에게 손을 내밀었기 때문이다."
790,그는 두통이 심했다,그는 괴로웠다.,약을 복용해야겠다.,몸이 무거워지고 에너지가 없어진 것이었다.,아무런 변화도 없는 것을
791,그는 사인을 받았다,그는 기뻤다.,놀란,안도와 기쁨이었다. 그는 자신의 노력과 열정이 인정받았음을 느끼며 더 큰 도전에 대한 자신감을 얻었다.,"그는 행복한 것을 느꼈는데, 왜냐하면 그는 사인을 받았기 때문이다."
792,그는 가까워지고 있었다,그는 기쁘고 흥분했다.,커지는,그의 심장이 빠르게 뛰는 소리와 함께 점점 더 강한 설렘이었다.,"그는 뭔가 특별한 것을 느꼈는데, 왜냐하면 그는 가까워지고 있었기 때문이다."
793,그는 케이크를 굽고 싶어 했다,그는 행복했다.,케이크를 굽기 위한 욕구를 느꼈다.,케이크의 달콤한 향기와 부드러운 모양에 대한 강한 욕망이었다.,"그는 배고픈 것을 느꼈는데, 왜냐하면 그는 케이크를 굽고 싶어 했기 때문이다."
794,그는 기침이 심했다,그는 불편하고 걱정스러웠다.,숨이 차다,"
가래가 목구멍에 낀 느낌이었다. 그는 가래를 제거하기 위해 물을 마셨지만, 여전히 기침이 멈추지 않았다.","가슴에서 뭔가를 느꼈는데, 왜냐하면 그는 기침이 심했기 때문이다."
795,그는 새 친구가 생겼다,그는 기쁨을 느꼈다.,행복한 것을 느꼈다.,새로운 사람과의 관계가 자신에게 새로운 가능성을 열어준다는 것이었다.,기쁜
796,그는 새 시계를 구입했다,그는 새 시계를 구입해서 기뻤다.,시간의 경과를 더 잘 인식할 수 있었다.,시간이 더 잘 흐르고 있다는 안도감이었다.,"그는 만족한 것을 느꼈는데, 왜냐하면 그는 새 시계를 구입했기 때문이다."
797,그는 화장실을 이용했다,그는 안도하고 시원한 기분이었다.,가벼운 느낌을, 안도와 안정감이었다. 신선한 공기를 마시고 몸을 가볍게 느꼈던 것이다.,"그는 가벼운 안도를 느꼈는데, 왜냐하면 그는 화장실을 이용했기 때문이다."
798,그는 기차를 놓쳤다,그는 실망했다.,후회하는 것을 느꼈다.,"실망과 당황이었다. 그는 다음 기차를 기다리거나 다른 교통수단을 찾아야 했고, 이로 인해 일정이 뒤쳐질 것을 우려했다.",아쉬운
799,그는 정말 수줍음이 많았다,"""그는 매우 부끄러웠다.""",자신이 말을 거는 것을 느꼈다.," 불안과 두려움이었다. 그는 다른 사람들과 소통하는 것을 꺼려하고, 자신의 말이 부끄러워서 자주 말을 잘라버렸다. 이런 모습으로 주변 사람들에게는 차갑고 거리가 있는 사람으로 비춰","그는 당황한 것을 느꼈는데, 왜냐하면 그는 정말 수줍음이 많았기 때문이다."
800,그는 드디어 임신했다,그는 놀라고 기쁘고 두려웠다.,부모가 될 것을 느꼈다.," 놀라움과 기쁨이었다. 그의 마음은 행복으로 가득 찼고, 앞으로의 삶에 대한 기대와 두려움도 함께 느껴졌다.",기쁜
801,그는 볼링을 치러 갔다,그는 즐거웠다.,즐거움을 느꼈다.,"즐거움과 흥분이었다. 그는 볼링을 치는 것을 즐기고, 스트라이크를 칠 때마다 흥분하여 놀라운 경험을 하였다.","그는 즐거움을 느꼈는데, 왜냐하면 그는 볼링을 치러 갔기 때문이다."
802,그는 팀에 합류했다,그는 흥분했다.,소속된,팀원들과의 연대감과 협력의 중요성이었다. 함께 목표를 향해 나아가는 것이 더 큰 성취감을 느끼게 했다.,"그는 설레임을 느꼈는데, 왜냐하면 그는 팀에 합류했기 때문이다."
803,그는 수표를 입금했다,그는 안심하고 안도감을 느꼈다.,안정된 것을느꼈다., 안정감이었다.,"그는 안도한 것을 느꼈는데, 왜냐하면 그는 수표를 입금했기 때문이다."
804,그는 결승에 진출했다,그는 기뻤다.,자신의 역량과 노력이 빛을 발했다.,"성취감과 자부심이었다. 그는 오랜 노력의 결실을 맛볼 수 있었고, 스스로에게 자신감을 갖게 되었다.",승리한
805,그는 데이트를 취소했다,그는 실망했다.,실망한 것을 느꼈다.,"실망과 좌절이었다. 그는 실망스러웠고, 느낌이 상처 받았다.",실망한
806,그는 에세이를 써야 했다,그는 압박감을 느꼈다.,시간이 부족한 것을 느꼈다.,"불안함과 압박감이었다. 쓰고자 하는 주제에 대해 충분한 아이디어를 가지고 있었지만, 그것을 어떻게 효과적으로 풀어나갈지에 대한 불확실성 때문에 막막함을 느꼈다. 하지만 시","그는 압박을 느꼈는데, 왜냐하면 그는 에세이를 써야 했기 때문이다."
807,그의 차례가 돌아왔다,그는 설레었다.,자신이 다시 기회를 얻었다.,"불안함과 긴장감이었다. 그는 이 순간을 위해 오랫동안 준비해왔지만, 여전히 자신의 능력에 대한 불확실성 때문에 마음이 떨렸다. 하지만 이제는 시간이 없었다. 그는 자신을 다독이고, 마음","그는 설레임을 느꼈는데, 왜냐하면 그의 차례가 돌아왔기 때문이다."
808,그는 다음 날 깨어났다,"

그는 다음 날 깨어났을 때 기분이 상쾌했다.",두려움과 불안을 느꼈다.,어제의 일들이 꿈이었던 것 같았다. 하지만 현실은 더욱 더 혼란스러웠다.,"아무런 변화도 없는 것을 느꼈는데, 왜냐하면 그는 다음 날 깨어났기 때문이다."
809,그는 학교를 다니기 시작했다,그는 새로운 시작에 기대와 설렘을 느꼈다.,새로운 환경에서의 긴장과 불안을 느꼈다.,새로운 환경과 사람들에 대한 긴장감이었다.,"그는 새로운 도전을 느꼈는데, 왜냐하면 그는 학교를 다니기 시작했기 때문이다."
810,그는 화살을 쐈다,그는 즐거웠다.,그는 목표를 맞춘 것을 느꼈다.,전율과 자부심이었다. 그의 목표를 달성한 성취감이 그를 감싸안았다.,아픈
811,그는 스스로를 격려했다,그는 자신을 실망스러워했다.,자신이 더 이상 제어할 수 없는 것을 느꼈다.,자신의 능력에 대한 부족함과 불안감이었다.,"그는 어떤 감정을 느꼈는지 정확히 알 수 없었지만, 왜냐하면 그는 스스로를 격려했기 때문이다."
812,그는 팔에 화상을 입었다,그는 아픔과 고통을 느꼈다.,몸에 뜨거움을 느꼈다.,"극심한 통증과 뜨거움이었다. 처음에는 화상 부위가 붓고 붉어지면서 가열된 상태였지만, 시간이 지날수록 점점 더 아프고 따끔거렸다.",아픈
813,그는 가라데를 배우고 싶어했다,그는 흥분했다.,그는 무엇이든 배워보고 싶어했다. 따라서 그는 호기심을 느꼈다.,가라데를 배우기 위한 열정과 호기심이었다.,"그는 갈증을 느꼈는데, 왜냐하면 그는 가라데를 배우고 싶어했기 때문이다."
814,그는 능력을 잃었다,그는 자신의 무력함에 좌절했다.,자신이 무력하다,실패와 절망이었다. 그는 자신의 무능력함을 깨닫고 좌절했다.,"그는 무력감을 느꼈는데, 왜냐하면 그는 능력을 잃었기 때문이다."
815,그는 머리를 맞았다,그는 머리가 아팠다.,아프거나 혼란스러운,쓰러질 것 같은 어지러움과 혼란이었다. 또한 통증이 심해지면서 그의 시야가 점점 흐려져 갔다.,아픈
816,그는 게임을 제안했다,그는 흥분했다.,즐거움을,"즐거움과 흥분이었다. 게임을 즐기는 것을 좋아했고, 이를 나누고 싶어서 제안한 것으로 보였다.","그는 긴장된 것을 느꼈는데, 왜냐하면 그는 게임을 제안했기 때문이다."
817,그는 브로드웨이 공연을 보러 갔다,그는 흥분했다.,즐거움과 감동을 느꼈다.,놀라움과 감동이었다. 무대 위에서 펼쳐지는 환상적인 공연을 보면서 그는 마음이 가득 차고 기분 좋았다.,"그는 감동을 느꼈는데, 왜냐하면 그는 브로드웨이 공연을 보러 갔기 때문이다."
818,그는 최근에 이사했다,그는 새로운 시작에 기대감을 느꼈다.,고독함,새로운 장소에서의 불안감과 적응에 대한 어려움이었다.,"그는 새로운 환경에서 불안을 느꼈는데, 왜냐하면 그는 최근에 이사했기 때문이다."
819,그는 임신 테스트를 받았다,그는 불안하고 긴장했다.,양성 또는 음성,불안과 기대였다. 가능성에 대한 두려움과 동시에 희망이 가득했다.,불안한
820,그는 주차장에서 열쇠를 찾았다,그는 안도감을 느꼈다.,안도함을 느꼈다.," 안도와 안정감이었다. 그의 마음은 불안에서 해방되었고, 이제 차를 데려올 수 있었다.","그는 안도된 것을 느꼈는데, 왜냐하면 그는 주차장에서 열쇠를 찾았기 때문이다."
821,그는 기타를 조율했다,그는 안정감을 느꼈다.,음악적인 연주를 느꼈다., 음악의 감동과 만족감이었다.,진동(vibration)
822,그는 그녀에게 매우 화가 났다,그는 그녀에게 매우 화가 나서 억울함을 느꼈다.,그는 분노한 것을 느꼈다.,분노와 불안이었다. 왜냐하면 그녀는 그의 신뢰를 배신했기 때문이었다.,"그는 분노한 것을 느꼈는데, 왜냐하면 그는 그녀에게 매우 화가 났기 때문이다."
823,그는 너무 화가 났다,"""그는 분노에 휩싸였다.""",자신의 감정을 잃어버린 것을 느꼈다.,"분노와 불안함이었다. 그의 마음은 격렬하게 뛰고, 몸은 전율하며 손은 떨리고 있었다.","그는 분노를 느꼈는데, 왜냐하면 그는 너무 화가 났기 때문이다."
824,그는 어제 집에 돌아왔다,그는 피곤하고 안도감을 느꼈다.,안도함,"불안함과 피로였다. 그의 여행은 길었고, 그는 집으로 돌아와서 휴식을 취해야 했다.","그는 피곤한 것을 느꼈는데, 왜냐하면 그는 어제 집에 돌아왔기 때문이다."
825,그는 금메달을 획득했다,그는 무척 기뻤다.,자부심과 성취감을 느꼈다.,자부심과 성취감이었다. 그의 노력과 헌신이 결실을 맺어 좋은 결과를 얻게 되어 기뻤을 것이다.,"그는 자부심을 느꼈는데, 왜냐하면 그는 금메달을 획득했기 때문이다."
826,그는 스스로에게 매우 친절했다,그는 자신에게 자부심을 느꼈다.,자신에게 대해 긍정적으로 느꼈다.,자신에 대한 자부심과 안정감이었다.,자신을
827,그는 오늘 기분이 나아졌다,.,긍정적인,희망과 기대감이었다.,"그는 희망을 느꼈는데, 왜냐하면 그는 오늘 기분이 나아졌기 때문이다."
828,그는 하키를 하고 싶어 했다,그는 흥분했다.,그는 흥분된 것을 느꼈다.,하키를 하고 싶어 했던 그의 열정과 흥분이었다.,"그는 불만을 느꼈는데, 왜냐하면 그는 하키를 하고 싶어 했기 때문이다."
829,그는 낮잠을 자고 있었다,그는 평온하고 편안했다.,졸음, 피곤함과 졸음이었다.,아무런 것도
830,그는 케이크를 주문했다,그는 기쁘고 만족했다.,만족한 것을 느꼈다.,케이크가 도착하기 전까지는 조금의 불안함과 기대감이었다.,"그는 만족한 것을 느꼈는데, 왜냐하면 그는 케이크를 주문했기 때문이다."
831,그는 옷이 필요했다,그는 당황스러웠다.,쇼핑을 가야겠다,"부족함과 불편함이었다. 그는 옷을 사기 위해 가게에 들어갔고, 쇼핑을 하면서 안도감과 만족감을 느꼈다.","그는 추위를 느꼈는데, 왜냐하면 그는 옷이 필요했기 때문이다."
832,그는 나중에 다시 돌아왔다,그는 안도감을 느꼈다.,이전에 놓친 것을 느꼈다.," 불안과 기대였다. 그가 돌아오기 전에는 무엇이 일어날지 알 수 없었기 때문에 불안했지만, 돌아와서는 그가 기대하던 것들이 이루어질 것이라는 확신을 갖고 있었다.","그는 불안한 것을 느꼈는데, 왜냐하면 그는 나중에 다시 돌아왔기 때문이다."
833,그는 드디어 착륙했다,그는 안도하고 안정감을 느꼈다.,안도함을 느꼈다.,"안도와 안정감이었다. 이제 그는 목적지에 도착했고, 임무를 수행할 준비가 되어 있었다.","그는 안도의 느낌을 느꼈는데, 왜냐하면 그는 드디어 착륙했기 때문이다."
834,그는 알람을 설정하는 것을 잊어버렸다,그는 실수한 것을 후회했다.,시간을 놓친 것을 느꼈다.,시간이 부족하다는 불안감과 함께 잠에서 깨어나야 했던 당혹감이었다.,아쉬운
835,그는 총을 조준했다,그는 긴장하고 두려웠다.,죽음을 느꼈다.,"공포와 긴장이었다. 그의 손은 떨리고, 숨을 쉬는 것조차 어려웠다. 하지만 결국 그는 용기를 내어 방아쇠를 당겼고, 총알은 삐걱거리며 나갔다.",공포를
836,그는 물렸다,그는 실망했다.,상실을," 상처와 불안함이었다. 그의 마음은 아픔으로 가득 찼고, 자신을 돌아보게 되었다.","그는 분노를 느꼈는데, 왜냐하면 그는 물렸기 때문이다."
837,그는 일자리를 찾을 수 없었다,그는 절망적이고 무력하게 느꼈다.,절망적인, 절망과 무력감이었다.,절망적인
838,그는 장미 냄새가 났다,그는 행복했다.,꽃의,사랑의 감정이었다.,"그는 행복한 것을 느꼈는데, 왜냐하면 그는 장미 냄새가 났기 때문이다."
839,그는 번호를 변경했다,그는 안도감을 느꼈다.,결심한 것을 느꼈다.," 불안함과 죄책감이었다. 이제 그는 자신의 행동이 올바르지 않았다는 것을 깨달았고, 그의 선택이 다른 사람들에게 어떤 영향을 미칠지 걱정했다.",그는 어떤 변화를 느꼈는지 명시되어 있지 않아서 정확한 답변을 제공하기 어렵습니다.
840,그는 공을 쫓아갔다,그는 흥분했다.,성취감을,"흥분과 즐거움이었다. 그는 공을 놓칠까봐 두려워했지만, 동시에 그것을 따라가는 것이 얼마나 즐거운 일인지를 깨달았다.","그는 흥분된 것을 느꼈는데, 왜냐하면 그는 공을 쫓아갔기 때문이다."
