,input,A,B,B2
374,그는 떠나고 싶지 않았다,그는 그의 친구들과 함께 좋은 시간을 보내고 있었다,가족과 함께 보내다,그는 그곳에서 많은 추억을 쌓았기 때문이었다
375,그는 어젯밤 꿈을 꿨다,그는 스트레스를 많이 받고 있었다,스트레스를 많이 받다,그는 어젯밤 늦게까지 커피를 마셨다
376,그는 청력 검사를 받았다,그는 최근에 귀가 안 좋아졌다,귀가 아프다고 느끼다,그는 귀가 아프다고 느꼈다
377,그는 어제 제 손톱을 칠해줬다,그는 그녀의 손톱이 마몽드색으로 바뀌었다,제 생일 선물로 받은 것이다,그녀는 제 손톱이 너무 길어서 불편해 했다
378,그는 꽤 괜찮아 보였다,그는 새로운 옷을 입었다,새로운 머리스타일을 시도하다,그는 좋은 옷을 입었다
379,그는 담배를 끊었다,그는 건강을 위해 담배를 끊기로 결심했다,건강을 회복하다,그는 건강을 위해 결심했다
380,그는 파티에 초대받았다,그는 그의 친구에게 좋은 인상을 주다,새로운 이웃과 친해지다,그는 친구들과 좋은 인상을 남겨두기 위해 노력했다
381,그는 노래도 부르고 춤도 추웠다,그는 친구의 결혼식에 참석하다,친구의 결혼식에 참석하다,그는 춤 실력을 연습했다
382,그도 멈췄다,그는 사람을 피해 다니던 중에 자신의 실수를 깨닫고 멈추었다,큰 소리를 듣다,그는 속도를 줄이기로 결정했다
383,그는 운전대를 잡았다,그는 운전면허를 취득하다,면허 시험에 통과하다,그는 운전면허 시험에 통과했다
384,그는 이웃에게 물었다,그는 그의 실종된 고양이를 보았는지 물었다,지도를 잃다,그는 집 근처에서 산책을 했다
385,그는 홀로 일어섰다,그는 그의 친구들과 싸움을 했다,모든 도움을 거절하다,그는 많은 시련을 겪었다
386,그는 공황 발작을 일으켰다,그는 스트레스를 많이 받았다,그는 스트레스를 많이 받다,그는 큰 스트레스를 받았다
387,그는 벌금을 내야 했다,그는 속도를 위반했다,길가에 주차를 했다,그는 교통 신호를 무시했다
388,그는 어느 날 가게에 갔다,그는 쇼핑 목록을 작성하다,길을 잃다,그는 지갑을 챙겼다
389,그는 물건이 너무 많았다,그는 이사를 가야 했다,짐 정리를 시작하다,그는 쇼핑을 너무 많이 했다
390,그는 어젯밤에 외출했다,그는 친구들과 약속을 잡았다,스트레스를 풀다,그는 친구들과 만나기로 했다
391,그는 어쨌든 그는 그것을 시도했다,그는 실패하기 전에 최선을 다했다,실패를 두려워하지 않다,그는 두려움을 이겨냈다
392,그는 새끼 고양이를 찾았다,그는 동물 보호소에 갔다,동네에서 유기된 동물을 보호하기로 결정하다,그는 고양이 울음소리를 들었다
393,그는 그녀의 목을 감쌌다,그는 그녀가 기침을 하고 있었다,그녀를 위해 목도리를 사다,그는 그녀의 소리를 들었다
394,그는 간식을 먹고 싶어 했다,그는 오후에 긴 시간을 공부하고 있었다,긴 시간 동안 공부하다,그는 긴 시간 동안 아무 것도 먹지 않았다
395,그는 풀타임으로 일하고 있었다,그는 부업을 그만두다,부모님을 도와야 했다,그는 대학을 졸업했다
396,그는 할아버지를 찾아갔다,그는 가족과 함께 시간을 보내다,오랜만에 휴가를 갖다,그는 할아버지의 생일을 기억했다
397,그는 아이스하키 선수였다,그는 어릴 적부터 아이스하키를 하다,어릴 때부터 얼음과 스케이트를 좋아하다,그는 어릴 때부터 얼음 하키를 좋아했다
398,그는 모퉁이를 돌았다,그는 목적지에 도착하다,예상치 못한 친구를 만나다,그는 지도를 확인했다
399,그는 커피를 한 모금 마셨다,그는 일어나자마자 커피를 내리다,일어나자마자 커피를 내려놓다,그는 카페에서 주문을 했다
400,그는 자존감이 낮았다,그는 가까운 친구와의 갈등으로 인해 자존감이 낮아졌다,어릴 때 가정 내에서 상처를 받다,그는 자신을 비난하는 말을 들었다
401,그는 인터넷을 검색하고 있었다,그는 새로운 요리 레시피를 찾다,새로운 요리 레시피를 찾다,그는 논문을 쓰기 위한 자료를 찾고 있었다
402,그는 노래를 부르기 시작했다,그는 그의 즐거운 기분을 표현하다,스트레스를 푸고 싶어하다,그는 마음이 심란했다
403,그는 하루 종일 검색을 했다,그는 그녀의 분실물을 찾기 위해 노력했다,실종된 친구를 찾기로 결정하다,그는 중요한 정보를 찾기 위해 노력했다
404,그는 사진을 찍었다,그는 그녀의 친구들과 함께 여행 중이었다,아름다운 풍경을 발견하다,그는 카메라를 준비했다
405,그는 남편과 이혼했다,그는 변호사와 상담을 하다,결혼 생활에 지쳐있다,그들은 서로 간의 불화를 해결하려고 노력했지만 실패했다
406,그는 결국 무너졌다,그는 스트레스와 압박으로 인해 정신적으로 무너졌다,스트레스를 너무 많이 받다,그는 너무 많은 스트레스를 받았다
407,그는 먹고 마셨다,그는 식사를 하다,다이어트를 시작하다,그는 긴 시간 동안 배가 고팠다
408,그는 수학 시험이 있었다,그는 시험을 준비하기 위해 수학 공부를 했다,밤새 공부하다,그는 밤새 공부했다
409,그는 오일 교환이 필요했다,그는 자동차 정비소에 가서 차량 정비를 받았다,차량 정비를 받다,그는 차량이 고장나서 도로에 멈춰있었다
410,그는 겨울에 밀짚모자를 구입했다,그는 추운 날씨에 나가기를 계획하다,해변으로 여행을 가기로 결정하다,그는 온라인에서 여행용품을 검색했다
411,그는 버퍼에 부딪혔다,그는 운전 중에 정지를 하지 않았다,운전 중에 졸다,그는 운전을 배우고 있었다
412,그는 치과에 가야 했다,그는 이가 아파서 치과에 가야 했다,그는 치아가 아프다,그는 이가 아팠다고 말했다
413,그는 첫 번째 게임에서 승리했다,그는 팀을 이끌고 있다,자신의 기술을 향상시키다,그는 훈련을 열심히 했다
414,그는 입술을 깨물었다,그는 긴장해서 입술을 깨물고 있었다,긴장하다,그는 긴장해서 신경이 예민해졌다
415,그는 머리를 휙 돌렸다,그는 뒤에서 누군가의 소리를 듣다,소리에 깜짝 놀라다,그는 뒤에서 누군가의 목소리를 들었다
416,그는 이혼을 했다,그는 부부 사이에 심각한 갈등이 있었다,부부 간의 불화를 겪다,그는 부부 상담을 받았지만 결국 문제를 해결하지 못했다
417,그는 늦게 귀가했다,그는 친구와 함께 술을 마시러 갔다,친구들과 술을 마시다,그는 친구들과 함께 시간을 보냈다
418,그는 첫 마라톤을 뛰었다,그는 매일 아침 조깅을 하고 있었다,건강을 회복하다,그는 체력을 키우기 위해 매일 조깅을 했다
419,그는 거품 목욕을 했다,그는 스트레스를 풀다,긴 일의 후에 피로를 풀다,그는 욕조에 물을 채웠다
420,그는 집에 태워다 줄 사람이 필요했다,그는 자동차가 고장났다,차를 고장내다,그는 차량이 고장나서 도보로 이동해야 했다
421,그는 스케이트보드를 배웠다,그는 자전거를 타다,친구들과 함께 공원에서 시간을 보내다,그는 자전거를 타는 것을 좋아했다
422,그는 뭔가 냄새가 났다,그는 주변에 불이 난 것을 느끼다,부엌에서 음식을 요리하다,그는 냄새가 나기 전에 신선한 과일을 사 왔다
423,그는 데이트 상대에게 깊은 인상을 남겼다,그는 외모나 말투에 신경을 쓰다,세련된 옷을 입고 나타나다,그는 선물을 사러 가게를 방문했다
424,그는 셔츠에 주스를 엎질렀다,그는 식사 중에 주스를 마시다 엎질렸다,실수로 음료수를 쏟다,그는 실수로 음료수를 넘겼다
425,그는 지갑을 찾을 수 없었다,그는 지갑을 어디에 놓았는지 기억나지 않았다,집을 나오기 전에 장소를 정리하다,그는 집을 나올 때 지갑을 실수로 놓고 왔다
426,그는 먹거나 마셨다,그는 배가 고파서 먹거나 마셨다,긴 시간을 아무것도 먹지 않다,그는 길을 걷기 시작했다
427,그는 점점 더 좋아지고 있었다,그는 꾸준히 운동을 하고 있다,새로운 운동 습관을 만들다,그는 꾸준한 노력으로 자신을 발전시켰다
428,그는 클럽에 가입했다,그는 운동을 하기 위해 체력을 키우다,취미를 찾다,그는 그 클럽의 회원 혜택을 확인했다
429,그는 발목을 다쳤다,그는 계단에서 넘어지다,농구를 하고 있었다,그는 농구를 하다가 넘어졌다
430,그는 별로 도움이 되지 않았다,그는 그녀가 도와줄 수 있을지 의심하다,친구에게 조언을 구하다,그는 문제를 제대로 이해하지 못했다
431,그는 기회를 얻었다,그는 새로운 직장을 찾고 있었다,열심히 노력하다,그는 열심히 노력했다
432,그는 학교에서 괴롭힘을 당하고 있었다,그는 친구들과 싸움을 하다,부모님께 상황을 알리다,그는 새로 이사 온 학교에 다니기 시작했다
433,그는 환경을 보호했다,그는 지구 온난화에 대해 걱정하고 있었다,지구 온난화에 대해 더 많은 정보를 알게 되다,그는 재활용을 실천했다
434,그는 우승자를 발표했다,그는 심사위원들이 투표한 결과를 받았다,경연 대회에 참가하다,그는 경기에서 열심히 노력했다
435,그는 밖에 풀을 봤다,그는 정원을 가꾸기로 결심했다,오랜만에 자연 속에 나가다,그는 창문을 열었다
436,그는 유권자 등록을 했다,그는 다가오는 선거에 참여하기로 결정했다,선거가 곧 있다,그는 정치에 대한 관심을 갖기 시작했다
437,그는 출근에 한 시간 늦었다,그는 알람을 놓치다,교통 정체로 갇혀있었다,그는 교통 체증 때문에 갇혀 있었다
438,그는 쇼핑을 시작했다,그는 급한 일이 있어서 집을 나가다,생일 선물을 사야 하다,그는 몇 달 동안 절약을 했다
439,그는 서류 가방을 집에 맡겼다,그는 중요한 회의에 참석하러 나갔다,회사에서 퇴근하다,그는 중요한 회의 자료를 복사했다
440,그는 바람을 쐬었다,그는 스트레스를 풀기 위해 밖으로 나가다,긴 시간 동안 실내에 있다,그는 오랜만에 휴가를 취했다
441,그는 엎질러진 물을 재빨리 치웠다,그는 실수로 물을 엎쳤다,실수로 컵을 밀었다,그는 바닥이 깨끗해야 한다고 생각했다
442,그는 누군가에게 전화를 겄다,그는 중요한 소식을 전하다,긴급한 일이 생겼다,그는 번호를 확인했다
443,그는 건강 문제가 있었다,그는 의사에게 진단을 받기로 결정하다,식사 후에 몸이 아프다,그는 규칙적인 운동을 하지 않았다
444,그는 친구를 찾았다,그는 친구와 약속 장소를 정하다,오랜만에 연락을 받다,그는 길을 잃었다
445,그도 동참했다,그는 그의 친구의 결혼식에 초대받았다,친구들과 함께 여행을 계획하다,그는 초대를 받았다
446,그는 아픈 척을 했다,그는 일을 회피하다,시험을 피하기 위해 하루종일 공부하다,그는 시험을 피하기 위해 병원에 가야 했다
447,그는 새 책을 발견했다,그는 서점에서 책을 둘러보다,도서관에서 오랜 시간을 보내다,그는 도서관에서 새로운 책을 찾기 위해 시간을 보냈다
448,그는 밤에 잠을 잘 못 자고 있었다,그는 스트레스를 많이 받고 있다,스트레스를 많이 받다,그는 스트레스를 많이 받았다
449,그는 학교에 가져갈 책을 구했다,그는 도서관에서 책을 빌렸다,도서관에서 원하는 책을 찾다,그는 도서관에서 책을 빌려왔다
450,그는 이혼을 신청했다,그는 부부 간의 불화로 고통받았다,부부 간의 불화가 생기다,그는 그녀와의 관계가 더 이상 지속될 수 없다고 결론 내렸다
451,그는 한밤중에 깨어났다,그는 밤에 너무 많이 잠을 자서 생체 시계가 꼬였다,악몽을 꾸다,그는 한밤중에 악몽을 꾸고 있었다
452,그는 직진했다,그는 교통 신호를 무시하다,GPS를 따라가다,그는 지도를 확인했다
453,그는 한 귀로 듣고 흘렸다,그는 친구의 비밀을 듣다,집중력이 떨어지다,그는 이미 다 알고 있다고 생각했다
454,그는 캐나다로 이주했다,그는 새로운 일자리를 찾다,미국에서 일자리를 잃다,그는 영어를 열심히 공부했다
455,그는 다음에 더 조심할 겄다,그는 이전에 실수를 저지르다,사고를 당하다,그는 이미 여러 번 실수를 했기 때문에 경험을 통해 배웠다
456,그는 새 브라우저를 다운로드했다,그는 인터넷 검색을 하려고 했다,인터넷 속도가 너무 느려졌다,그는 이전 브라우저가 너무 느려서 짜증이 났다
457,그는 대신 수영을 하러 갔다,그는 축구를 하려고 했지만 비가 왔다,축구 연습을 쉬다,그는 축구를 할 예정이었지만 비가 와서 취소되었다
458,그는 생일 케이크를 구입했다,그는 자녀의 생일을 기념하다,그의 친구가 생일을 맞았다,그는 생일 파티를 계획했다
459,그는 인증을 받았다,그는 그 분야에서 경험이 풍부하다,필요한 교육을 마치다,그는 열심히 공부하고 시험을 보았다
460,그는 첫 번째 집을 구입했다,그는 저축을 많이 해서 집을 사다,장기 저축을 통해 돈을 모았다,그는 여러 곳을 둘러보고 가격을 비교했다
461,그는 다음 날 아침 깨어났다,그는 전날 밤에 일찍 잠자리에 들었다,밤새 업무를 처리하다,그는 밤늦게까지 일을 하느라고 늦게 잤다
462,그는 스스로를 지켰다,그는 자기 방어를 배우다,위험한 상황에서 몸을 보호하다,그는 많은 위험을 경험해봤기 때문이다
463,그는 학교에서 놀림을 받았다,그는 실수를 저지르다,새로운 학교에 전학 오다,그는 새로운 학교로 이사했다
464,그는 창문을 깨뜨렸다,그는 실수로 공을 창문에 던졌다,안에 갇혀 있었다,그는 방 안에서 갇혀 있었다
465,그는 결승선을 통과했다,그는 수많은 트레이닝을 하다,오랜 시간 동안 연습하다,그는 마지막 순간에 속도를 올렸다
466,그는 새로운 보금자리를 찾았다,그는 이사를 하다,이사 준비를 하다,그는 이사를 하기로 결정했다
467,그는 결국 찾았다,그는 여행 중에 지도를 찾다,여러 시간을 헤매다,그는 모든 곳을 뒤져봤다
468,그는 정말 멋졌다,그는 시험에서 최고의 성적을 받다,무대에서 뛰어나게 노래하다,그는 열심히 연습했다
469,그는 곧 도착했다,그는 비행기를 타고 있었다,출발하기로 결정하다,그는 택시를 탔다
470,그는 어머니를 찾았다,그는 그녀의 어머니가 병원에 입원했다,아버지와 싸웠다,그는 수십 년 동안 연락이 끊긴 상태였다
471,그는 아기의 기저귀를 갈아줬다,그는 아기가 기저귀를 갈아야 할 때를 냄새로 알아차렸다,아기가 기저귀를 갈아입을 필요가 있다고 느끼다,아기가 울음소리를 내고 있었다
472,그는 정말 귀여운 녀석였다,그는 그의 강아지를 입양하기 전에 동물 보호소를 방문했다,강아지를 입양하다,그는 모든 사람들의 관심을 끌었다
473,그의 몸에 불이 붙었다,그는 캠핑용 가스를 사용하고 있었다,부주의하게 담배를 버리다,그는 캠핑용 가스를 다루고 있었다
474,그는 새 셔츠를 원했다,그는 친구의 결혼식에 참석하려고 했다,옷장을 정리하다,그의 옷이 너무 낡아서 버리기로 결정했다
475,그는 새 노래를 작곡했다,그는 창작 활동을 위해 시간을 내다,여행을 다녀오다,그는 가장 좋아하는 음악을 들었다
476,그는 더 빠르게 타이핑을 쳤다,그는 프로젝트를 빨리 마무리하기 위해 노력했다,타자 연습을 하다,그는 키보드 연습을 많이 했다
477,그는 뭔가에 부딪혔다,그는 스마트폰을 보다가 걸음을 멈추다,휴대전화로 거리를 보다,그는 자전거를 타고 있었다
478,그는 마침내 열쇠를 찾았다,그는 집을 나가기 전에 열쇠를 잃어버렸다,집 안을 철저히 뒤져보다,그는 방 안을 철저히 뒤졌다
479,그는 셔츠를 벗었다,그는 운동을 하다,더운 날씨에 힘들어하다,그는 셔츠의 단추를 풀었다
480,그는 투어를 시작했다,그는 여행을 계획하다,음악계에서 성공을 거두다,그는 음악을 전공했고 밴드를 결성했다
481,그는 깃발을 꽂았다,그는 국경을 넘다,정상에 도착하다,그는 국가를 대표하여 올림픽에서 금메달을 획득했다
482,그는 산책을 하고 싶어 했다,그는 오랜만에 휴가를 취하고 싶어 했다,오랜만에 집에 나가고 싶어하다,그는 오랜만에 집에서 나오고 싶어 했다
483,그는 장난을 쳤다,그는 그의 친구들과 함께 웃고 놀았다,친구를 놀리다,그는 친구들과 함께 웃고 놀았다
484,그는 방과 후에 놀았다,그는 친구들과 함께 시간을 보내다,숙제를 다 끝내다,그는 도서관에서 책을 빌려왔다
485,그는 자신의 가치를 결정했다,그는 그의 인생을 살아가기로 결정했다,자기 존중을 찾다,그는 자기 자신을 이해하고 받아들였다
486,그는 대신 집으로 돌아갔다,그는 그의 지갑을 잊고 왔다,갑자기 머리가 아프다,그는 회사에서 긴 일을 하고 피곤했다
487,그는 체중이 증가했다,그는 운동을 소홀히 하고 과도한 음식을 섭취했다,다이어트를 포기하다,그는 운동을 소홀히 했다
488,그는 그냥 집에 갔다,그는 지루해서 나가기로 결정했다,일을 마치다,친구들과 식사를 했다
489,그는 오늘 도착했다,그는 어제 여행을 시작하다,여행을 떠나다,그는 항공편이 지연되었기 때문에 늦게 도착했다
490,그는 어디에서도 그녀를 찾을 수 없었다,그는 그녀가 학교에 갔다고 생각했다,실종되었다고 생각하다,그녀는 가방을 챙겨 집을 나섰다
491,그는 학교로 돌아왔다,그는 방학이 끝나고 학교로 돌아왔다,방학이 끝나다,그는 여름 방학을 보내고 있었다
492,그는 그녀를 찔렀다,그는 그녀와 싸웠다,감정을 잃다,그녀가 자신을 방어하려고 했다
493,그는 학교에 도착했다,그는 버스를 타고 학교에 가다,버스를 타다,그는 버스를 타고 왔다
494,그는 자신에게 화를 내고 있었다,그는 누군가에게 속았다,자기 자신을 속이다,그는 중요한 회의에서 실패했다
495,그는 피자를 주문했다,그는 그의 친구들과 함께 식사를 하기로 했다,배가 고팠다,그는 긴 시간 동안 아무것도 먹지 않았다
496,그는 공을 서브했다,그는 테니스 경기를 시작하다,테니스 경기에서 첫 번째 점수를 따다,그는 테니스 라켓을 교체했다
497,그는 마사지를 받았다,그는 신체적인 피로가 누적되어 있었다,긴 일주일을 보내다,그는 하루 종일 일을 했다
498,그는 국기를 게양하고 누가 경례를 하는지 확인했다,그는 군대에서 훈련을 받았다,군대에서 훈련을 받다,그는 군대에 입대했다
499,그는 리본을 잘랐다,그는 그녀의 졸업식을 축하하기 위해 준비를 했다,선물을 포장하다,그는 생일 파티를 준비하고 있었다
500,그는 목이 말랐다,그는 오랫동안 물을 마시지 않았다,오랜 시간을 산책하고 났다,그는 운동을 많이 했다
501,그는 기분이 더 나빠졌다,그는 그의 친구에게 연락이 닿지 않다고 걱정하다,소식을 듣다,그의 친구가 그를 실망시켰다
502,그는 어디서든 찾을 수 있었다,그는 그의 전화가 항상 켜져 있었다,항상 휴대전화를 가지고 다니다,그는 항상 자신의 위치를 친구들과 공유했다
503,그는 공연이 끝난 후 그녀를 만났다,그는 그녀에게 꽃다발을 선물하기로 결정했다,백스테이지로 가서 그녀를 찾다,그는 무대 위에서 열정적으로 춤을 추었다
504,그는 첫 월급을 받았다,그는 일을 시작했다,대학을 졸업하다,그는 첫 직장을 구했다
505,그는 정말 좋아 보였다,그는 새로운 옷을 입고 있었다,새 옷을 입다,그는 일주일 동안 잠을 제대로 자지 못했다
506,그는 팔짱을 꼈다,그는 자신의 의견을 강하게 주장했다,자신의 의견을 강하게 주장하다,그는 자신의 주장을 확고히 했다
507,그는 친구들과 대화를 나눴다,그는 오랜만에 친구들을 만나다,오랜만에 만나서 행복했다,그는 일주일 동안 연락이 끊겼었다
508,그는 그녀에게 자비를 베푸셨다,그는 그녀가 심판을 받지 않도록 도와주다,그녀의 어려움을 이해하다,그는 그녀의 어려움을 이해했다
509,그는 더 빠르게 갔다,그는 경주에서 우승하기를 원하다,경주에서 상대를 따돌리다,그는 자전거를 타고 있었다
510,그는 새 바지를 입었다,그는 오늘 중요한 회의가 있어서 깔끔하게 차려입다,다이어트에 성공하다,그는 청소를 했다
511,그는 직접 티켓을 작성했다,그는 공연에 참석하기로 결정했다,올림픽 경기를 보러 가기로 결정하다,그는 티켓 예매 사이트에 들어가서 좌석을 확인했다
512,그는 새 직장에 지원했다,그는 이직을 결정했다,이전 직장에서 해고되다,그는 취업을 위해 이력서를 업데이트했다
513,그는 고양이에게 간식을 줬다,그는 고양이를 키우다,그는 고양이가 배고프다고 느끼다,그는 고양이가 주위를 맴돌고 있었다
514,그는 야수를 겁을 줘서 쫓아내었다,그는 숲 속에서 캠핑을 하고 있었다,집에 들어오려던 도둑을 발견하다,그는 주변에 있는 돌들을 던져서 야수를 위협했다
515,그는 발가락이 부러졌다,그는 사고로 발을 다쳤다,축구를 하다가 다른 선수와 부딪히다,그는 무리한 운동을 했다
516,그는 자랑을 멈췄다,그는 자신의 성과를 친구들에게 보여주고 싶어했다,다른 사람들의 반응을 보다,그의 친구가 그보다 더 좋은 성적을 받았다
517,그는 연락이 끊겼다,그는 지하실에 있었고 휴대전화 신호가 잡히지 않았다,해외로 여행을 가다,그는 핸드폰을 분실했다
518,그는 자전거를 구입했다,그는 운동을 위해 자전거를 사다,운동을 할 필요성을 느끼다,그는 여러 가게를 돌아다니며 비교 검토를 했다
519,그는 공을 드리블했다,그는 농구를 하고 있다,상대 선수를 피해 가려고 노력하다,그는 공을 받아서 풀타임을 준비했다
520,그는 더 잘 보게 되었다,그는 안경을 샀다,그는 안경을 새로 사다,그는 렌즈를 교체했다
521,그는 아픈 척했다,그는 그의 엄마에게 더 많은 관심을 받기를 원했다,시험을 피하다,그는 회사에서 더 이상 일을 하고 싶지 않았다
522,그는 마침내 채용되었다,그는 면접을 통과했다,면접을 보다,그는 여러 차례 면접을 보았다
523,그는 친구들과 즐거운 시간을 보내고 있었다,그는 오랜만에 친구들을 만나다,갑자기 전화를 받다,그는 모든 일을 마무리했다
524,그는 새 직장을 찾았다,그는 이직을 결심하고 이력서를 업데이트했다,이직을 결정하다,그는 현재 직장에서 더 이상 성장할 수 없다고 느꼈다
525,그는 마침내 완성했다,그는 오랜 시간을 투자하여 프로젝트를 완성하다,수십 시간 동안 작업하다,그는 끊임없는 노력과 헌신으로 프로젝트를 이끌어 나갔다
526,그는 결혼한 지 20년이 되었다,그는 그녀와 함께 많은 추억을 만들었다,아내와 함께 여행을 계획하다,그는 여자 친구와 사귀기 시작했다
527,그도 함께 동승했다,그는 자동차를 운전하다,운전을 시작하다,그는 운전면허증을 갖고 있었다
528,그는 드레스 쇼핑을 하러 갔다,그는 친구의 결혼식에 초대되었다,친구의 결혼식에 초대받다,친구의 결혼식 초대를 받았다
529,그는 롤러스케이트를 타러 갔다,그는 그의 친구와 함께 공원에 나가다,친구들과 약속을 잡다,그는 롤러스케이트를 신고 나왔다
530,그는 큰 소리를 들었다,그는 귀가 먼저 들리다,귀가 멀다,그는 귀가 먼 곳에서도 소음을 들을 수 있었다
531,그는 곧 육지를 봤다,그는 배를 타고 있었다,오랫동안 바다에서 항해하다,그는 여러 일주일 동안 항해했다
532,그는 프레젠테이션을 진행했다,그는 프로젝트를 마무리하기 위해 노력하고 있다,여러 시간을 연습하다,그는 자료를 철저히 준비했다
533,그는 함께 식사했다,그는 친구의 생일을 축하하다,여자 친구와 화해하다,그는 친구와 약속을 잡았다
534,그는 매주 주말마다 갔다,그는 새로운 카페를 발견하다,스트레스를 푸는 것을 즐기다,그는 친구들과 약속을 잡았다
535,그는 바닥에 오줌을 쌌다,그는 화장실을 가야 했지만 찾지 못했다,술을 너무 많이 마시다,그는 맥주를 많이 마셨다
536,그는 통나무를 떨어뜨렸다,그는 나무를 베기 시작했다,나무를 베고 나서 일어났다,그는 도와줄 사람이 없었다
537,그는 잠시 숨을 골랐다,그는 긴장을 풀기 위해 깊게 숨을 들이마셨다,긴 시간 동안 뛰어다니다,그는 긴 시간 동안 뛰었다
538,그는 추수감사절 저녁을 요리했다,그는 가족이나 친구들과 함께 식사를 하기로 했다,가족과 함께 특별한 시간을 보내다,그는 신선한 재료를 구매하러 시장에 갔다
539,그는 파이 먹기 대회에 참가했다,그는 식욕이 매우 좋다,배고파서 점심을 거르다,그는 파이를 만들었다
540,그는 혀를 깨물었다,그는 매운 음식을 먹었다,매운 음식을 먹다,그는 식사를 준비했다
541,그는 그 자리에서 바로 채용했다,그는 면접에서 잘 빠져나왔다,면접에서 뛰어난 모습을 보여주다,그는 면접을 열심히 준비했다
542,그는 저녁 식사를 준비했다,그는 요리 레시피를 찾아보다,집에서 손님을 맞이하기로 했다,그는 장을 보러 시장에 갔다
543,그는 케이크도 먹었다,그는 생일을 축하했다,다이어트를 시작하다,그는 친구의 생일 파티에 참석했다
544,그는 고열이 있었다,그는 감기에 걸렸다,감기에 걸리다,그는 감기에 걸렸다
545,그는 너무 다쳤다,그는 사고를 당했다,자전거 사고를 당하다,그는 스케이트보드를 타고 있었다
546,그는 스테이크도 먹었다,그는 그녀와 함께 식사를 했다,다이어트를 포기하다,그는 식당에서 예약을 했다
547,그는 이야기를 길게 했다,그는 그의 여행 경험에 대해 이야기하다,많은 일을 겪다,그는 많은 일을 겪었다
548,그는 의상을 제작했다,그는 패션 디자이너로 일하다,디자인 대회에서 상을 받다,그는 디자인을 완성했다
549,그는 밖에서 소음을 들었다,그는 그의 이웃이 파티를 열고 있다고 느꼈다,창문을 열다,그는 창문을 열었다
550,그는 서핑을 하려고 했다,그는 해변으로 이동하다,파도가 너무 세다,그는 파도가 매우 높았다는 것을 알게 되었다
551,그는 오두막을 지었다,그는 산속으로 여행을 떠났다,자연 속에서 평화로운 삶을 원하다,그는 산속에서 조용한 휴가를 보내기로 결정했다
552,그는 상사를 고소했다,그는 업무상의 갈등으로 인해 상사와 충돌하다,업무상의 불만을 제기하다,그는 회사 내에서 불만을 토로했다
553,그는 막 아기를 낳았다,그는 임신 중이었다,몇 시간 동안 진통을 견디다,그는 아내가 분만을 하기 전에 병원으로 빨리 이동했다
554,그는 자신의 운명을 결정했다,그는 자신의 꿈을 추구하기로 결정하다,오랜 시간을 고민하다,그는 오랜 시간을 고민했다
555,그는 파티를 그리워했다,그는 오랜만에 친구들을 만나고 싶어했다,오랜만에 친구들과 만나다,그는 오랜만에 친구들과 함께 시간을 보냈기 때문이다
556,그는 휴대폰을 망가뜨렸다,그는 실수로 바닥에 떨어뜨리다,물에 담궜다,그는 욕조에서 목욕을 하고 있었다
557,그는 파티에 가고 싶어 했다,그는 친구들과 만나고 싶어 했다,친구들과 만나고 싶어하다,그는 친구들과 함께 노래방을 다녀왔다
558,그는 팔에 날카로운 통증을 느꼈다,그는 사고 후에 상처를 입다,사고를 당하다,그는 사고를 당했다
559,그는 바닥에 화학 물질을 엎질렀다,그는 실험실에서 실험을 하고 있었다,산업 안전 규정을 위반하다,그는 실험실에서 실험을 하고 있었다
560,그는 허리 통증이 있었다,그는 무거운 물건을 옮기다,긴 시간 동안 앉아서 일을 하다,그는 하루 종일 컴퓨터 앞에서 앉아 있었다
561,그는 거의 맞을 뻔했다,그는 공을 피하다,싸움 도중에 상대방의 강한 펀치를 피하다,그는 운이 좋게도 피할 수 있었다
562,그는 리얼리티 쇼를 시청했다,그는 쇼에 출연하기로 결정하다,퇴그다,그는 친구가 그 쇼에 출연했다는 소식을 들었다
563,그는 바이올린을 연주했다,그는 음악 학원에서 수업을 받았다,음악회에 참가하다,그는 오랜만에 연습을 했다
564,그는 기분이 나아지기 시작했다,그는 오랜만에 친구들과 만나서 즐거운 시간을 보냈다,오랜만에 가족을 만나다,그는 오랜만에 친구들과 만났다
565,그는 나머지 거리는 걸어서 통학했다,그는 자동차를 고치기 위해 돈을 모았다,자전거를 고쳐야 했다,버스를 놓쳤다
566,그는 피 냄새를 맡았다,그는 범죄 현장에 도착하다,범죄 현장에 도착하다,그는 살인 사건을 조사하러 갔다
567,그는 오일 교환을 받았다,그는 자동차 정비소에 가다,자동차 엔진이 고장나다,그는 자동차 엔진이 이상하게 작동했다
568,그는 수학 시험을 치렀다,그는 선생님에게 도움을 요청하다,열심히 공부하다,그는 밤새 공부했다
569,그는 스스로를 믿고 있었다,그는 어려운 시험을 통과하다,어려운 시험을 통과하다,그의 가족과 친구들이 그를 지지해 주었다
570,그는 자전거가 정말 필요했다,그는 자동차를 팔았다,교통 체증 때문에 늦다,그는 매일 출퇴근을 걸어 다녔다
571,그는 파상풍 예방 주사를 맞았다,그는 의사에게 건강 상태를 점검받다,상처를 입다,그는 상처를 입었고 그 상처가 감염되지 않도록 예방 주사를 맞았다
572,그는 명예로운 전투에 참여했다,그는 군대에 들어가기로 결심하고 있다,국가를 위해 싸우다,그는 국가를 위해 자신의 힘을 바쳤다
