,input,A,B
638,그는 정말 배가 불렀다,식탐이 많다,만족하다
639,그는 장기자랑에서 우승했다,재능이 있다,뛰어나다
640,그는 휴식이 필요했다,피곤해 보인다,피곤하다
641,그는 항상 울었다,우울하다,슬프다
642,그는 샌드위치를 먹고 싶었다,배고프다,배고프다
643,그는 선생님과 이야기를 나눴다,지적이다,지적이다
644,그는 햄버거를 주문했다,식욕이 많다,식탐이 많다
645,그는 슬프게 고개를 흔들었다,슬프다,안타깝다
646,그는 아주 잘 자고 있었다,편안하다,편안하다
647,그는 문이 잠겨 있는 것을 발견했다,좌절했다,낙담하다
648,그는 문이 열리는 소리를 들었다,경계심이 많다,궁금하다
649,그는 투표를 했다,적극적이다,책임감 있다
650,그는 기둥에 부딪혔다,어리석다,어리석다
651,그의 말이 옳은 것처럼 보였다,자신감이 있다,현명하다
652,그는 친구가 필요했다,외로움을 느낀다,외롭다
653,그는 새로운 고객을 확보했다,성공적이다,성공적이다
654,그는 집을 구입했다,부유하다,부유하다
655,그는 낚시를 하거나 미끼를 잘랐다,여유롭다,야외활동을 좋아한다
656,그는 새 모자를 구입했다,유행을 따른다,세련되다
657,그는 시동을 켜었다,차를 운전하려고 한다,운전을 시작하다
658,그는 운전면허 시험에 합격했다,자유로워 보인다,자유롭다
659,그는 헬스장에 가입했다,건강을 중요시한다,건강을 중요시한다
660,그는 자신의 컬렉션을 탐색했다,열정적이다,열정적이다
661,그는 지갑을 챙겼다,신중하다,신중하다
662,그는 제시간에 도착했다,신뢰할 만하다,신뢰할 만하다
663,그는 밤새도록 잠을 잤다,피곤하다,피곤하다
664,그는 이를 악물었다,분노하고 있다,화가 나다
665,그는 1위로 데뷔했다,재능이 있다,자신감 있다
666,그는 방문하고 싶다고 했다,사교적이다,관심이 많다
667,그는 드디어 전화했다,결단력이 있다,결단력 있다
668,그는 광고를 게시했다,홍보에 열중하다,창의적이다
669,그는 울고 싶은 기분였다,슬프다,슬프다
670,그는 스스로를 부끄러워했다,수줍어하는 성격이다,자책한다
671,그는 나머지를 그녀에게 맡겼다,신뢰할 만하다,신뢰할 만하다
672,그는 야채를 더 많이 먹었다,건강하다,건강하다
673,그는 돈을 잊어버렸다,부주의하다,분실한다
674,그는 코스튬 콘테스트에 참가했다,창의적이다,창의적이다
675,그는 자전거를 부쉈다,활동적이다,운동을 좋아한다
676,그는 바지에 똥을 쌌다,부주의하다,창피하다
677,그도 알고 있었다,똑똑하다,날카롭다
678,그는 데이트를 약속했다,로맨틱하다,로맨틱하다
679,그는 예상치 못한 실패를 겪었다,실망하다,실망하다
680,그는 누군가를 만났다,사교적이다,미소를 짓다
681,그는 스케이트 타는 법을 배웠다,새로운 기술을 배우는 것을 좋아한다,민첩하다
682,그는 호흡 곤란이 있었다,건강이 나쁘다,걱정스럽다
683,그는 냄새가 정말 좋았다,청결하다,예민하다
684,그는 대신 결정했다,책임감이 있다,책임감 있다
685,그는 그녀를 바라봤다,사랑에 빠졌다,사랑에 빠지다
686,그는 바구니를 받았다,성실하다,감사하다
687,그는 광고를 보게 되었다,광고에 민감하다,호기심 많다
688,그는 휴대폰을 가져갔다,도둑 같다,탐욕스럽다
689,그는 반지를 발견했다,기쁘다,운이 좋다
690,그는 바로 돌아왔다,빠르다,신속하다
691,그는 새 키보드를 구입했다,현대적이다,현명하다
692,그는 도랑에 추락했다,위험부담을 무시한 경솔하다,불운하다
693,그는 자신의 얼굴을 핥았다,이상하다,이상하다
694,그는 집까지 태워다 줬다,친절하다,친절하다
695,그는 손가락을 찔렀다,아픈 것 같다,아프다
696,그는 벽에 부딪혔다,공격적이다,어리둥절하다
697,그는 그녀를 찾았다,열정적이다,성공하다
698,그는 손을 내밀고 있었다,도움이 필요하다,도와 달라고 한다
699,그는 자신의 어머니를 바라봤다,애정이 넘친다,사랑스럽다
700,그는 바지에 오줌을 쌌다,부끄러워하거나 당황스러운 상황에 처하다,당황하다
701,그는 프로포즈하고 싶어 했다,사랑에 빠졌다,설렌다
702,그는 엄청난 파티를 열었다,사교적이다,활발하다
703,그는 3점슛을 성공시켰다,정확하다,능력있다
704,그는 셔츠에 케첩을 엎질렀다,어설프다,어설프다
705,그는 대신 비디오 게임을 했다,게으르다,게으르다
706,그는 가려운 곳을 긁었다,괴로워하다,괴롭다
707,그는 자녀가 한 명 있었다,부모다,부모답다
708,그는 아침에 일어나 준비를 했다,책임감이 있다,활기차다
709,그는 집에 갈 시간였다,피곤하다,바쁘다
710,그는 주말에는 캠핑을 떠났다,자연을 즐긴다,모험심이 강하다
711,그는 중요한 회의가 있었다,바쁘다,긴장하다
712,그는 제대로 찾아왔다,신중하다,신뢰할 만하다
713,그는 강도를 당했다,불운한 상황에 처했다,불운하다
714,그는 한 시간 늦었다,부주의하다,지각한다
715,그는 새 아이폰을 구입했다,부유하다,현명하다
716,그는 그녀를 흔들어 깨웠다,걱정스럽다,걱정스럽다
717,그는 메일함을 확인했다,호기심이 많다,꼼꼼하다
718,그는 서핑을 좋아했다,모험적이다,용감하다
719,그는 새 시계를 받았다,행운아이다,기쁘다
720,그는 사슴을 쳤다,잔인하다,잔인하다
721,그는 심호흡을 했다,진정되다,진정하다
722,그는 군에 입대했다,헌신적이다,훈련받다
723,그는 좀 나아진 듯 보였다,회복력이 있다,희망적이다
724,그는 나무에 올라갔다,용감하다,용감하다
725,그는 무사히 도착했다,안전을 중요시한다,안도하다
726,그는 선거에 출마했다,야심차다,야심 있다
727,그는 이메일을 찾았다,기억력이 좋다,기쁘다
728,그는 뼈가 부러졌다,고통스럽다,고통받다
729,그는 자신의 팔을 휘둘렀다,화가 났다,화가 난다
730,그는 빨리 왔다,서두르다,민첩하다
731,그는 마이크를 내려놓았다,실망스럽다,자신감 있다
732,그는 친구를 방문했다,사교적이다,사교적이다
733,그는 감염되었다,위험에 노출되었다,아프고 피곤하다
734,그는 캘리포니아로 이사했다,새로운 시작을 원하다,새로운 시작을 한다
735,그는 잠들지 못했다,불안하다,불면증이다
736,그는 거미를 봤다,무서워하다,겁먹다
737,그는 총을 쐈다,위험하다,위험하다
738,그는 열쇠를 받았다,책임감 있다,기쁘다
739,그는 고양이를 입양하고 싶어 했다,애완동물을 좋아한다,사랑스럽다
740,그는 실수로 엎질렀다,어설프다,어설프다
741,그는 거북이를 발견했다,귀엽다,호기심 많다
742,그는 대신 TV를 시청했다,게으르다,게으르다
743,그는 가려움증이 심했다,괴로워 보인다,괴롭다
744,그는 새 셔츠가 필요했다,쇼핑을 좋아한다,단정하다
745,그는 낚시하러 가고 싶어했다,평온하다,평온하다
746,그는 첫 데이트 중였다,긴장되어 있다,긴장하다
747,그는 바위에 부딪혔다,다치다,강인하다
748,그는 학교에 지각했다,부주의하다,부주의하다
749,그는 첫 한입을 먹었다,만족하다,만족하다
750,그는 배가 고파졌다,식욕이 강하다,굶주리다
751,그는 체중이 몇 파운드 줄었다,건강하다,건강하다
752,그는 그 결과 열쇠를 잃어버렸다,난처하다,당황하다
753,그는 문을 두드리는 소리를 들었다,깜짝 놀랐다,궁금하다
754,그는 친구들이 그립었다,사교적이다,외롭다
755,그는 칭찬을 많이 받았다,자신감이 있다,자랑스럽다
756,그는 반려견을 애견 공원에 데리고 갔다,애완동물을 좋아한다,책임감 있다
757,그는 저녁 식사를 위해 만났다,사교적이다,기쁘다
758,그는 그가 가장 좋아하는 밴드를 봤다,흥분했다,행복하다
759,그는 몇 시간이 걸렸다,인내심이 있다,인내심 있다
760,그는 적을 죽였다,폭력적이다,무자비하다
761,그는 슛을 성공시켰다,자신감이 넘친다,자신감 넘친다
762,그는 고양이를 찾았다,기쁘다,친근하다
763,그는 잠자리에 들 준비를 했다,피곤하다,피곤하다
764,그는 기타를 구입했다,음악에 관심이 많다,음악을 좋아한다
765,그는 기분이 조금 나아졌다,안도하다,안도하다
766,그는 가슴을 움켜쥐었다,절망적이다,두렵다
767,그는 전화를 받았다,바쁘다,기쁘다
768,그는 한 시간 거리에 있었다,가까이 있다,조급하다
769,그는 배변을 보러 갔다,보통 사람이다,급하다
770,그는 이마를 찡그렸다,걱정스럽다,걱정스럽다
771,그는 재채기를 많이 했다,알레르기가 있다,알레르기가 있다
772,그는 첫 문신을 새겼다,대담하다,대담하다
773,그는 드디어 옷을 찾았다,기뻐하다,안도하다
774,그는 공을 튕겼다,활동적이다,활기차다
775,그는 큰 소리가 들렸다,주의 깊지 않다,놀라다
776,그는 미끄러져 넘어졌다,서투르다,서투르다
777,그는 그 결과 지갑을 잃어버렸다,부주의하다,답답하다
778,그는 새 게임을 구입했다,게임 중독이다,즐겁다
779,그는 나머지를 저장했다,절약하다,절약한다
780,그는 일정을 변경했다,유연하다,융통성 있다
781,그는 트롬본을 연주했다,음악적 재능을 가지다,흥겹다
782,그는 번지점프를 하러 갔다,대담하다,대담하다
783,그는 운동량을 늘렸다,건강하다,건강하다
784,그는 그녀에게 휴가를 줬다,관대하다,관대하다
785,그는 다니던 직장을 그만뒀다,결단력이 있다,변화를 추구한다
786,그는 그녀와 같은 냄새가 났다,친밀한 관계에 있다,깨끗하다
787,그는 드디어 만났다,기쁘다,행복하다
788,그는 어느 날 집에 돌아왔다,피곤해 보인다,피곤하다
789,그는 그녀에게 손을 내밀었다,친절하다,친절하다
790,그는 두통이 심했다,고통을 겪고 있다,고통받다
791,그는 사인을 받았다,유명해졌다,자랑스럽다
792,그는 가까워지고 있었다,친근하다,친밀하다
793,그는 케이크를 굽고 싶어 했다,요리를 좋아한다,달콤하다
794,그는 기침이 심했다,아프다,아픈다
795,그는 새 친구가 생겼다,사교적이다,행복하다
796,그는 새 시계를 구입했다,소비적이다,부유하다
797,그는 화장실을 이용했다,일상적이다,깔끔하다
798,그는 기차를 놓쳤다,당황스러워 보인다,실망하다
799,그는 정말 수줍음이 많았다,내성적이다,내성적이다
800,그는 드디어 임신했다,기쁘다,기쁘다
801,그는 볼링을 치러 갔다,활동적이다,즐겁다
802,그는 팀에 합류했다,사회적이다,적극적이다
803,그는 수표를 입금했다,부유하다,부자
804,그는 결승에 진출했다,우승을 향해 나아가고 있다,경쟁적이다
805,그는 데이트를 취소했다,무심하다,실망스럽다
806,그는 에세이를 써야 했다,창의적이다,창의적이다
807,그의 차례가 돌아왔다,기다림이 참을성 있다,긴장하다
808,그는 다음 날 깨어났다,새로운 시작을 하다,상쾌하다
809,그는 학교를 다니기 시작했다,교육을 중요하게 생각한다,열정적이다
810,그는 화살을 쐈다,용감하다,숙달되다
811,그는 스스로를 격려했다,자책하다,자책한다
812,그는 팔에 화상을 입었다,조심스럽다,아프다
813,그는 가라데를 배우고 싶어했다,열정적이다,열정적이다
814,그는 능력을 잃었다,무력하다,무기력하다
815,그는 머리를 맞았다,다친 것 같다,혼란스럽다
816,그는 게임을 제안했다,경쟁심이 강하다,즐겁다
817,그는 브로드웨이 공연을 보러 갔다,예술을 즐기다,예술적이다
818,그는 최근에 이사했다,새로운 시작을 원한다,새로운 시작을 한다
819,그는 임신 테스트를 받았다,불안하다,불안하다
820,그는 주차장에서 열쇠를 찾았다,분실을 했다,당황하다
821,그는 기타를 조율했다,예술적이다,음악에 능숙하다
822,그는 그녀에게 매우 화가 났다,화를 내다,짜증나다
823,그는 너무 화가 났다,격분한 모습,화나다
824,그는 어제 집에 돌아왔다,피곤하다,피곤하다
825,그는 금메달을 획득했다,우수하다,자랑스럽다
826,그는 스스로에게 매우 친절했다,자기를 사랑스럽게 여긴다,자비롭다
827,그는 오늘 기분이 나아졌다,기쁘다,즐겁다
828,그는 하키를 하고 싶어 했다,활동적이다,활동적이다
829,그는 낮잠을 자고 있었다,피곤하다,피곤하다
830,그는 케이크를 주문했다,달콤한 것을 좋아한다,달콤하다
831,그는 옷이 필요했다,결핍 상태에 있다,쇼핑을 좋아한다
832,그는 나중에 다시 돌아왔다,끈기가 있다,변화되다
833,그는 드디어 착륙했다,안도하다,안도하다
834,그는 알람을 설정하는 것을 잊어버렸다,부주의하다,부주의하다
835,그는 총을 조준했다,위협적이다,위협적이다
836,그는 물렸다,패배자,좌절하다
837,그는 일자리를 찾을 수 없었다,무력하다,불안하다
838,그는 장미 냄새가 났다,로맨틱하다,로맨틱하다
839,그는 번호를 변경했다,은폐하려고 한다,의심스럽다
840,그는 공을 쫓아갔다,활동적이다,활동적이다
841,그는 사진을 찍으며 치즈라고 했다,즐거워 보인다,쾌활하다
842,그는 몸에서 덩어리가 만져졌다,민감하다,민감하다
843,그는 하이킹을 시작했다,활동적이다,활기차다
844,그는 학교에 지각하고 있었다,부주의하다,부주의하다
845,그는 잠을 잘 못 자고 있었다,피곤하다,피곤하다
846,그는 잭팟을 터뜨렸다,운이 좋다,운이 좋다
847,그는 자신의 경험을 공유했다,친근하다,지혜롭다
848,그는 밖에서 놀고 있었다,활동적이다,즐겁다
849,그는 수업 시간에 잠이 들었다,피곤한 것 같다,피곤하다
850,그는 뉴욕에서 방문했다,여행을 즐긴다,여행을 좋아한다
851,그는 새 바지를 구입했다,새로운 것을 좋아한다,자신있다
852,그는 램프 냄새를 맡았다,호기심이 많다,이상하다
853,그는 여동생을 만났다,가족을 소중히 여긴다,행복하다
854,그는 주차된 차량에 부딪혔다,운이 나쁘다,책임 있다
855,그는 수다를 떨며 시간을 보내었다,사교적이다,사교적이다
856,그는 결국 떠났다,결단력이 있다,실망하다
857,그는 고통에 비명을 질렀다,고통스럽다,고통스럽다
858,그는 코피를 흘렸다,부주의하다,졸리다
859,그는 아이스크림이 있었다,기쁘다,달콤하다
860,그는 소원을 빌었다,소망이 있다,열망한다
861,그는 고등학교 졸업을 앞두고 있었다,미래가 기대된다,미래에 대한 기대가 크다
862,그는 개를 입양했다,관대하다,관대하다
863,그는 걱정없이 잤다,평온하다,평온하다
864,그는 안경을 깨뜨렸다,조심성이 없다,어질러지다
865,그는 뿌린 대로 거뒀다,일관성이 있다,정직하다
866,그는 손에 피가 묻어 있었다,폭력적,위험하다
867,그는 귀를 뚫었다,대담하다,용감하다
868,그는 여러 친구를 초대했다,사교적이다,활발하다
869,그는 지루함을 느꼈다,지루하다,심심하다
870,그는 바스락거리는 소리를 들었다,경계심이 많다,경계한다
871,그는 화장실에 다녀와야 했다,급하다,급하다
872,그는 악어를 봤다,놀랍다,겁쟁이
873,그는 무서운 영화를 보고 싶어 했다,호기심이 많다,호기심 많다
874,그는 빨간 신호등에 멈췄다,규칙을 준수한다,안전을 중요시한다
875,그는 그녀의 눈을 바라봤다,로맨틱하다,로맨틱하다
876,그는 수영장 파티에 초대했다,사교적이다,즐겁다
877,그는 공부하는 것을 잊어버렸다,부주의하다,부주의하다
878,그는 이제 막 대학을 졸업했다,미래가 기대된다,자신감 넘친다
879,그는 자신의 개인 기록을 경신했다,자부심이 강하다,자부심 있다
880,그는 배관공에게 전화했다,배관공과 관련이 있다,관리를 잘한다
881,그는 그녀의 피를 마셨다,끔찍하다,충격적이다
882,그는 중고차를 구입했다,절약적이다,저렴하다
883,그는 더 많은 비용을 절약했다,현명하다,현명하다
884,그는 쇼핑몰에 가고 싶어 했다,소비에 관심이 많다,소비욕이 강하다
885,그는 배가 아팠다,아프다,불쌍하다
886,그는 숨이 막히기 시작했다,위급한 상황에 처했다,절망적이다
887,그는 출장 중였다,바쁘다,바쁘다
888,그는 아빠와 공놀이를 했다,아버지다,유쾌하다
889,그는 새 강아지를 살았다,애정이 많다,따뜻하다
890,그는 새 충전기를 구입했다,현명하다,현명하다
891,그는 튜토리얼을 시청했다,학습에 열정적이다,효율적이다
892,그는 침대 밑을 확인했다,꾸준하다,궁금하다
893,그는 아르바이트를 구했다,노력한다,근면하다
894,그는 피를 많이 흘렸다,용감하다,상처 입다
895,그는 케이지를 청소했다,근면하다,꼼꼼하다
896,그는 학교생활에 문제가 있었다,문제아,괴롭다
897,그는 웨이터에게 말했다,서비스에 만족했다,예의바르다
898,그는 새 물고기를 살았다,책임감이 있다,돌본다
899,그는 새끼를 낳았다,부모다,자랑스럽다
900,그는 그래도 돈이 있었다,부유하다,부유하다
901,그는 투표하고 싶어 했다,시민의식이 있다,책임감 있다
902,그는 커피를 마셔봤다,호기심이 많다,깨어있다
903,그는 대출을 신청했다,돈이 필요하다,돈이 필요하다
904,그는 새 장난감을 살았다,아이 같다,유쾌하다
905,그는 총에 맞았다,위험에 처한 상황이다,위험하다
906,그는 친구에게 도움을 요청했다,친절하다,어리석다
907,그는 끔찍한 냄새가 났다,몹시 방심하다,방심하다
908,그는 쇼핑을 좋아했다,소비욕이 강하다,사치스럽다
909,그는 종교를 바꿨다,개종했다,변화를 추구한다
910,그는 냉장고에서 곰팡이를 발견했다,염증이 있다,염려스럽다
911,그는 심장 질환이 있었다,건강이 나쁘다,쇼크되다
912,그는 새로운 친구를 사귀게 되었다,사교적이다,활발하다
913,그는 파울을 범했다,공격적이다,후회한다
914,그는 티켓을 예약했다,여행을 계획하고 있다,휴가를 기다린다
915,그는 그녀를 깨웠다,섬세하다,친절하다
916,그는 남편과 함께 살고 있었다,결혼하다,행복하다
917,그는 공을 놓쳤다,부주의하다,어설프다
918,그는 더 많은 친구를 사귀게 되었다,사교적이다,사교적이다
919,그는 아이스크림을 먹었다,즐거워 보인다,달콤하다
920,그는 샌드위치를 내려놓았다,배고프다,삼순이
921,그는 아기를 먹였다,독신 아버지다,자상하다
922,그는 간식을 받았다,기쁘다,기쁘다
923,그는 좋아할 것 같았다,호감이 많다,호감이 간다
924,그는 구매를 완료했다,만족스럽다,만족하다
925,그는 제 차를 주차해줬다,친절하다,친절하다
926,그는 성적이 향상되었다,노력한다,노력한다
927,그는 계산원에게 물었다,호기심이 많다,호기심 많다
928,그는 새 학교로 전학을 갔다,새로운 시작을 하고 있다,긴장하다
929,그는 종이 비행기를 만들었다,창의적이다,창의적이다
930,그는 병원에 가야 했다,아픈 것 같다,아프거나 다치다
931,그는 머리 색깔을 바꿨다,변화를 원한다,변화를 추구한다
932,그는 강아지에게 스팟이라는 이름을 붙였다,창의적이다,창의적이다
933,그는 첫 아기가 태어날 예정였다,설레다,설렌다
934,그는 어디든 갈 수 있었다,자유롭다,자유롭다
935,그는 짖기 시작했다,화가 난다,화를 낸다
936,그는 뇌졸중으로 쓰러졌다,위험에 처한 상황이다,위험하다
937,그는 정말 많이 아팠다,무력하다,불쌍하다
938,그는 배불러 했다,만족한 모습이다,만족하다
939,그는 충돌 소리가 들렸다,놀랍다,놀라다
940,그는 펑크 난 타이어를 고쳤다,유능하다,훌륭하다
941,그는 직장에 지각했다,부주의하다,부주의하다
942,그는 잠을 더 잘 잤다,피곤하다,피곤하다
943,그는 더 잘 봤다,눈이 좋다,예민하다
944,그는 새 재킷이 필요했다,쇼핑을 좋아한다,스타일리시하다
945,그는 학교로 향했다,교육을 중요시한다,열심히 공부한다
946,그는 임신 테스트기를 구입했다,불안하다,놀라다
947,그는 알겠다고 했다,협조적이다,이해한다
948,그는 어젯밤에 왔다,늦게 온다,피곤하다
949,그는 그녀에게 다른 것을 줬다,관대하다,관대하다
950,그는 학교를 정학했다,열정적이다,열심히 한다
951,그는 아이패드를 받았다,기뻐하다,행복하다
952,그는 고등학교에 다니고 있었다,젊다,젊다
953,그는 토너먼트에서 우승했다,경쟁적이다,뛰어나다
954,그는 집에 전화했다,사려 깊다,사교적이다
955,그는 음주 운전을 했다,무책임하다,무책임하다
956,그는 파울볼을 잡았다,운동 실력이 뛰어나다,숙련되다
957,그는 결국 질문했다,호기심이 많다,궁금하다
958,그는 내 발목을 비틀었다,강약이 있다,나쁘다
959,그는 새로운 언어를 배웠다,능력이 있다,지적이다
960,그는 주의가 산만해졌다,집중력이 부족하다,집중력이 떨어진다
961,그는 그날 밤 잠이 들었다,피곤하다,피곤하다
962,그는 임신을 했다,예상치 못한 상황에 처했다,행복하다
963,그는 문자 메시지를 보내었다,소통을 중요시하다,사교적이다
964,그는 급여를 인상받았다,만족스럽다,기쁘다
965,그는 새 것처럼 보였다,활기차다,활기차다
966,그는 영화 보는 것을 좋아했다,즐거워하다,즐겁다
967,그는 상자를 떨어뜨렸다,서투르다,조심하지 않다
968,그는 애완견이 있었다,애완동물을 좋아한다,애정 어리다
969,그는 휴대폰을 떨어뜨렸다,부주의하다,흥분하다
970,그는 어두워지고 있었다,우울하다,우울하다
971,그는 새로운 친구를 많이 사귀게 되었다,사교적이다,사교적이다
972,그는 새 강아지가 생겼다,행복해 보인다,행복하다
973,그는 TV를 보고 싶어했다,지루하다,지루하다
974,그는 반지를 돌려줬다,후회한다,관대하다
975,그는 더 좋아 보였다,매력적,행복하다
976,그는 자전거를 들고 있었다,활동적이다,활기차다
977,그는 생각이 많았다,깊이 있다,깊다
978,그는 아팠다,연약하다,피곤하다
979,그는 동물원에 가고 싶어 했다,자연을 좋아한다,자연을 사랑한다
980,그는 내슈빌로 이사했다,새로운 시작을 원한다,새로운 시작을 한다
981,그는 그녀에게 개요를 설명했다,설명을 잘한다,명확하다
982,그는 모든 친구를 만났다,사교적이다,사교적이다
983,그는 그녀의 손을 잡았다,로맨틱하다,로맨틱하다
984,그는 땀에 흠뻑 젖어 있었다,피곤해 보인다,피곤하다
985,그는 드디어 완주했다,끈기가 있다,끈기 있다
986,그는 야옹이에게 야옹거렸다,귀엽다,사랑스럽다
987,그는 예산이 빠듯한 상황였다,경제적으로 어려움을 겪고 있다,괴롭다
988,그는 자판기에 돈을 넣었다,목마르다,목마르다
989,그는 연습이 필요했다,미숙하다,서투르다
990,그는 수동으로 고쳐야만 했다,손재주가 좋다,손재주가 좋다
991,그는 그날 밤 케이크를 만들었다,요리에 흥미가 있다,요리에 능숙하다
992,그는 자신의 사생활을 보호했다,사생활을 중시한다,비밀스럽다
993,그는 기다릴 만한 가치가 있었다,중요하다,중요하다
994,그는 조부모님께 전화했다,예의바르다,예의바르다
995,그는 최근에 방문했다,관심이 많다,피곤하다
996,그는 함께 저녁을 먹었다,사교적이다,사교적이다
997,그는 어떤 일이 일어날지 알고 있었다,예지력이 있다,경계심 많다
998,그는 그녀의 아랫입술을 깨물었다,충동적이다,충동적이다
999,그는 일하고 있었다,부지런하다,부지런하다
1000,그는 체스 클럽에 가입했다,전략적이다,전략적이다
1001,그는 부모님과 대화를 나눴다,가정적이다,가정적이다
1002,그는 골똘히 생각했다,현명하다,현명하다
1003,그는 새 학교로 전학해야 했다,불안하다,불안하다
1004,그는 파티에 초대했다,사교적이다,사교적이다
1005,그는 어두워지기 시작했다,우울하다,우울하다
1006,그는 그녀에게 뇌물을 줬다,부패하다,부패하다
1007,그는 학교에 필요한 물품을 구했다,책임감이 있다,신중하다
1008,그는 차에 부딪혔다,운이 나쁘다,놀라다
1009,그는 매니저로 승진했다,능력이 있다,책임감 있다
1010,그는 수축을 느꼈다,걱정스럽다,아프다고 보인다
1011,그는 학교에서 남을 괴롭혔다,나쁘다,나쁘다
1012,그는 지금 집에 가는 중였다,평범한 사람이다,피곤하다
1013,그는 집에 도착했다,안전하다,피곤하다
1014,그는 울기 시작했다,슬프다,슬프다
1015,그는 학교에 다니고 있었다,교육을 받고 있다,열심히 공부한다
1016,그는 한 입 크게 물었다,목마르다,배고프다
1017,그는 자신이 가장 좋아하는 것을 골랐다,결단력이 있다,만족하다
1018,그는 우유를 잊어버렸다,부주의하다,부주의하다
1019,그는 이상한 냄새가 났다,의심스럽다,의심스럽다
1020,그는 병가를 내야 했다,아프다,아프다
1021,그는 가입하고 싶어 했다,참여하고 싶다,열망한다
1022,그는 좋은 냄새가 났다,청결하다,깨끗하다
1023,그는 자신의 신발을 찾을 수 없었다,당황스럽다,당황하다
1024,그는 새로운 개를 살았다,새로운 책임이 생겼다,관대하다
1025,그는 서핑을 하러 갔다,모험적이다,용감하다
1026,그는 기타를 연주했다,재능이 있다,재능 있다
1027,그는 밑바닥에서 영웅으로 거듭났다,변화무쌍하다,용감하다
1028,그는 수학 숙제를 했다,열심히 한다,열심히 한다
1029,그는 비밀을 지켰다,신뢰할 만하다,신뢰할 만하다
1030,그는 매일 밤 울었다,슬프다,슬프다
1031,그는 성적이 올랐다,노력한다,더 열심히 공부한다
1032,그는 총을 가져왔다,위험하다,위협적이다
1033,그의 아기가 태어날 예정였다,기쁘다,설렌다
1034,그는 오늘 결혼했다,행복하다,행복하다
1035,그는 새 안경이 필요했다,시력이 나빠 보인다,시력이 나빠 보인다
1036,그는 피자를 먹고 싶어했다,배가 고프다,허기지다
1037,그는 하루 종일 잠만 잤다,나른하다,나른하다
1038,그는 퀴즈에 실패했다,실망스럽다,풀어지지 않다
1039,그는 학교 공부도 더 잘했다,똑똑하다,똑똑하다
1040,그는 이제 막 운전면허를 취득했다,미숙하다,흥분하다
1041,그는 그녀에게 고개를 절레절레 흔들었다,공손하다,공손하다
1042,그는 트럭에서 떨어졌다,위험하다,다치다
1043,그는 스트레스를 줄였다,안정적이다,평온하다
1044,그는 티끌만큼 신경을 썼다,꼼꼼하다,꼼꼼하다
1045,그는 새 학교를 시작했다,새로운 시작을 했다,긴장하다
1046,그는 시간이 충분했다,여유롭다,여유롭다
1047,그는 자신만의 방식이 있었다,독창적이다,독특하다
1048,그는 그녀를 봤다,감동을 받았다,호기심 많다
1049,그는 예기치 않게 곤경에 처했다,불운을 겪고 있다,불운하다
1050,그는 시도했다,노력한다,노력한다
1051,그는 자동차에 부딪혔다,사고를 당했다,불운하다
1052,그는 너무 행복해 보였다,기쁨에 넘쳐 보인다,만족하다
1053,그는 헬스장 가는 것을 그만뒀다,게을러졌다,게으르다
1054,그는 한 남자를 만났다,사교적이다,호감이 간다
1055,그는 수업을 잘못 들었다,혼란스럽다,어리석다
1056,그는 그 결과 직불 카드를 분실했다,부주의하다,부주의하다
1057,그는 울음을 그치지 않았다,슬프다,슬프다
1058,그는 맛있다고 생각했다,식도락가이다,만족하다
1059,그는 요새를 건설했다,강력하다,적극적이다
1060,그는 다음 날 도착했다,지연되었다,지각하다
1061,그는 자외선 차단제를 잊어버렸다,부주의하다,부주의하다
1062,그는 방금 집에 도착했다,피곤하다,피곤하다
1063,그는 크리스마스 파티가 있었다,사교적이다,즐겁다
1064,그는 염색을 하고 싶어 했다,변화를 원한다,변화를 원한다
1065,그는 그녀에게 미소를 지었다,친절하다,상냥하다
1066,그는 아기에게 선물을 줬다,친절하다,친절하다
1067,그는 어쨌든 운전을 했다,무책임하다,책임감 있다
1068,그는 데이트를 시작했다,로맨틱하다,흥분하다
1069,그는 문자를 받았다,흥분했다,기쁘다
1070,그는 그녀에게 돈을 줬다,관대하다,관대하다
1071,그는 병원에 가고 싶어 했다,아픈 것 같다,아프다
1072,그는 그것을 수의사에게 데려갔다,동물을 사랑한다,배려심 있다
1073,그는 목걸이를 찾았다,기뻐하다,기뻐한다
1074,그는 아기처럼 잠을 잤다,순수하다,순진하다
1075,그는 웨이트리스로 일하고 있었다,노동자다,근면하다
1076,그는 천천히 입꼬리를 위로 올렸다,만족한 모습,만족하다
1077,그는 손을 흔들었다,인사를 하고 있다,인사를 잘한다
1078,그는 집안 곳곳을 샅샅이 뒤졌다,교묘하다,꼼꼼하다
1079,그는 좋아 보였다,매력적이다,친근하다
1080,그는 할로윈 파티가 있었다,즐거운 분위기를 좋아한다,즐겁다
1081,그는 음식에 질식했다,식탐이 강하다,고통받다
1082,그는 일을 벌렸다,적극적이다,활발하다
1083,그는 수영 팀에 합류했다,활동적이다,활동적이다
1084,그는 질투를 했다,불안정하다,불만족스럽다
1085,그는 욕을 쓰는 것에 대해 양해를 구했다,사과하는 태도를 보였다,사과한다
1086,그는 소변을 보러 갔다,보통 사람이다,자유롭다
1087,그는 인터뷰 요청 전화를 받았다,인기 있다,유명하다
1088,그는 눈을 여러 번 깜빡였다,혼란스럽다,피곤하다
1089,그는 상사로부터 전화를 받았다,중요하다,바쁘다
1090,그는 마침내 우유를 찾았다,안도하다,만족하다
